       368      0.00    658.49 Al+      Al^2+        2
Cross section:
Lambda = 0.1 - 310.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 314.71 - 676.60 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 658.49 A
   Kaufman, V., Martin, W. C. (1991b)
   J. Phys. Chem. Ref. Data 20, 775-858.

      0.10  4.11E-25
      7.89  1.84E-19
      7.90  1.66E-20
     10.00  3.07E-20
     20.00  1.82E-19
     30.00  5.00E-19
     40.00  9.99E-19
     50.00  1.67E-18
     60.00  2.47E-18
     70.00  3.35E-18
     80.00  4.24E-18
     90.00  5.07E-18
     96.79  5.55E-18
     96.80  5.00E-18
    100.00  5.20E-18
    110.00  5.67E-18
    120.00  5.89E-18
    130.00  5.82E-18
    137.81  5.54E-18
    137.82  1.48E-19
    140.00  1.51E-19
    150.00  1.64E-19
    160.00  1.76E-19
    170.00  1.88E-19
    180.00  2.00E-19
    190.00  2.12E-19
    200.00  2.23E-19
    210.00  2.33E-19
    220.00  2.44E-19
    230.00  2.53E-19
    240.00  2.63E-19
    250.00  2.72E-19
    260.00  2.80E-19
    270.00  2.88E-19
    280.00  2.96E-19
    290.00  3.03E-19
    300.00  3.10E-19
    310.00  3.16E-19
    314.71  3.17E-19
    314.74  3.19E-19
    314.99  3.14E-19
    315.02  3.20E-19
    315.06  3.18E-19
    315.35  3.16E-19
    315.41  3.19E-19
    315.47  3.18E-19
    315.91  3.18E-19
    315.96  3.20E-19
    316.46  3.16E-19
    316.56  3.20E-19
    316.64  3.19E-19
    317.42  3.19E-19
    317.50  3.21E-19
    318.49  3.15E-19
    318.63  3.23E-19
    318.81  3.19E-19
    319.63  3.20E-19
    320.04  3.14E-19
    320.56  3.25E-19
    320.60  3.56E-19
    320.63  4.01E-19
    320.66  3.38E-19
    320.68  3.26E-19
    320.72  3.17E-19
    322.39  3.23E-19
    322.50  3.56E-19
    322.58  3.22E-19
    322.88  3.15E-19
    322.98  3.28E-19
    323.00  4.38E-19
    323.03  3.55E-19
    323.05  3.26E-19
    323.08  3.21E-19
    324.70  3.20E-19
    325.72  3.30E-19
    325.98  3.26E-19
    327.17  3.22E-19
    327.26  3.42E-19
    327.35  3.25E-19
    328.26  3.21E-19
    328.67  3.38E-19
    328.88  3.27E-19
    335.39  3.24E-19
    336.27  3.37E-19
    336.57  3.28E-19
    341.20  3.27E-19
    343.23  3.19E-19
    343.34  3.29E-19
    344.37  3.23E-19
    344.60  3.26E-19
    345.96  3.25E-19
    346.98  3.30E-19
    361.29  3.33E-19
    364.75  3.32E-19
    365.08  3.17E-19
    365.13  2.95E-19
    365.14  3.20E-19
    365.15  4.76E-19
    365.17  3.76E-19
    365.18  3.56E-19
    365.22  3.40E-19
    366.33  3.16E-19
    366.47  2.87E-19
    366.50  5.07E-19
    366.52  4.24E-19
    366.54  3.88E-19
    366.55  3.71E-19
    366.66  3.43E-19
    367.78  3.23E-19
    368.33  2.98E-19
    368.36  3.12E-19
    368.40  4.18E-19
    368.43  4.22E-19
    368.50  3.76E-19
    368.67  3.46E-19
    370.93  3.06E-19
    371.07  3.17E-19
    371.21  3.85E-19
    371.64  3.48E-19
    374.07  3.23E-19
    374.99  3.38E-19
    379.06  3.23E-19
    379.13  3.77E-19
    379.14  3.44E-19
    379.17  3.30E-19
    379.80  3.12E-19
    379.95  2.85E-19
    379.98  3.03E-19
    380.02  3.18E-19
    380.51  2.92E-19
    380.53  3.10E-19
    380.54  3.42E-19
    380.56  3.58E-19
    380.61  3.38E-19
    380.84  2.95E-19
    380.99  2.80E-19
    381.07  3.10E-19
    381.16  3.42E-19
    382.22  3.11E-19
    382.43  3.38E-19
    382.68  3.36E-19
    382.78  2.98E-19
    382.81  3.25E-19
    382.83  3.38E-19
    384.93  3.14E-19
    385.35  3.63E-19
    385.50  3.98E-19
    385.61  5.08E-19
    385.68  3.69E-19
    385.72  3.46E-19
    385.76  3.40E-19
    385.80  3.54E-19
    385.83  3.35E-19
    388.08  3.26E-19
    390.35  3.26E-19
    390.59  3.34E-19
    390.66  3.26E-19
    392.89  3.22E-19
    398.12  3.01E-19
    398.54  2.80E-19
    398.65  3.49E-19
    398.87  3.19E-19
    400.02  2.66E-19
    400.25  2.61E-19
    400.37  3.28E-19
