       204      0.00    448.74 Ar+      Ar^2+        2
Cross section:
Lambda = 0.1 - 330.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 339.60 - 446.00 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 448.74 A
   Minnhagen, L. (1960b)
   Ark. Fys. 18, 97.

      0.10  1.90E-24
      3.86  8.64E-20
      3.87  9.38E-21
     10.00  1.21E-19
     20.00  7.02E-19
     30.00  1.78E-18
     37.38  2.77E-18
     37.39  2.46E-18
     40.00  2.81E-18
     46.58  3.67E-18
     46.59  3.20E-19
     50.00  3.62E-19
     60.00  4.90E-19
     70.00  6.25E-19
     80.00  7.62E-19
     90.00  8.96E-19
    100.00  1.03E-18
    110.00  1.14E-18
    120.00  1.25E-18
    130.00  1.34E-18
    140.00  1.41E-18
    150.00  1.45E-18
    160.00  1.48E-18
    170.00  1.49E-18
    180.00  1.49E-18
    190.00  1.47E-18
    200.00  1.46E-18
    210.00  1.46E-18
    220.00  1.48E-18
    230.00  1.55E-18
    240.00  1.69E-18
    250.00  1.92E-18
    260.00  2.26E-18
    270.00  2.76E-18
    280.00  3.42E-18
    290.00  4.29E-18
    295.34  4.84E-18
    295.35  4.84E-18
    300.00  5.38E-18
    310.00  6.72E-18
    320.00  8.32E-18
    330.00  1.02E-17
    339.60  1.28E-17
    348.40  1.65E-17
    350.80  1.91E-17
    351.90  1.67E-17
    353.50  1.69E-17
    354.60  1.56E-17
    355.10  1.36E-17
    356.30  7.94E-18
    356.90  6.14E-18
    357.50  7.15E-18
    358.70  1.15E-17
    359.30  1.31E-17
    360.60  1.52E-17
    364.00  1.80E-17
    389.20  2.84E-17
    389.50  2.99E-17
    389.70  3.36E-17
    389.80  4.47E-17
    389.90  2.38E-17
    390.00  2.33E-17
    390.10  2.42E-17
    390.20  2.62E-17
    391.20  3.06E-17
    391.50  3.43E-17
    391.60  4.40E-17
    391.70  3.33E-17
    391.80  1.88E-17
    391.90  2.34E-17
    392.10  2.65E-17
    393.60  3.15E-17
    394.00  3.54E-17
    394.10  4.03E-17
    394.30  4.61E-17
    394.40  2.17E-17
    394.60  2.36E-17
    394.90  2.59E-17
    395.00  2.56E-17
    396.70  3.15E-17
    397.60  3.55E-17
    398.00  4.06E-17
    398.20  5.03E-17
    398.30  4.52E-17
    398.40  2.56E-17
    398.50  1.98E-17
    398.80  2.40E-17
    399.20  2.72E-17
    399.30  2.62E-17
    399.40  2.90E-17
    403.30  3.63E-17
    404.10  4.12E-17
    404.70  5.18E-17
    404.80  4.55E-17
    404.90  3.02E-17
    405.00  2.33E-17
    405.10  2.11E-17
    405.20  2.11E-17
    405.50  2.49E-17
    406.20  2.86E-17
    406.60  2.87E-17
    406.70  3.12E-17
    412.40  3.77E-17
    414.80  4.31E-17
    415.90  5.07E-17
    416.30  5.35E-17
    416.50  4.99E-17
    416.80  3.18E-17
    417.00  2.56E-17
    417.10  2.34E-17
    417.30  2.34E-17
    418.30  2.91E-17
    419.80  3.25E-17
    420.10  3.11E-17
    420.30  3.33E-17
    420.70  3.59E-17
    420.90  4.34E-17
    421.20  4.97E-17
    421.30  4.73E-17
    421.40  3.57E-17
    421.50  1.06E-17
    421.60  3.71E-18
    421.70  2.81E-18
    421.80  8.35E-18
    421.90  2.33E-17
    422.40  3.38E-17
    422.50  3.91E-17
    422.60  3.73E-17
    422.80  4.50E-17
    423.20  5.07E-17
    423.40  4.75E-17
    423.50  3.98E-17
    423.60  3.14E-17
    423.70  8.56E-18
    423.80  3.09E-18
    423.90  3.81E-18
    424.00  7.93E-18
    424.10  7.21E-18
    424.20  3.06E-17
    424.30  2.34E-17
    425.10  4.11E-17
    425.20  4.03E-17
    425.30  4.36E-17
    425.90  5.16E-17
    426.30  4.95E-17
    426.50  4.18E-17
    426.60  3.13E-17
    426.80  9.42E-18
    426.90  4.45E-18
    427.00  3.30E-18
    427.10  5.90E-18
    427.30  1.11E-17
    427.40  1.08E-17
    427.50  3.24E-17
    427.60  2.83E-17
    427.70  2.72E-17
    428.60  3.98E-17
    429.80  5.16E-17
    430.40  5.26E-17
    430.90  4.65E-17
    431.10  3.70E-17
    431.30  2.73E-17
    431.50  1.00E-17
    431.60  6.71E-18
    431.70  4.07E-18
    431.80  4.33E-18
