       106      0.00    786.72 Ar       Ar+          2
Cross section:
Lambda = 0.1 - 437.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 437.90 - 824.90 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 786.72 A
   Velchev, I., Hogervorst, W., Ubachs, W. (1999)
   J. Phys. B 32, L511-L516.

      0.10  2.01E-24
      3.87  7.94E-20
      3.88  9.25E-21
     10.00  1.22E-19
     20.00  6.99E-19
     30.00  1.74E-18
     38.03  2.84E-18
     38.04  2.55E-18
     40.00  2.85E-18
     49.75  4.80E-18
     49.76  4.08E-19
     50.00  4.11E-19
     60.00  5.41E-19
     70.00  6.76E-19
     80.00  8.12E-19
     90.00  9.47E-19
    100.00  1.08E-18
    110.00  1.20E-18
    120.00  1.31E-18
    130.00  1.41E-18
    140.00  1.48E-18
    150.00  1.54E-18
    160.00  1.57E-18
    170.00  1.57E-18
    180.00  1.54E-18
    190.00  1.48E-18
    200.00  1.40E-18
    210.00  1.30E-18
    220.00  1.18E-18
    230.00  1.06E-18
    240.00  9.70E-19
    250.00  9.18E-19
    260.00  9.40E-19
    270.00  1.07E-18
    280.00  1.34E-18
    290.00  1.79E-18
    300.00  2.46E-18
    310.00  3.37E-18
    320.00  4.54E-18
    330.00  5.97E-18
    340.00  7.65E-18
    350.00  9.55E-18
    360.00  1.16E-17
    370.00  1.38E-17
    380.00  1.61E-17
    390.00  1.84E-17
    400.00  2.07E-17
    410.00  2.28E-17
    420.00  2.49E-17
    428.72  2.65E-17
    428.73  2.65E-17
    430.00  2.67E-17
    437.90  3.63E-17
    438.10  2.92E-17
    438.20  2.88E-17
    438.60  3.50E-17
    438.70  2.78E-17
    438.80  2.54E-17
    438.90  3.94E-17
    439.40  3.53E-17
    439.50  3.21E-17
    439.60  1.94E-17
    439.70  3.93E-17
    439.80  3.95E-17
    440.60  3.56E-17
    440.80  3.23E-17
    440.90  2.38E-17
    441.00  2.66E-17
    441.20  3.97E-17
    442.20  3.65E-17
    442.80  3.34E-17
    442.90  2.97E-17
    443.00  2.30E-17
    443.10  5.60E-18
    443.20  3.51E-17
    443.60  3.97E-17
    445.90  3.54E-17
    446.50  3.21E-17
    446.70  2.79E-17
    446.80  2.26E-17
    446.90  1.06E-17
    447.00  1.54E-17
    447.10  4.21E-17
    447.20  4.37E-17
    447.80  4.02E-17
    451.20  3.70E-17
    453.70  3.39E-17
    454.30  2.99E-17
    454.60  2.65E-17
    454.80  1.91E-17
    455.00  4.87E-18
    455.30  3.54E-17
    455.50  4.54E-17
    456.00  4.33E-17
    457.40  4.04E-17
    470.00  3.68E-17
    474.40  3.34E-17
    475.80  2.94E-17
    476.50  2.44E-17
    477.30  1.26E-17
    478.10  2.18E-17
    478.90  4.98E-17
    481.50  4.45E-17
    487.40  4.14E-17
    671.90  3.64E-17
    824.90  2.98E-17
  0
***
