       334      0.00   1494.14 B        B+           2
Cross section:
Lambda = 0.1 - 350.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 450.70 - 1537.00 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1494.14 A
   Ryabtsev, A. N. (2002)
   Piv. Com.
   See:  http://physics.nist.gov/PhysRefData/Handbook/atomic_number.htm.

      0.10  4.60E-27
     10.00  1.17E-20
     20.00  8.41E-20
     30.00  2.50E-19
     40.00  5.16E-19
     50.00  8.74E-19
     60.00  1.30E-18
     63.91  1.48E-18
     63.92  6.23E-20
     70.00  7.76E-20
     80.00  1.06E-19
     90.00  1.39E-19
    100.00  1.76E-19
    110.00  2.17E-19
    120.00  2.61E-19
    130.00  3.09E-19
    140.00  3.60E-19
    150.00  4.13E-19
    160.00  4.69E-19
    170.00  5.28E-19
    180.00  5.88E-19
    190.00  6.51E-19
    200.00  7.15E-19
    210.00  7.81E-19
    220.00  8.48E-19
    230.00  9.17E-19
    240.00  9.87E-19
    250.00  1.06E-18
    260.00  1.13E-18
    270.00  1.20E-18
    280.00  1.28E-18
    290.00  1.35E-18
    300.00  1.43E-18
    310.00  1.50E-18
    320.00  1.58E-18
    330.00  1.65E-18
    340.00  1.73E-18
    350.00  1.81E-18
    360.00  1.89E-18
    370.00  1.97E-18
    380.00  2.04E-18
    390.00  2.12E-18
    400.00  2.20E-18
    410.00  2.28E-18
    420.00  2.36E-18
    430.00  2.45E-18
    440.00  2.53E-18
    450.00  2.61E-18
    450.70  3.18E-18
    459.80  2.57E-18
    469.10  2.73E-18
    478.50  2.90E-18
    503.00  3.01E-18
    503.10  3.07E-18
    503.20  3.07E-18
    503.50  3.00E-18
    503.70  3.04E-18
    503.90  3.04E-18
    504.80  3.07E-18
    505.20  3.01E-18
    506.30  3.10E-18
    506.40  3.07E-18
    508.10  3.09E-18
    508.20  3.02E-18
    508.70  3.09E-18
    512.30  3.07E-18
    512.40  3.29E-18
    513.00  2.99E-18
    513.10  3.30E-18
    513.20  3.23E-18
    513.60  3.02E-18
    514.00  3.01E-18
    514.10  3.33E-18
    514.20  3.23E-18
    514.60  3.04E-18
    515.30  3.01E-18
    515.50  3.32E-18
    515.90  3.12E-18
    517.30  3.03E-18
    517.70  3.29E-18
    518.20  3.15E-18
    518.50  3.23E-18
    518.80  3.09E-18
    519.80  3.19E-18
    520.40  3.17E-18
    521.40  3.24E-18
    527.10  3.09E-18
    529.50  3.13E-18
    530.80  3.48E-18
    533.80  3.24E-18
    534.30  3.35E-18
    535.00  3.26E-18
    535.90  3.39E-18
    537.70  3.29E-18
    546.20  3.27E-18
    548.40  3.53E-18
    552.30  3.47E-18
    591.90  3.93E-18
    592.40  3.66E-18
    592.60  3.38E-18
    592.70  3.83E-18
    592.80  4.02E-18
    592.90  3.90E-18
    593.60  3.67E-18
    593.80  3.39E-18
    593.90  3.83E-18
    594.00  4.11E-18
    594.10  3.95E-18
    594.20  3.91E-18
    595.20  3.68E-18
    595.60  3.60E-18
    595.70  4.12E-18
    596.00  3.98E-18
    597.40  3.72E-18
    598.10  3.48E-18
    598.30  3.50E-18
    598.40  4.14E-18
    598.60  4.16E-18
    598.80  3.92E-18
    598.90  4.15E-18
    599.00  3.95E-18
    601.10  3.75E-18
    602.50  3.50E-18
    602.70  3.50E-18
    603.00  4.17E-18
    603.20  4.14E-18
    603.30  4.58E-18
    603.40  4.04E-18
    603.60  3.96E-18
    603.80  4.02E-18
    604.10  3.91E-18
    607.00  4.01E-18
    607.10  4.21E-18
    607.60  3.52E-18
    607.70  4.10E-18
    607.80  4.07E-18
    607.90  4.50E-18
    608.00  4.23E-18
    608.10  4.09E-18
    608.80  3.59E-18
    609.00  4.15E-18
    609.10  4.11E-18
    609.20  4.57E-18
    609.30  4.26E-18
    610.60  3.35E-18
    610.70  3.56E-18
    611.00  4.38E-18
    611.10  4.34E-18
    611.30  4.52E-18
    611.90  4.42E-18
    612.10  4.35E-18
    612.20  4.11E-18
    612.90  3.88E-18
    613.10  4.33E-18
    613.20  4.02E-18
    613.30  3.90E-18
    613.60  4.35E-18
    613.90  4.30E-18
    614.00  4.62E-18
    614.30  4.39E-18
    617.50  3.69E-18
    618.20  4.26E-18
    618.70  4.21E-18
    619.00  4.63E-18
