       579      0.00    354.54 F+       F^2+         2
Cross section:
Lambda = 0.1 - 180.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 183.79 - 360.30 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 354.54 A
   Palenius, H. P. (1969)
   Ark. Fys. 39, 15.
      
      0.10  7.76E-26
     10.00  1.03E-19
     17.40  4.02E-19
     17.41  2.52E-20
     20.00  3.65E-20
     30.00  1.05E-19
     40.00  2.15E-19
     50.00  3.67E-19
     60.00  5.60E-19
     70.00  7.94E-19
     80.00  1.07E-18
     90.00  1.38E-18
    100.00  1.72E-18
    110.00  2.09E-18
    120.00  2.49E-18
    130.00  2.92E-18
    140.00  3.37E-18
    150.00  3.84E-18
    160.00  4.32E-18
    170.00  4.81E-18
    180.00  5.32E-18
    183.79  5.47E-18
    183.92  5.21E-18
    183.93  4.76E-18
    183.94  5.91E-18
    183.95  5.83E-18
    183.97  5.70E-18
    184.33  5.27E-18
    184.35  4.86E-18
    184.36  6.88E-18
    184.37  5.92E-18
    184.38  5.95E-18
    184.40  5.73E-18
    184.91  5.33E-18
    184.95  4.95E-18
    184.96  6.96E-18
    184.97  6.48E-18
    184.98  5.77E-18
    184.99  6.05E-18
    185.02  5.76E-18
    185.79  5.39E-18
    185.86  5.05E-18
    185.88  4.33E-18
    185.89  7.20E-18
    185.90  5.95E-18
    185.91  5.79E-18
    185.92  6.09E-18
    185.98  5.78E-18
    187.27  5.39E-18
    187.34  4.98E-18
    187.36  4.50E-18
    187.38  9.85E-18
    187.40  6.30E-18
    187.42  5.82E-18
    187.44  6.08E-18
    187.54  5.85E-18
    189.86  5.50E-18
    190.00  5.06E-18
    190.04  4.51E-18
    190.07  9.01E-18
    190.11  6.34E-18
    190.15  5.92E-18
    190.18  6.22E-18
    190.37  5.99E-18
    190.38  6.18E-18
    190.77  5.86E-18
    190.82  6.02E-18
    190.83  5.85E-18
    191.30  5.83E-18
    191.47  5.99E-18
    191.48  5.83E-18
    192.31  5.84E-18
    192.46  6.04E-18
    192.47  5.84E-18
    193.93  5.87E-18
    194.05  6.09E-18
    194.07  5.85E-18
    195.19  5.76E-18
    195.56  5.36E-18
    195.69  4.57E-18
    195.72  9.65E-18
    195.75  9.03E-18
    195.78  7.43E-18
    195.81  6.82E-18
    195.91  6.16E-18
    196.00  6.46E-18
    196.63  6.19E-18
    196.90  6.36E-18
    196.98  6.18E-18
    199.44  6.18E-18
    201.81  6.27E-18
    202.90  6.50E-18
    203.08  6.31E-18
    205.22  6.42E-18
    205.23  6.41E-18
    205.74  6.42E-18
    205.75  6.44E-18
    206.47  6.34E-18
    206.49  6.49E-18
    207.62  6.43E-18
    209.43  6.39E-18
    209.48  6.68E-18
    209.50  6.53E-18
    210.04  6.50E-18
    211.30  6.24E-18
    211.66  5.62E-18
    211.74  5.58E-18
    211.78  6.67E-18
    211.82  1.15E-17
    211.85  1.28E-17
    211.89  1.05E-17
    211.93  9.22E-18
    212.01  8.07E-18
    212.21  7.21E-18
    212.91  6.96E-18
    213.05  6.58E-18
    213.10  9.24E-18
    213.15  7.39E-18
    213.24  7.15E-18
    219.67  7.02E-18
    219.77  7.45E-18
    220.09  7.55E-18
    220.53  7.30E-18
    232.77  7.48E-18
    232.85  7.06E-18
    232.94  6.46E-18
    232.97  5.80E-18
    232.98  1.05E-17
    232.99  9.15E-18
    233.00  8.34E-18
    233.03  5.89E-18
    233.04  7.66E-18
    233.05  2.86E-17
    233.06  1.01E-17
    233.07  8.99E-18
    233.08  8.45E-18
    233.12  7.84E-18
    233.36  7.22E-18
    233.55  6.61E-18
    233.60  5.67E-18
    233.61  7.50E-18
    233.62  1.12E-17
    233.64  8.44E-18
    233.67  6.94E-18
    233.70  7.25E-18
    233.71  3.13E-17
    233.72  1.56E-17
    233.73  1.10E-17
    233.74  9.68E-18
    233.75  8.74E-18
    233.80  7.97E-18
    234.06  7.36E-18
    234.11  7.46E-18
    234.43  6.67E-18
    234.50  5.76E-18
    234.51  7.31E-18
    234.53  1.09E-17
    234.55  8.83E-18
    234.56  8.25E-18
    234.63  6.65E-18
    234.65  5.74E-18
    234.66  1.22E-17
    234.67  1.63E-17
    234.68  1.79E-17
    234.70  1.14E-17
    234.71  9.87E-18
