        76      0.00    262.20 Na+      Na^2+        2
Cross section:
Lambda = 0.1 - 150.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 152.40 - 259.10 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 262.20 A
   Martin, W. C., Zalubas, R. (1981)
   J. Phys. Chem. Ref. Data 10, 153.

      0.10  2.09E-25
     10.00  1.92E-19
     11.30  2.53E-19
     11.31  1.84E-20
     20.00  8.73E-20
     30.00  2.49E-19
     40.00  5.05E-19
     50.00  8.52E-19
     60.00  1.28E-18
     70.00  1.79E-18
     80.00  2.35E-18
     90.00  2.94E-18
    100.00  3.56E-18
    110.00  4.18E-18
    120.00  4.78E-18
    130.00  5.35E-18
    140.00  5.86E-18
    150.00  6.32E-18
    152.40  6.29E-18
    152.50  8.38E-18
    152.60  6.64E-18
    152.80  8.80E-18
    152.90  6.64E-18
    153.10  5.84E-18
    153.20  8.74E-18
    153.30  9.30E-18
    153.40  6.47E-18
    153.70  5.86E-18
    153.80  5.31E-18
    153.90  8.59E-18
    154.00  6.90E-18
    154.10  6.51E-18
    154.70  5.87E-18
    154.80  5.49E-18
    154.90  3.96E-18
    155.00  1.05E-17
    155.10  6.89E-18
    155.30  6.54E-18
    156.30  5.97E-18
    156.60  5.60E-18
    156.70  4.76E-18
    156.80  1.05E-17
    156.90  1.08E-17
    157.00  7.83E-18
    157.10  6.99E-18
    157.50  6.62E-18
    159.70  6.11E-18
    160.20  5.74E-18
    160.50  5.32E-18
    160.60  4.64E-18
    160.70  3.72E-18
    160.80  2.18E-18
    160.90  1.77E-17
    161.00  9.75E-18
    161.10  8.50E-18
    161.20  7.90E-18
    161.30  7.51E-18
    161.60  7.13E-18
    162.40  6.79E-18
    167.70  6.52E-18
    170.10  6.22E-18
    171.00  5.80E-18
    171.40  5.38E-18
    171.60  5.01E-18
    171.80  4.37E-18
    172.20  1.90E-18
    172.40  2.26E-17
    172.60  1.21E-17
    172.80  9.88E-18
    173.00  8.98E-18
    173.20  8.50E-18
    173.70  8.00E-18
    174.60  7.59E-18
    177.50  7.30E-18
    228.30  7.65E-18
    259.10  7.35E-18
  0
***
