       396      0.00    302.67 Ne+      Ne^2+        2
Cross section:
Lambda = 0.1 - 150.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 151.72 - 307.19 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 302.67 A
   Persson, W. (1971)
   Phys. Scr. 3, 133.

      0.10  1.21E-25
     10.00  1.45E-19
     14.04  3.21E-19
     14.05  2.21E-20
     20.00  5.78E-20
     30.00  1.66E-19
     40.00  3.39E-19
     50.00  5.75E-19
     60.00  8.72E-19
     70.00  1.23E-18
     80.00  1.63E-18
     90.00  2.07E-18
    100.00  2.55E-18
    110.00  3.06E-18
    120.00  3.59E-18
    130.00  4.13E-18
    140.00  4.68E-18
    150.00  5.22E-18
    151.72  5.26E-18
    162.68  5.72E-18
    162.82  5.53E-18
    162.83  5.27E-18
    162.84  6.59E-18
    162.85  5.93E-18
    163.14  5.57E-18
    163.16  5.20E-18
    163.17  6.89E-18
    163.18  6.47E-18
    163.20  5.91E-18
    163.60  5.61E-18
    163.64  5.54E-18
    163.65  4.93E-18
    163.66  8.61E-18
    163.67  6.31E-18
    163.69  5.94E-18
    164.29  5.65E-18
    164.36  5.33E-18
    164.37  5.52E-18
    164.38  5.11E-18
    164.39  6.33E-18
    164.40  6.42E-18
    164.44  5.98E-18
    165.47  5.64E-18
    165.54  5.25E-18
    165.56  5.35E-18
    165.57  4.61E-18
    165.59  8.26E-18
    165.60  6.61E-18
    165.62  6.29E-18
    165.67  6.04E-18
    167.45  5.78E-18
    167.65  5.42E-18
    167.67  5.85E-18
    167.70  5.07E-18
    167.73  1.06E-17
    167.76  7.08E-18
    167.79  6.49E-18
    167.91  6.12E-18
    171.70  5.95E-18
    172.09  5.59E-18
    172.16  5.78E-18
    172.22  5.14E-18
    172.29  1.14E-17
    172.36  7.15E-18
    172.43  6.66E-18
    172.71  6.33E-18
    182.02  6.50E-18
    184.82  6.38E-18
    185.04  6.08E-18
    185.26  5.25E-18
    185.49  8.45E-18
    185.73  7.33E-18
    185.96  7.10E-18
    188.48  6.93E-18
    188.80  6.58E-18
    188.90  6.05E-18
    188.92  5.42E-18
    188.93  6.49E-18
    188.94  4.62E-18
    188.95  1.52E-17
    188.96  9.67E-18
    188.97  8.14E-18
    189.00  7.14E-18
    189.31  6.15E-18
    189.35  5.43E-18
    189.36  6.33E-18
    189.37  6.66E-18
    189.38  5.09E-18
    189.39  3.45E-18
    189.40  1.94E-17
    189.41  9.85E-18
    189.42  8.51E-18
    189.43  7.69E-18
    189.47  7.15E-18
    189.92  6.16E-18
    189.97  5.52E-18
    189.98  5.98E-18
    189.99  6.86E-18
    190.02  4.73E-18
    190.03  2.86E-18
    190.04  2.17E-17
    190.05  1.39E-17
    190.06  9.31E-18
    190.07  8.60E-18
    190.09  7.74E-18
    190.15  7.18E-18
    190.81  6.23E-18
    190.89  5.64E-18
    190.91  5.80E-18
    190.92  6.91E-18
    190.98  5.19E-18
    190.99  4.50E-18
    191.00  3.17E-18
    191.01  2.99E-17
    191.02  2.02E-17
    191.04  1.15E-17
    191.05  9.55E-18
    191.06  8.74E-18
    191.10  7.80E-18
    191.20  7.18E-18
    192.19  6.40E-18
    192.40  5.76E-18
    192.42  6.76E-18
    192.43  6.88E-18
    192.51  5.69E-18
    192.55  4.72E-18
    192.57  3.60E-18
    192.60  8.35E-18
    192.62  2.77E-17
    192.64  1.26E-17
    192.66  9.96E-18
    192.68  8.97E-18
    192.74  7.91E-18
    192.92  7.26E-18
    194.74  6.45E-18
    195.02  5.87E-18
    195.06  6.35E-18
    195.10  7.11E-18
    195.28  5.86E-18
    195.36  5.06E-18
    195.40  4.21E-18
    195.43  2.61E-18
    195.47  2.04E-17
    195.55  1.08E-17
    195.59  9.42E-18
    195.63  8.75E-18
    195.75  7.93E-18
    196.09  7.36E-18
    199.75  6.69E-18
    200.44  6.12E-18
    200.61  7.28E-18
    201.11  5.98E-18
    201.29  5.11E-18
    201.38  4.09E-18
    201.47  4.00E-18
    201.56  2.79E-17
    201.65  1.43E-17
    201.74  1.07E-17
    201.83  9.48E-18
    201.93  8.90E-18
    202.22  8.15E-18
    203.03  7.63E-18
    212.51  7.25E-18
    215.36  6.72E-18
    215.62  7.64E-18
    215.88  7.72E-18
