        76      0.00    574.94 Ne       Ne+          2
Cross section:
Lambda = 0.1 - 240.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 242.30 - 551.90 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 574.94 A
   Kaufman, V. and Minnhagen, L. (1972)
   J. Opt. Soc. Am. 62, 92-95.

      0.10  1.68E-25
     10.00  1.44E-19
     14.25  3.17E-19
     14.26  2.15E-20
     20.00  5.54E-20
     30.00  1.63E-19
     40.00  3.38E-19
     50.00  5.79E-19
     60.00  8.80E-19
     70.00  1.24E-18
     80.00  1.64E-18
     90.00  2.07E-18
    100.00  2.54E-18
    110.00  3.02E-18
    120.00  3.51E-18
    130.00  4.01E-18
    140.00  4.50E-18
    150.00  4.99E-18
    160.00  5.46E-18
    170.00  5.91E-18
    180.00  6.34E-18
    190.00  6.74E-18
    200.00  7.11E-18
    210.00  7.46E-18
    220.00  7.78E-18
    230.00  8.06E-18
    240.00  8.32E-18
    242.30  8.27E-18
    246.60  8.41E-18
    246.70  7.74E-18
    246.80  8.83E-18
    246.90  7.76E-18
    247.00  8.70E-18
    247.10  8.16E-18
    247.20  6.75E-18
    247.30  1.00E-17
    247.50  8.23E-18
    247.60  7.88E-18
    247.70  9.41E-18
    247.80  8.59E-18
    248.30  8.01E-18
    248.40  9.91E-18
    248.50  1.05E-17
    248.60  8.58E-18
    249.30  8.22E-18
    249.60  7.88E-18
    249.70  6.92E-18
    249.80  1.01E-17
    249.90  9.32E-18
    250.10  8.62E-18
    251.40  8.28E-18
    252.20  7.95E-18
    252.40  7.52E-18
    252.50  6.95E-18
    252.60  1.22E-17
    252.70  1.18E-17
    252.80  9.71E-18
    253.00  9.03E-18
    253.40  8.66E-18
    259.30  8.20E-18
    260.10  7.79E-18
    260.40  7.28E-18
    260.50  6.61E-18
    260.70  4.63E-18
    260.80  2.01E-17
    261.00  1.15E-17
    261.10  1.02E-17
    261.30  9.68E-18
    261.40  9.41E-18
    261.90  9.06E-18
    264.00  8.77E-18
    342.30  9.34E-18
    404.80  9.17E-18
    462.30  8.47E-18
    513.90  7.43E-18
    551.90  6.43E-18
  0
***
