       333      0.00   1163.62 S(1S)    S+           2
Cross section:
Lambda = 0.00 - 121.67 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409.
Lambda = 200.00 - 547.00 A
   Chapman, R. D., Jenry, R. J. W. (1971)
   Astrophys. J. 168, 169.
Lambda = 547.80 - 1304. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1163.62 A                                    1196.76
   Martin, W. C., Zalubas, R., Musgrove, A. (1990)
   J. Phys. Chem. Ref. Data 19, 821.

      0.61  3.13E-22
      1.24  2.65E-21
      2.44  1.79E-20
      4.98  1.18E-19
      5.20  1.20E-20
      6.15  1.91E-20
     12.57  1.31E-19
     24.62  7.33E-19
     50.32  3.48E-18
     52.47  3.31E-18
     62.09  4.41E-18
     67.53  5.19E-18
     70.45  2.45E-18
     73.45  1.23E-19
    121.67  2.61E-19
    200.00  9.08E-19
    210.00  1.19E-18
    220.00  1.49E-18
    230.00  1.81E-18
    240.00  2.14E-18
    250.00  2.49E-18
    260.00  2.86E-18
    270.00  3.24E-18
    280.00  3.63E-18
    290.00  4.04E-18
    300.00  4.46E-18
    310.00  4.90E-18
    320.00  5.34E-18
    330.00  5.80E-18
    340.00  6.27E-18
    350.00  6.75E-18
    360.00  7.24E-18
    370.00  7.73E-18
    380.00  8.24E-18
    390.00  8.75E-18
    400.00  9.27E-18
    410.00  9.80E-18
    420.00  1.03E-17
    430.00  1.09E-17
    440.00  1.14E-17
    450.00  1.20E-17
    460.00  1.25E-17
    470.00  1.31E-17
    480.00  1.36E-17
    490.00  1.42E-17
    500.00  1.47E-17
    510.00  1.53E-17
    520.00  1.58E-17
    530.00  1.64E-17
    540.00  1.69E-17
    547.80  1.88E-17
    550.60  1.96E-17
    550.90  2.26E-17
    551.00  1.42E-17
    551.10  1.49E-17
    551.20  1.83E-17
    551.80  2.27E-17
    551.90  1.57E-17
    552.00  1.19E-17
    552.10  1.65E-17
    552.20  1.85E-17
    553.10  2.29E-17
    553.20  2.11E-17
    553.30  1.07E-17
    553.40  1.52E-17
    553.60  1.88E-17
    555.00  2.31E-17
    555.10  2.27E-17
    555.20  1.94E-17
    555.30  1.10E-17
    555.40  1.46E-17
    555.50  1.69E-17
    555.80  1.91E-17
    558.20  2.37E-17
    558.30  2.25E-17
    558.40  1.93E-17
    558.50  1.24E-17
    558.60  1.06E-17
    558.80  1.48E-17
    559.00  1.76E-17
    559.50  1.98E-17
    563.50  2.45E-17
    563.90  2.36E-17
    564.00  2.10E-17
    564.30  1.20E-17
    564.40  1.10E-17
    564.80  1.59E-17
    565.20  1.87E-17
    566.20  2.10E-17
    574.50  2.62E-17
    575.30  2.50E-17
    575.60  2.21E-17
    576.10  1.38E-17
    576.30  1.22E-17
    576.50  1.21E-17
    577.40  1.75E-17
    578.40  2.07E-17
    580.90  2.36E-17
    596.40  2.89E-17
    597.10  2.84E-17
    597.20  2.86E-17
    597.70  2.94E-17
    598.20  2.85E-17
    598.30  2.91E-17
    599.40  2.98E-17
    599.70  2.85E-17
    599.90  2.95E-17
    601.80  3.02E-17
    602.10  2.81E-17
    602.30  3.03E-17
    604.80  3.02E-17
    605.40  2.79E-17
    605.70  2.36E-17
    605.80  2.37E-17
    606.00  2.73E-17
    606.20  2.92E-17
    607.00  2.71E-17
    608.90  1.58E-17
    609.50  1.42E-17
    610.10  1.46E-17
    611.40  1.92E-17
    612.60  2.53E-17
    613.20  2.34E-17
    615.90  2.62E-17
    624.00  3.06E-17
    626.10  2.57E-17
    626.20  3.03E-17
    626.60  3.44E-17
    626.80  3.75E-17
    626.90  2.24E-17
    627.00  2.89E-17
    627.10  2.40E-17
    627.20  2.97E-17
    627.60  3.43E-17
    627.70  3.88E-17
    627.90  3.46E-17
    628.00  2.25E-17
    628.10  2.69E-17
    628.40  3.07E-17
    628.50  1.82E-17
    628.60  2.88E-17
    628.80  3.18E-17
    629.20  3.58E-17
    629.40  4.47E-17
    629.50  4.15E-17
    629.60  2.50E-17
    629.80  2.77E-17
    630.40  3.13E-17
    630.60  2.02E-17
    630.70  2.96E-17
    631.30  3.35E-17
    631.70  3.73E-17
    631.80  4.29E-17
    632.00  5.33E-17
    632.10  2.91E-17
    632.20  2.59E-17
    632.50  2.86E-17
    633.50  3.18E-17
    633.90  2.74E-17
    634.00  3.11E-17
    635.00  3.46E-17
    635.60  3.84E-17
    635.80  4.34E-17
    636.00  5.41E-17
    636.10  3.67E-17
    636.20  2.81E-17
    636.70  2.94E-17
    639.40  3.45E-17
