       476      0.00   1196.76 S(3P)    S+           2
Cross section:
Lambda = 0.1 - 480.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 484.70 - 1168. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1196.76 A
   Martin, W. C., Zalubas, R., Musgrove, A. (1990)
   J. Phys. Chem. Ref. Data 19, 821.

      0.10  1.25E-24
      5.00  1.07E-19
      5.01  1.12E-20
     10.00  7.19E-20
     20.00  4.35E-19
     30.00  1.16E-18
     40.00  2.16E-18
     50.00  3.30E-18
     52.75  3.62E-18
     52.76  3.25E-18
     60.00  4.02E-18
     70.00  4.94E-18
     72.93  5.15E-18
     72.94  3.66E-19
     80.00  4.26E-19
     90.00  5.10E-19
    100.00  5.90E-19
    110.00  6.66E-19
    120.00  7.35E-19
    130.00  7.96E-19
    140.00  8.49E-19
    150.00  8.93E-19
    160.00  9.28E-19
    170.00  9.54E-19
    180.00  9.71E-19
    190.00  9.80E-19
    200.00  9.82E-19
    210.00  9.79E-19
    220.00  9.70E-19
    230.00  9.59E-19
    240.00  9.46E-19
    250.00  9.34E-19
    260.00  9.26E-19
    270.00  9.24E-19
    280.00  9.30E-19
    290.00  9.47E-19
    300.00  9.80E-19
    310.00  1.03E-18
    320.00  1.10E-18
    330.00  1.20E-18
    340.00  1.34E-18
    350.00  1.50E-18
    360.00  1.71E-18
    370.00  1.96E-18
    380.00  2.26E-18
    390.00  2.62E-18
    400.00  3.03E-18
    410.00  3.52E-18
    420.00  4.08E-18
    430.00  4.71E-18
    440.00  5.43E-18
    450.00  6.24E-18
    460.00  7.14E-18
    470.00  8.13E-18
    480.00  9.23E-18
    484.70  1.04E-17
    484.90  1.04E-17
    487.30  1.07E-17
    487.40  1.10E-17
    488.10  1.08E-17
    488.20  1.13E-17
    488.30  1.08E-17
    489.30  1.09E-17
    489.50  1.12E-17
    494.10  1.15E-17
    522.80  1.51E-17
    522.90  1.48E-17
    523.00  1.51E-17
    523.60  1.52E-17
    523.80  1.51E-17
    523.90  1.47E-17
    524.60  1.54E-17
    525.00  1.43E-17
    525.10  1.59E-17
    526.50  1.57E-17
    526.80  1.53E-17
    526.90  1.51E-17
    527.00  1.66E-17
    527.10  1.52E-17
    529.70  1.59E-17
    529.90  1.51E-17
    530.00  1.92E-17
    530.10  1.54E-17
    530.20  1.57E-17
    535.00  1.67E-17
    535.20  1.56E-17
    535.30  1.68E-17
    535.40  1.88E-17
    535.50  1.80E-17
    535.60  1.63E-17
    535.90  1.64E-17
    544.80  1.84E-17
    545.30  1.89E-17
    545.60  1.85E-17
    546.00  1.86E-17
    546.20  1.88E-17
    546.30  1.72E-17
    546.50  1.70E-17
    546.70  1.98E-17
    546.90  2.36E-17
    547.00  2.01E-17
    547.10  1.85E-17
    547.50  1.82E-17
    547.60  1.84E-17
    547.80  1.84E-17
    554.70  2.02E-17
    555.80  2.16E-17
    556.20  2.29E-17
    556.70  2.19E-17
    558.40  2.15E-17
    558.50  2.03E-17
    569.30  2.22E-17
    575.50  2.26E-17
    577.20  2.18E-17
    578.20  2.17E-17
    579.50  2.59E-17
    580.30  3.15E-17
    580.90  2.28E-17
    581.10  2.20E-17
    582.60  2.28E-17
    605.30  3.20E-17
    605.40  3.24E-17
    605.60  2.76E-17
    605.70  1.76E-17
    605.80  2.54E-17
    605.90  2.91E-17
    606.20  2.92E-17
    606.30  3.42E-17
    606.60  2.99E-17
    606.70  2.74E-17
    606.80  1.98E-17
    606.90  1.85E-17
    607.00  2.78E-17
    607.10  2.93E-17
    607.30  2.77E-17
    607.40  2.58E-17
    607.50  3.17E-17
    608.10  3.07E-17
    608.30  2.65E-17
    608.40  1.64E-17
    608.50  1.86E-17
    608.60  2.72E-17
    608.70  2.90E-17
    608.80  2.77E-17
    608.90  2.25E-17
    609.00  2.30E-17
    609.10  2.84E-17
    609.20  3.06E-17
    610.10  3.17E-17
    610.60  2.99E-17
    610.70  2.60E-17
    610.90  1.70E-17
    611.00  2.33E-17
    611.10  2.55E-17
    611.30  2.12E-17
    611.40  2.35E-17
    611.60  2.81E-17
    612.00  3.08E-17
    613.90  3.25E-17
    614.40  3.03E-17
    614.60  2.60E-17
    614.80  1.49E-17
    614.90  1.40E-17
    615.10  1.61E-17
