       250      0.00   1022.14 Xe       Xe+          2
Cross section:
Lambda = 0.085 - 922.00 A
   West, J. B., Morton, J. (1978)
   Atom. Dat. Nucl. Dat. Tab. 22, 103.
Cross section including autoionization:
Lambda = 926.30 - 1023. A
   Huffman, R. E., Tanaka, Y., Larrabee, J. C., (1963)
   J. Chem. Phys. 39, 902.
Threshold:
Lambda = 1022.14 A
   Brandi, F., Velchev, I., Horgervorst, W., Ubachs, W. (2001)
   Phys. Rev. A 64, 032505.  See also: / 
   http://physics.nist.gov/PhysRefData/Handbook/atomic_number.htm.

      0.09  1.60E-22
      0.10  2.41E-22
      0.15  6.91E-22
      0.20  1.46E-21
      0.25  2.61E-21
      0.30  4.19E-21
      0.35  6.25E-21
      0.36  6.66E-21
      0.40  1.66E-21
      0.60  4.97E-21
      0.80  1.08E-20
      1.00  1.98E-20
      1.20  3.25E-20
      1.40  4.93E-20
      1.60  7.08E-20
      1.80  9.74E-20
      2.00  1.30E-19
      2.20  1.68E-19
      2.27  1.84E-19
      3.00  7.18E-20
      3.50  9.91E-20
      4.00  1.40E-19
      4.50  1.93E-19
      5.00  2.57E-19
      5.50  3.31E-19
      6.00  4.14E-19
      6.50  5.05E-19
      7.00  6.02E-19
      7.50  7.04E-19
      8.00  8.11E-19
      8.50  9.20E-19
      9.00  1.03E-18
      9.50  1.14E-18
     10.00  1.25E-18
     10.50  1.36E-18
     11.00  1.46E-18
     11.50  1.56E-18
     12.00  1.65E-18
     12.50  1.73E-18
     13.00  1.81E-18
     13.35  1.85E-18
     13.50  1.60E-18
     14.00  1.80E-18
     14.50  2.00E-18
     15.00  2.25E-18
     15.50  2.50E-18
     16.00  2.80E-18
     16.50  3.15E-18
     17.00  3.65E-18
     17.50  4.75E-19
     18.00  4.30E-19
     18.50  7.20E-19
     20.00  7.63E-19
     22.00  8.42E-19
     24.00  9.28E-19
     26.00  1.02E-18
     28.00  1.11E-18
     30.00  1.19E-18
     32.00  1.27E-18
     34.00  1.34E-18
     36.00  1.39E-18
     38.00  1.39E-18
     40.00  1.47E-18
     42.00  1.48E-18
     44.00  1.48E-18
     46.00  1.46E-18
     48.00  1.43E-18
     50.00  1.39E-18
     52.00  1.33E-18
     54.00  1.27E-18
     56.00  1.20E-18
     58.00  1.13E-18
     60.00  1.06E-18
     62.00  9.96E-19
     64.00  9.43E-19
     66.00  9.06E-19
     68.00  8.91E-19
     70.00  9.07E-19
     72.00  9.59E-19
     74.00  1.06E-18
     76.00  1.21E-18
     78.00  1.42E-18
     80.00  1.71E-18
     82.00  2.08E-18
     84.00  2.55E-18
     86.00  3.13E-18
     88.00  3.82E-18
     90.00  4.66E-18
     92.00  5.64E-18
     94.00  6.78E-18
     96.00  8.11E-18
     98.00  9.64E-18
    100.00  1.14E-17
    105.00  1.63E-17
    110.00  2.07E-17
    115.00  2.41E-17
    120.00  2.63E-17
    125.00  2.71E-17
    130.00  2.65E-17
    135.00  2.47E-17
    140.00  2.20E-17
    145.00  1.88E-17
    150.00  1.53E-17
    155.00  1.20E-17
    160.00  9.27E-18
    170.00  6.01E-18
    180.00  3.89E-18
    190.00  2.66E-18
    200.00  2.00E-18
    210.00  1.67E-18
    220.00  1.55E-18
    230.00  1.52E-18
    240.00  1.52E-18
    250.00  1.56E-18
    260.00  1.59E-18
    270.00  1.66E-18
    280.00  1.73E-18
    290.00  1.86E-18
    300.00  2.00E-18
    310.00  2.21E-18
    320.00  2.44E-18
    330.00  2.73E-18
    340.00  3.04E-18
    350.00  3.41E-18
    360.00  3.85E-18
    370.00  4.43E-18
    380.00  5.06E-18
    390.00  5.76E-18
    400.00  6.52E-18
    410.00  7.33E-18
    420.00  8.20E-18
    430.00  9.12E-18
    440.00  1.01E-17
    450.00  1.11E-17
    460.00  1.22E-17
    470.00  1.33E-17
    480.00  1.45E-17
    490.00  1.57E-17
    500.00  1.70E-17
    510.00  1.83E-17
    520.00  1.96E-17
    530.00  2.10E-17
    540.00  2.24E-17
    550.00  2.38E-17
    560.00  2.52E-17
    570.00  2.67E-17
    580.00  2.82E-17
    590.00  2.97E-17
    600.00  3.12E-17
    610.00  3.27E-17
    620.00  3.42E-17
    630.00  3.58E-17
    640.00  3.73E-17
    650.00  3.88E-17
    660.00  4.03E-17
    670.00  4.17E-17
    680.00  4.32E-17
    690.00  4.46E-17
    700.00  4.60E-17
    710.00  4.74E-17
    720.00  4.88E-17
    730.00  5.01E-17
    740.00  5.13E-17
    750.00  5.26E-17
    760.00  5.37E-17
    770.00  5.49E-17
    780.00  5.60E-17
    790.00  5.70E-17
    800.00  5.80E-17
    810.00  5.89E-17
    820.00  5.98E-17
    830.00  6.07E-17
    840.00  6.15E-17
    850.00  6.22E-17
    860.00  6.29E-17
    870.00  6.35E-17
    880.00  6.41E-17
    890.00  6.47E-17
    900.00  6.52E-17
    910.00  6.57E-17
    920.00  6.62E-17
    922.00  6.50E-17
    924.00  6.00E-17
    926.00  5.60E-17
    926.30  6.62E-17
    926.50  6.25E-17
    926.80  7.06E-17
    927.10  5.76E-17
    927.50  7.73E-17
    927.90  5.35E-17
    928.50  8.74E-17
    928.70  4.65E-17
    929.40  9.48E-17
    929.90  4.09E-17
    930.80  1.08E-16
    931.20  3.09E-17
    932.50  1.21E-16
    933.00  2.45E-17
    935.20  1.42E-16
    936.00  2.60E-17
    938.30  1.54E-16
    939.50  2.23E-17
    943.80  1.69E-16
    945.00  2.12E-17
    946.50  4.46E-17
    948.00  6.87E-17
    949.80  1.13E-16
    950.00  1.02E-16
    952.30  1.75E-16
    953.80  1.78E-17
    954.00  1.49E-17
    954.50  1.78E-17
    958.00  5.76E-17
    961.50  8.85E-17
    961.80  1.43E-16
    962.50  1.00E-16
    965.00  1.80E-16
    969.00  1.86E-17
    970.00  1.49E-17
    971.00  1.78E-17
    972.00  2.42E-17
    974.00  3.72E-17
    976.00  4.83E-17
    978.00  5.76E-17
    980.00  6.54E-17
    982.00  7.43E-17
    984.00  8.55E-17
    985.00  9.00E-17
    986.00  1.97E-16
    986.70  9.67E-17
    987.50  9.29E-17
    990.00  1.26E-16
    992.00  1.52E-16
    994.00  1.82E-16
    995.00  1.90E-16
    996.00  1.71E-16
    998.00  1.04E-16
   1000.00  3.35E-17
   1002.00  1.49E-17
   1004.00  1.67E-17
   1006.00  1.93E-17
   1008.00  2.75E-17
   1010.00  3.20E-17
   1012.00  3.53E-17
   1014.00  3.98E-17
   1016.00  4.39E-17
   1018.00  5.20E-17
   1020.00  5.50E-17
   1021.00  5.61E-17
   1022.00  5.46E-17
   0
***
