        99      1.00   3000.00 nh2      nhdh     28 26
 lambda=1.00-840.00a  computed from n and h data (n+2*h)
 lambda=1215.0-1970.0a by r.p. saxon preprint (1982)

      1.00  4.00e-23
      5.00  5.70e-21
     10.00  4.20e-20
     15.00  1.40e-19
     20.00  2.80e-19
     24.30  4.30e-19
     30.00  7.20e-19
     35.00  4.67e-20
     40.00  6.41e-20
     45.00  8.65e-20
     50.00  1.12e-19
     60.00  1.74e-19
     70.00  2.47e-19
     80.00  3.50e-19
     90.00  4.75e-19
    100.00  6.08e-19
    110.00  7.62e-19
    120.00  9.00e-19
    130.00  1.05e-18
    140.00  1.20e-18
    150.00  1.38e-18
    170.00  1.75e-18
    180.00  1.95e-18
    200.00  2.38e-18
    210.00  2.60e-18
    220.00  2.83e-18
    230.00  3.07e-18
    240.00  3.32e-18
    250.00  3.58e-18
    260.00  3.85e-18
    270.00  4.12e-18
    280.00  4.41e-18
    320.00  5.58e-18
    350.00  6.51e-18
    380.00  7.49e-18
    410.00  8.53e-18
    430.00  9.20e-18
    450.00  9.88e-18
    510.00  1.20e-17
    530.00  1.27e-17
    550.00  1.35e-17
    600.00  1.53e-17
    680.00  1.78e-17
    710.00  1.87e-17
    740.00  1.95e-17
    840.00  2.18e-17
   1000.00  1.00e-20
   1215.0   9.13e-22
   1216.0   1.20e-21
   1223.5   5.98e-21
   1231.0   1.76e-20
   1238.5   4.05e-20
   1246.0   8.11e-20
   1254.0   1.54e-19
   1262.0   2.74e-19
   1270.0   4.58e-19
   1278.0   7.30e-19
   1286.0   1.13e-18
   1294.5   1.72e-18
   1303.0   2.52e-18
   1311.5   3.53e-18
   1320.0   4.78e-18
   1328.5   6.26e-18
   1337.5   8.15e-18
   1346.5   1.03e-17
   1355.5   1.17e-17
   1360.0   1.13e-17
   1374.5   5.12e-18
   1384.0   2.25e-18
   1403.5   4.31e-19
   1418.0   1.58e-19
   1438.0   9.92e-20
   1459.5   1.53e-19
   1481.0   2.28e-19
   1503.5   2.45e-19
   1526.5   1.36e-19
   1550.0   1.43e-22
   1574.5   5.39e-19
   1600.0   3.59e-18
   1626.0   1.85e-17
   1653.0   1.29e-19
   1681.0   2.69e-21
   1709.5   2.71e-21
   1731.5   2.25e-21
   1746.5   1.73e-21
   1762.0   1.10e-21
   1778.0   4.90e-22
   1794.0   8.43e-23
   1810.0   2.78e-23
   1826.5   4.35e-22
   1843.5   1.33e-21
   1860.5   2.47e-21
   1878.0   3.53e-21
   1896.0   4.29e-21
   1914.0   3.91e-21
   1932.5   1.55e-21
   1951.5   5.03e-23
   1970.5   2.75e-25
   3000.00  1.00e-35
  0
***
       172      0.00   2424.60 h2o      total
lambda=1.a-100.a  barfield, w. d., koontz, g. d. and huebner w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
   (cross section of h2o = cross section of atomic o)
lambda=180.a-720.a  phillips, e., lee, l. c. and judge, d. l. (1977)
   j. quant. spectrosc. radiat. transfer 18, 309
lambda=600.a-690.a  dibler, v. h., walker, j. a. and rosenstock, h. m. (1966)
   j. res. nbs-a. phys. chem. 70, 459
lambda=700.a-980.8a  katayama, d. h., huffman, r. e. and o'bryan, c. l. (1973)
   j. chem. phys. 59, 4309
lambda=850.a-1110.a  watanabe, k. and jursa, a. s. (1964)
   j. chem. phys. 41, 1650
lambda=1060.a-1860.a  watanabe, k. and zelikoff, m. (1953)
   j. opt. soc. am. 43, 753

      1.00  1.00e-22
      5.00  1.00e-20
     10.00  6.80e-20
     20.00  1.30e-19
     22.50  5.60e-19
     23.50  2.90e-20
    100.00  1.25e-18
    180.00  5.00e-18
    200.00  5.70e-18
    220.00  6.60e-18
    240.00  7.60e-18
    260.00  8.30e-18
    280.00  9.60e-18
    300.00  1.01e-17
    320.00  1.06e-17
    340.00  1.15e-17
    360.00  1.23e-17
    380.00  1.32e-17
    400.00  1.43e-17
    420.00  1.56e-17
    440.00  1.72e-17
    460.00  1.78e-17
    480.00  1.77e-17
    500.00  1.83e-17
    520.00  1.90e-17
    540.00  1.99e-17
    560.00  2.07e-17
    580.00  2.13e-17
    600.00  2.19e-17
    620.00  2.25e-17
    640.00  2.27e-17
    660.00  2.28e-17
    680.00  2.27e-17
    700.00  2.19e-17
    720.00  2.18e-17
    722.80  2.18e-17
    734.50  2.18e-17
    742.00  2.00e-17
    750.00  2.17e-17
    758.70  1.93e-17
    766.60  1.95e-17
    776.70  1.78e-17
    784.00  1.72e-17
    793.60  1.67e-17
    800.00  1.60e-17
    802.50  1.64e-17
    808.60  1.68e-17
    815.60  1.71e-17
    822.20  1.77e-17
    829.70  1.80e-17
    833.70  1.76e-17
    836.50  1.86e-17
    844.20  1.88e-17
    848.80  1.83e-17
    851.10  1.98e-17
    852.60  1.86e-17
    855.20  1.88e-17
    857.50  1.98e-17
    859.20  1.97e-17
    861.00  1.78e-17
    862.50  1.91e-17
    865.00  1.97e-17
    866.80  1.98e-17
    867.90  1.99e-17
    870.20  2.05e-17
    872.40  2.06e-17
    874.10  2.05e-17
    877.70  2.05e-17
    879.00  2.07e-17
    883.30  2.05e-17
    885.80  2.26e-17
    887.40  2.08e-17
    891.40  2.16e-17
    893.00  2.37e-17
    894.40  2.28e-17
    900.30  2.42e-17
    903.00  1.97e-17
    905.00  1.91e-17
    908.10  2.40e-17
    909.00  2.42e-17
    910.00  2.32e-17
    911.50  2.11e-17
    915.50  2.25e-17
    916.70  2.57e-17
    917.50  2.41e-17
    918.60  2.29e-17
    923.80  2.25e-17
    925.30  2.37e-17
    926.20  2.54e-17
    927.40  2.34e-17
    930.00  1.93e-17
    932.40  2.40e-17
    933.80  2.43e-17
    934.80  2.35e-17
    936.30  2.20e-17
    941.20  2.29e-17
    942.60  2.41e-17
    943.40  2.18e-17
    945.30  2.06e-17
    948.00  2.00e-17
    949.40  2.06e-17
    951.10  2.02e-17
    952.10  2.02e-17
    958.20  1.86e-17
    959.80  1.94e-17
    960.80  1.77e-17
    963.30  1.78e-17
    965.40  1.67e-17
    967.30  1.76e-17
    968.40  1.77e-17
    970.00  1.38e-17
    977.20  1.51e-17
    978.00  1.51e-17
    984.00  1.32e-17
   1000.00  8.00e-18
   1020.00  5.00e-18
   1040.00  3.00e-18
   1060.00  1.90e-18
   1065.00  3.35e-18
   1070.00  2.30e-18
   1075.00  1.05e-17
   1080.00  3.70e-18
   1085.00  5.20e-18
   1090.00  1.10e-17
   1095.00  4.10e-18
   1100.00  3.70e-18
   1105.00  2.40e-18
   1110.00  1.80e-17
   1112.00  1.90e-17
   1115.00  1.80e-17
   1118.00  3.00e-18
   1120.00  1.85e-17
   1125.00  1.80e-17
   1126.00  1.90e-17
   1130.00  7.40e-18
   1135.00  2.20e-18
   1140.00  1.70e-18
   1150.00  4.10e-18
   1160.00  1.85e-18
   1172.00  7.80e-18
   1180.00  2.60e-18
   1190.00  1.10e-17
   1200.00  6.00e-18
   1205.00  3.70e-18
   1210.00  7.40e-18
   1215.00  1.70e-17
   1218.00  1.85e-17
   1220.00  1.30e-17
   1225.00  3.70e-18
   1230.00  2.60e-18
   1235.00  7.40e-18
   1240.00  1.40e-17
   1245.00  5.60e-18
   1250.00  6.70e-18
   1300.00  7.00e-18
   1304.00  7.00e-18
   1304.10  7.00e-18
   1350.00  3.50e-18
   1400.00  8.00e-19
   1430.00  5.00e-19
   1450.00  5.00e-19
   1500.00  1.00e-18
   1550.00  2.20e-18
   1600.00  3.90e-18
   1650.00  5.00e-18
   1700.00  4.50e-18
   1750.00  3.00e-18
   1800.00  9.50e-19
   1850.00  5.00e-20
   1860.00  1.00e-20
   1860.50  1.00e-35
   2424.60  1.00e-35
  6
        94      0.00   2424.60 h2o      hdoh     31 26

      0.00  7.50e-02
    600.00  1.38e-01
    610.00  1.34e-01
    620.00  1.34e-01
    630.00  1.35e-01
    640.00  1.29e-01
    650.00  1.25e-01
    660.00  1.34e-01
    670.00  1.94e-01
    680.00  2.24e-01
    690.00  2.18e-01
    700.00  2.18e-01
    722.80  2.24e-01
    734.50  2.21e-01
    742.00  2.10e-01
    750.00  2.28e-01
    758.70  1.91e-01
    766.60  1.97e-01
    776.70  1.60e-01
    784.00  1.44e-01
    793.60  1.31e-01
    800.00  1.22e-01
    802.50  1.24e-01
    808.60  1.39e-01
    815.60  1.58e-01
    822.20  1.74e-01
    829.70  1.96e-01
    833.70  2.05e-01
    836.50  2.22e-01
    844.20  2.63e-01
    848.80  2.54e-01
    851.10  2.92e-01
    852.60  2.87e-01
    855.20  2.91e-01
    857.50  3.14e-01
    859.20  3.16e-01
    861.00  3.08e-01
    862.50  3.14e-01
    865.00  3.35e-01
    866.80  3.33e-01
    867.90  3.39e-01
    870.20  3.70e-01
    872.40  3.68e-01
    874.10  3.74e-01
    877.70  3.74e-01
    879.00  3.80e-01
    883.30  3.77e-01
    885.80  4.12e-01
    887.40  4.15e-01
    891.40  4.03e-01
    893.00  4.31e-01
    894.40  4.37e-01
    900.30  4.40e-01
    903.00  4.31e-01
    905.00  4.40e-01
    908.10  4.72e-01
    909.00  4.74e-01
    910.00  4.82e-01
    911.50  4.66e-01
    915.50  4.67e-01
    916.70  4.85e-01
    917.50  4.85e-01
    918.60  4.91e-01
    923.80  4.64e-01
    925.30  4.81e-01
    926.20  5.05e-01
    927.40  5.03e-01
    930.00  4.78e-01
    932.40  4.91e-01
    933.80  4.85e-01
    934.80  4.91e-01
    936.30  4.91e-01
    941.20  5.01e-01
    942.60  4.92e-01
    943.40  4.79e-01
    945.30  4.81e-01
    948.00  4.84e-01
    949.40  4.95e-01
    951.10  4.76e-01
    952.10  4.76e-01
    958.20  5.00e-01
    959.80  4.99e-01
    960.80  4.83e-01
    963.30  4.97e-01
    965.40  4.81e-01
    967.30  4.94e-01
    968.40  4.88e-01
    970.00  4.62e-01
    977.20  4.82e-01
    978.00  4.92e-01
    982.60  7.50e-01
   1449.00  7.50e-01
   1450.00  1.00e 00
   2424.60  1.00e 00
        96      0.00   1770.00 h2o      h2do1d   30 26
lambda=1.a-1450.a  mcnesby, j. r., tanaka, i. and okabe, h. (1962)
   j. chem. phys. 36, 605
 Lambda=1216.A  Slanger, T. G., and G. Black (1982)
    J. Chem. Phys. 77, 2432-2437.
    (branching ratio)

      0.00  2.50e-02
    600.00  4.60e-02
    610.00  4.48e-02
    620.00  4.45e-02
    630.00  4.50e-02
    640.00  4.30e-02
    650.00  4.18e-02
    660.00  4.45e-02
    670.00  6.45e-02
    680.00  7.48e-02
    690.00  7.28e-02
    700.00  7.25e-02
    722.80  7.45e-02
    734.50  7.35e-02
    742.00  7.00e-02
    750.00  7.60e-02
    758.70  6.35e-02
    766.60  6.55e-02
    776.70  5.33e-02
    784.00  4.80e-02
    793.60  4.35e-02
    800.00  4.08e-02
    802.50  4.13e-02
    808.60  4.63e-02
    815.60  5.28e-02
    822.20  5.80e-02
    829.70  6.53e-02
    833.70  6.83e-02
    836.50  7.40e-02
    844.20  8.78e-02
    848.80  8.48e-02
    851.10  9.73e-02
    852.60  9.55e-02
    855.20  9.70e-02
    857.50  1.05e-01
    859.20  1.05e-01
    861.00  1.03e-01
    862.50  1.05e-01
    865.00  1.12e-01
    866.80  1.11e-01
    867.90  1.13e-01
    870.20  1.23e-01
    872.40  1.23e-01
    874.10  1.25e-01
