       137      0.00   2770.00 ch4      total
lambda=23.6a-250a  lukirskii, a. p., brytov, i. a. and zimkina, t. m. (1964)
    opt. spektr. (engl. trans.) 17, 234
 lambda=160a-1000a  rustgi, o. p. (1964)
    j. opt. soc. am. 54, 464
 lambda=773.a-1370.a  ditchburn, r. w. (1955)
    proc. roy. soc. london 229a, 44
 lambda=951.9a-1306.0a  sun, h. and weissler, g. l. (1955)
    j. chem. phys. 23, 1160
 lambda=1380a-1600a  mount, g. h. and moos, h. w. (1978)
    astrophys. j. (letters) 224, l35

      1.00  1.00e-21
     23.60  2.60e-19
     31.60  5.30e-19
     39.80  1.00e-18
     42.70  1.30e-18
     40.00  5.90e-20
     63.00  1.50e-19
    100.00  3.70e-19
    158.00  1.30e-18
    250.00  3.70e-18
    278.00  4.00e-18
    303.70  4.00e-18
    358.40  1.17e-17
    363.00  9.80e-18
    374.00  1.31e-17
    418.80  1.68e-17
    434.00  1.61e-17
    452.00  1.96e-17
    459.60  1.82e-17
    475.00  1.97e-17
    508.40  2.30e-17
    525.80  2.38e-17
    529.50  2.16e-17
    533.60  2.12e-17
    539.00  2.50e-17
    555.00  2.50e-17
    574.70  2.97e-17
    580.70  2.79e-17
    599.60  3.13e-17
    604.20  2.98e-17
    616.30  3.41e-17
    629.30  3.52e-17
    637.30  3.53e-17
    660.30  3.66e-17
    661.90  3.56e-17
    671.40  3.78e-17
    671.60  3.96e-17
    679.40  3.61e-17
    685.80  3.94e-17
    688.40  4.04e-17
    698.50  3.78e-17
    718.50  4.20e-17
    746.40  4.14e-17
    764.00  4.77e-17
    769.30  4.30e-17
    773.00  4.62e-17
    796.70  4.74e-17
    806.00  4.70e-17
    827.00  4.82e-17
    833.00  4.85e-17
    840.00  4.75e-17
    843.80  5.20e-17
    850.60  5.10e-17
    858.30  5.12e-17
    871.10  5.24e-17
    875.50  5.07e-17
    878.70  5.10e-17
    883.10  5.10e-17
    887.40  5.20e-17
    906.00  4.95e-17
    916.00  4.65e-17
    919.80  5.17e-17
    932.10  5.20e-17
    945.00  5.46e-17
    951.90  5.60e-17
    954.80  5.60e-17
    955.50  5.60e-17
    958.50  6.00e-17
    961.50  5.60e-17
    977.00  4.40e-17
    978.00  4.10e-17
    979.80  4.10e-17
    988.80  3.36e-17
    989.80  3.80e-17
    991.50  2.91e-17
   1025.00  3.30e-17
   1036.30  3.10e-17
   1037.00  2.95e-17
   1065.90  3.10e-17
   1071.80  3.20e-17
   1084.60  2.70e-17
   1084.90  2.62e-17
   1085.50  2.91e-17
   1134.40  1.75e-17
   1135.00  1.89e-17
   1152.00  1.84e-17
   1152.10  1.89e-17
   1175.50  2.30e-17
   1176.40  2.51e-17
   1176.50  1.70e-17
   1183.00  2.30e-17
   1184.50  2.00e-17
   1189.00  1.61e-17
   1199.50  1.90e-17
   1200.70  1.75e-17
   1200.70  1.90e-17
   1206.90  1.80e-17
   1215.50  1.75e-17
   1215.70  1.60e-17
   1217.60  1.90e-17
   1243.30  1.80e-17
   1275.10  1.60e-17
   1302.20  1.40e-17
   1304.90  1.40e-17
   1306.00  1.40e-17
   1324.00  1.30e-17
   1330.00  1.10e-17
   1336.00  1.00e-17
   1362.00  6.85e-18
   1370.00  3.20e-18
   1380.00  2.20e-18
   1390.00  1.20e-18
