       661      0.00   2071.32 Al       Al+          2
Cross section:
Lambda = 0.1 - 630.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487
Lambda = 631.90 - 2125. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 2071.32 A
   Kaufman, V., Martin, W. C. (1991)
   J. Phys. Chem. Ref. Data 20, 775-858.

      0.10  4.25E-25
      7.91  1.82E-19
      7.92  1.67E-20
     10.00  3.06E-20
     20.00  1.81E-19
     30.00  5.02E-19
     40.00  1.01E-18
     50.00  1.68E-18
     60.00  2.49E-18
     70.00  3.37E-18
     80.00  4.25E-18
     90.00  5.04E-18
     98.71  5.60E-18
     98.72  5.06E-18
    100.00  5.13E-18
    110.00  5.51E-18
    120.00  5.61E-18
    130.00  5.39E-18
    140.00  4.84E-18
    150.00  4.00E-18
    154.21  3.58E-18
    154.22  2.16E-19
    160.00  2.27E-19
    170.00  2.46E-19
    180.00  2.65E-19
    190.00  2.84E-19
    200.00  3.02E-19
    210.00  3.20E-19
    220.00  3.37E-19
    230.00  3.53E-19
    240.00  3.69E-19
    250.00  3.84E-19
    260.00  3.98E-19
    270.00  4.12E-19
    280.00  4.24E-19
    290.00  4.36E-19
    300.00  4.46E-19
    310.00  4.55E-19
    320.00  4.64E-19
    330.00  4.71E-19
    340.00  4.77E-19
    350.00  4.82E-19
    360.00  4.87E-19
    370.00  4.90E-19
    380.00  4.92E-19
    390.00  4.93E-19
    400.00  4.92E-19
    410.00  4.91E-19
    420.00  4.89E-19
    430.00  4.87E-19
    440.00  4.83E-19
    450.00  4.78E-19
    460.00  4.73E-19
    470.00  4.67E-19
    480.00  4.61E-19
    490.00  4.54E-19
    500.00  4.46E-19
    510.00  4.39E-19
    520.00  4.31E-19
    530.00  4.23E-19
    540.00  4.14E-19
    550.00  4.06E-19
    560.00  3.98E-19
    570.00  3.91E-19
    580.00  3.84E-19
    590.00  3.77E-19
    600.00  3.71E-19
    610.00  3.66E-19
    620.00  3.62E-19
    630.00  3.58E-19
    631.90  3.53E-19
    644.70  3.75E-19
    649.30  3.43E-19
    649.50  4.91E-19
    649.60  5.11E-19
    649.70  4.13E-19
    649.90  3.39E-19
    650.00  3.41E-19
    650.10  3.19E-19
    650.30  3.27E-19
    650.40  3.43E-19
    650.70  5.18E-19
    650.80  4.82E-19
    651.00  3.70E-19
    651.20  3.42E-19
    651.30  3.45E-19
    651.60  3.20E-19
    651.70  3.57E-19
    651.80  3.24E-19
    652.00  3.76E-19
    652.40  5.06E-19
    652.50  4.55E-19
    652.70  4.05E-19
    653.10  3.05E-19
    653.20  3.68E-19
    653.60  3.22E-19
    653.90  3.53E-19
    654.00  3.22E-19
    654.10  3.55E-19
    654.40  4.18E-19
    654.80  4.51E-19
    654.90  4.99E-19
    655.00  4.88E-19
    655.10  4.33E-19
    656.00  2.90E-19
    656.10  3.64E-19
    656.50  3.42E-19
    656.80  3.28E-19
    657.10  3.75E-19
    657.30  3.55E-19
    657.50  3.38E-19
    657.60  3.77E-19
    658.10  4.32E-19
    658.90  4.55E-19
    659.00  4.92E-19
    659.10  4.20E-19
    660.60  2.84E-19
    660.70  2.76E-19
    660.90  3.47E-19
    661.30  3.68E-19
    662.00  3.42E-19
    662.40  3.94E-19
    663.30  3.71E-19
    663.60  4.03E-19
    664.00  4.34E-19
    665.70  4.02E-19
    665.80  4.42E-19
    665.90  4.69E-19
    666.10  3.80E-19
    668.00  3.19E-19
    669.30  2.85E-19
    669.40  2.93E-19
    669.50  3.17E-19
    669.90  3.71E-19
    670.50  4.10E-19
    671.10  3.85E-19
    671.60  3.76E-19
    672.50  4.32E-19
    673.60  4.56E-19
    676.00  3.95E-19
    677.60  3.71E-19
    677.70  4.57E-19
    677.90  3.93E-19
    678.10  3.59E-19
    678.30  3.53E-19
    683.30  3.22E-19
    684.20  3.28E-19
    684.70  3.20E-19
    685.70  3.33E-19
    686.20  3.08E-19
    686.70  3.14E-19
    687.80  3.17E-19
    688.40  3.36E-19
    689.50  3.76E-19
    690.70  4.19E-19
    691.90  5.39E-19
    692.50  5.49E-19
    693.80  4.89E-19
    695.60  4.11E-19
    699.30  3.52E-19
    705.10  3.26E-19
    705.50  2.73E-19
    705.60  2.97E-19
    705.80  3.17E-19
    705.90  3.20E-19
