        41      0.00   2200.   CHF2Cl   CHF2/Cl     26
Cross section:
Lambda = 0.61-625.80 A
   Synthesized from cross sections of atomic constituents C + H + Cl + 2*F
   Barfield, W. D., Koontz, G. D., Huebner W. F. (1972) 
   J. Quant. Spectr. Rad. Trans. 12, 1409 
Lambda = 1580.-1733. A
   Hubrich, C., Zetzsch, C., Stuhl, F. (1977)
   Ber. Bunsen-Ges. 81, 437
Lambda = 1740.-2020.a  robbins, d. e., and stolarski, r. s. (1976)
    geophys. res. letters 3, 603
Lambda = 2033.-2200. A
   Hubrich, C., Zetzsch, C., Stuhl, F. (1977)
   Ber. Bunsen-Ges. 81, 437
 
      0.61  4.57E-22
      1.12  3.88E-21
      2.44  2.63E-20
      6.15  8.58E-20
     12.57  5.99E-19
     24.62  1.32E-18
     62.09  1.61E-18
    121.70  6.57E-18
    248.60  1.71E-17
    625.80  6.81E-17
   1580.00  1.39E-18
   1600.00  5.07E-19
   1633.00  3.64E-19
   1640.00  4.58E-19
   1650.00  2.92E-19
   1666.00  2.43E-19
   1680.00  1.82E-19
   1700.00  1.29E-19
   1720.00  9.79E-20
   1733.00  7.40E-20
   1740.00  5.94E-20
   1760.00  4.06E-20
   1780.00  2.85E-20
   1800.00  1.99E-20
   1820.00  1.30E-20
   1840.00  8.25E-21
   1860.00  5.25E-21
   1880.00  3.53E-21
   1900.00  2.38E-21
   1920.00  1.61E-21
   1940.00  1.02E-21
   1960.00  7.50E-22
   1980.00  3.60E-22
   2000.00  2.70E-22
   2020.00  2.20E-22
   2033.00  1.76E-22
   2050.00  1.32E-22
   2066.00  9.21E-23
   2100.00  5.58E-23
   2133.00  2.30E-23
   2200.00  5.01E-24
  0
***
