       402      0.00    711.62 F        F+           2
Cross section:
Lambda = 0.10 - 250.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 263.98 - 717.45 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 711.62 A
   Liden, K. (1949)
   Ark. Fys. 1, 229-267.

      0.10  9.30E-26
     10.00  1.03E-19
     17.86  4.02E-19
     17.87  2.44E-20
     20.00  3.35E-20
     30.00  1.00E-19
     40.00  2.10E-19
     50.00  3.63E-19
     60.00  5.59E-19
     70.00  7.95E-19
     80.00  1.07E-18
     90.00  1.37E-18
    100.00  1.70E-18
    110.00  2.06E-18
    120.00  2.43E-18
    130.00  2.82E-18
    140.00  3.23E-18
    150.00  3.64E-18
    160.00  4.05E-18
    170.00  4.47E-18
    180.00  4.89E-18
    190.00  5.31E-18
    200.00  5.72E-18
    210.00  6.13E-18
    220.00  6.53E-18
    230.00  6.91E-18
    240.00  7.28E-18
    250.00  7.64E-18
    263.98  7.89E-18
    264.11  8.63E-18
    264.12  8.11E-18
    264.33  7.74E-18
    264.34  7.21E-18
    264.35  8.85E-18
    264.67  7.76E-18
    264.68  7.31E-18
    264.69  8.53E-18
    264.70  8.07E-18
    265.17  7.77E-18
    265.19  7.35E-18
    265.20  7.60E-18
    265.21  8.33E-18
    265.22  8.08E-18
    265.99  7.83E-18
    266.03  7.45E-18
    266.04  6.53E-18
    266.05  9.20E-18
    266.06  8.41E-18
    266.08  8.12E-18
    267.40  7.91E-18
    267.54  7.58E-18
    267.57  7.07E-18
    267.59  1.03E-17
    267.61  8.56E-18
    267.65  8.18E-18
    270.59  7.95E-18
    270.78  7.58E-18
    270.83  6.64E-18
    270.88  9.19E-18
    270.93  8.51E-18
    271.03  8.24E-18
    277.82  8.21E-18
    279.37  8.19E-18
    279.99  7.87E-18
    280.16  7.03E-18
    280.32  9.21E-18
    280.49  8.71E-18
    280.83  8.49E-18
    328.76  9.46E-18
    328.91  9.05E-18
    328.92  8.36E-18
    328.93  8.85E-18
    328.95  8.35E-18
    328.96  9.64E-18
    328.97  1.37E-17
    328.98  1.05E-17
    329.00  9.82E-18
    329.24  9.06E-18
    329.27  8.64E-18
    329.30  8.56E-18
    329.31  7.63E-18
    329.32  1.03E-17
    329.33  1.36E-17
    329.34  1.12E-17
    329.35  1.05E-17
    329.37  9.87E-18
    329.73  9.03E-18
    329.76  8.35E-18
    329.77  8.94E-18
    329.80  8.59E-18
    329.82  7.69E-18
    329.83  6.74E-18
    329.84  9.11E-18
    329.85  1.39E-17
    329.86  1.12E-17
    329.87  1.05E-17
    329.92  9.84E-18
    330.45  9.06E-18
    330.50  8.35E-18
    330.52  8.94E-18
    330.57  8.63E-18
    330.60  7.78E-18
    330.61  6.92E-18
    330.62  4.97E-18
    330.63  1.00E-17
    330.64  1.63E-17
    330.65  1.24E-17
    330.66  1.13E-17
    330.68  1.05E-17
    330.74  9.90E-18
    331.64  9.05E-18
    331.70  8.39E-18
    331.73  8.94E-18
    331.81  8.80E-18
    331.87  7.91E-18
    331.89  7.17E-18
    331.91  5.09E-18
    331.92  9.77E-18
    331.94  1.80E-17
    331.96  1.27E-17
    331.97  1.14E-17
    332.01  1.06E-17
    332.13  9.89E-18
    333.66  9.20E-18
    333.86  8.49E-18
    333.89  8.89E-18
    333.95  9.07E-18
    334.13  8.45E-18
    334.20  7.54E-18
    334.23  6.03E-18
    334.26  1.28E-17
    334.29  2.34E-17
    334.32  1.33E-17
    334.36  1.17E-17
    334.42  1.07E-17
    334.66  9.94E-18
    337.83  9.32E-18
    338.34  8.63E-18
    338.41  9.03E-18
    338.75  9.00E-18
    339.04  8.14E-18
    339.11  7.35E-18
    339.18  6.02E-18
    339.26  8.82E-18
    339.33  1.67E-17
    339.41  1.24E-17
    339.49  1.13E-17
    339.64  1.06E-17
    340.13  1.01E-17
    349.74  9.47E-18
    350.56  8.79E-18
    350.99  9.39E-18
    351.87  9.35E-18
    352.82  8.54E-18
    353.06  7.57E-18
    353.31  1.37E-17
    353.56  8.58E-18
    353.82  1.43E-17
    354.08  1.18E-17
    354.61  1.08E-17
    356.30  1.03E-17
    399.66  1.04E-17
    543.08  1.09E-17
    543.09  1.73E-17
    543.10  1.16E-17
    543.11  1.11E-17
    543.19  1.01E-17
