        98      0.00   5200.00 HOI      OH/I        26
Cross section:
Lambda = 12.40-443. A
   Synthesized from H, O, and I.  Data for I from LANL T-4
Lambda = 0.6-5150. A
   Obtained from HOCl through energy shifting by 1/100. A
Lambda = 2300.-2400. A
   Baulch, D. L., Cox, R. A., Crutzen, P. J., Hampson, Jr., R. F.,Kerr, J. A., Troe, J., Watson, R. T. (1972)
   J. Phys. Chem. Ref. Data 11, 327
Threshold:
Lambda guessed to lie beyond that of HOCl and HOBr
 
      0.61  5.53E-23
      1.12  3.51E-21
      2.44  2.34E-20
      6.15  4.28E-20
     12.40  2.01E-18
     13.80  2.37E-18
     15.50  2.90E-18
     17.70  3.80E-18
     18.50  4.34E-18
     20.70  1.07E-18
     22.50  1.26E-18
     24.80  8.34E-19
     31.00  1.05E-18
     41.30  1.51E-18
     62.00  1.59E-18
     95.40  1.85E-18
    124.00  8.22E-18
    138.00  1.68E-17
    155.00  3.82E-17
    177.00  5.89E-17
    207.00  1.37E-17
    248.00  6.12E-18
    310.00  7.38E-18
    413.00  9.63E-18
    443.00  1.04E-17
    632.98  3.60E-17
    751.60  4.20E-17
    784.49  4.20E-17
    818.66  4.30E-17
    854.17  4.72E-17
    891.63  4.71E-17
   1070.36  4.00E-18
   1080.75  8.00E-18
   1096.35  7.10E-18
   1122.37  9.50E-18
   1132.78  9.00E-18
   1174.47  1.70E-18
   1200.56  3.80E-18
   1205.78  2.00E-18
   1221.44  1.80E-18
   1235.76  1.58E-17
   1242.35  2.00E-18
   1263.26  1.00E-18
   1273.73  1.50E-18
   1276.14  7.55E-17
   1284.20  1.10E-18
   1305.15  9.00E-19
   1310.39  2.57E-17
   1322.02  3.20E-16
   1331.35  4.00E-19
   1352.34  3.00E-18
   1357.59  1.96E-17
   1383.84  2.50E-18
   1436.43  2.11E-18
   1462.76  2.51E-18
   1489.12  2.81E-18
   1515.50  3.24E-18
   1541.90  3.45E-18
   1568.33  3.72E-18
   1594.78  3.82E-18
   1621.26  3.47E-18
   1647.76  3.32E-18
   1674.29  2.97E-18
   1700.84  2.48E-18
   1727.42  2.04E-18
   1754.02  1.63E-18
   1780.65  1.31E-18
   1807.30  1.09E-18
   1833.97  8.08E-19
   1860.67  5.88E-19
   1887.40  4.32E-19
   1914.15  3.13E-19
   1940.93  2.15E-19
   1967.73  1.45E-19
   2021.41  6.18E-20
   2075.19  5.20E-20
   2183.05  6.10E-20
   2291.32  1.10E-19
   2400.00  1.86E-19
   2509.09  2.23E-19
   2618.60  1.80E-19
   2728.52  1.08E-19
   2838.86  6.20E-20
   2949.62  4.80E-20
   3060.80  5.30E-20
   3172.41  6.10E-20
   3284.45  6.20E-20
   3396.92  5.00E-20
   3509.83  3.70E-20
   3623.17  2.40E-20
   3736.94  1.40E-20
   3851.16  8.00E-21
   3965.83  4.50E-21
   4080.93  2.40E-21
   4196.49  1.50E-21
   4312.50  5.00E-22
   4545.88  4.00E-22
   5200.00  1.00E-22
  0
***
