        81      0.00    824.62 Mg+      Mg^2+        2
Cross section:
Lambda = 0.1 - 500.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 502.80 - 866.00 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 824.62 A
   Kaufman, V., Martin, W. C. (1991a).
   J. Phys. Chem. Ref. Data 20, 83-152.

      0.10  5.64E-25
      9.39  2.13E-19
      9.40  1.91E-20
     10.00  2.24E-20
     20.00  1.29E-19
     30.00  3.54E-19
     40.00  7.13E-19
     50.00  1.21E-18
     60.00  1.82E-18
     70.00  2.54E-18
     80.00  3.32E-18
     90.00  4.13E-18
    100.00  4.93E-18
    110.00  5.66E-18
    120.00  6.30E-18
    125.48  6.59E-18
    125.49  6.03E-18
    130.00  6.24E-18
    140.00  6.57E-18
    150.00  6.71E-18
    160.00  6.63E-18
    170.00  6.32E-18
    180.00  5.79E-18
    188.74  5.15E-18
    188.75  7.29E-20
    190.00  7.36E-20
    200.00  7.91E-20
    210.00  8.46E-20
    220.00  9.02E-20
    230.00  9.57E-20
    240.00  1.01E-19
    250.00  1.07E-19
    260.00  1.12E-19
    270.00  1.18E-19
    280.00  1.24E-19
    290.00  1.29E-19
    300.00  1.34E-19
    310.00  1.40E-19
    320.00  1.45E-19
    330.00  1.50E-19
    340.00  1.56E-19
    350.00  1.61E-19
    360.00  1.66E-19
    370.00  1.70E-19
    380.00  1.75E-19
    390.00  1.80E-19
    400.00  1.85E-19
    410.00  1.89E-19
    420.00  1.93E-19
    430.00  1.98E-19
    440.00  2.02E-19
    450.00  2.06E-19
    460.00  2.10E-19
    470.00  2.13E-19
    480.00  2.17E-19
    490.00  2.20E-19
    500.00  2.24E-19
    502.80  2.23E-19
    514.20  2.25E-19
    526.00  2.26E-19
    538.50  2.28E-19
    551.50  2.30E-19
    565.20  2.31E-19
    579.60  2.32E-19
    594.70  2.32E-19
    610.60  2.33E-19
    627.50  2.33E-19
    645.20  2.32E-19
    664.00  2.31E-19
    684.00  2.29E-19
    705.10  2.27E-19
    727.70  2.23E-19
    751.70  2.19E-19
    777.30  2.13E-19
    804.80  2.06E-19
    834.20  1.97E-19
    840.40  1.95E-19
    846.60  1.93E-19
    853.00  1.91E-19
    859.40  1.88E-19
    866.00  1.86E-19
  0
***
