       403      0.00    418.85 N+       N^2+         2
Cross section:
Lambda = 0.1 - 190.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 193.80 - 425.10 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 418.85 A
   Eriksson, K. B. S. (1983)
   Phys. Scr. 28, 593.

      0.10  2.34E-26
     10.00  4.28E-20
     20.00  2.68E-19
     29.27  6.47E-19
     29.28  3.66E-20
     30.00  3.89E-20
     40.00  7.87E-20
     50.00  1.34E-19
     60.00  2.03E-19
     70.00  2.88E-19
     80.00  3.86E-19
     90.00  4.98E-19
    100.00  6.24E-19
    110.00  7.62E-19
    120.00  9.13E-19
    130.00  1.08E-18
    140.00  1.25E-18
    150.00  1.44E-18
    160.00  1.64E-18
    170.00  1.84E-18
    180.00  2.06E-18
    190.00  2.29E-18
    193.80  2.37E-18
    210.80  2.89E-18
    210.90  2.88E-18
    211.10  2.74E-18
    211.20  2.76E-18
    211.30  2.98E-18
    211.40  2.89E-18
    211.60  2.79E-18
    211.70  2.75E-18
    211.90  2.81E-18
    212.00  3.02E-18
    212.40  2.82E-18
    212.50  2.72E-18
    212.60  2.82E-18
    212.80  2.81E-18
    212.90  2.99E-18
    213.00  3.09E-18
    213.10  2.94E-18
    213.70  2.85E-18
    213.80  2.76E-18
    213.90  2.85E-18
    214.30  2.85E-18
    214.40  2.90E-18
    214.50  3.15E-18
    214.70  2.98E-18
    215.70  2.91E-18
    215.90  2.81E-18
    216.00  2.90E-18
    216.30  2.93E-18
    216.90  2.95E-18
    217.10  3.24E-18
    217.20  3.19E-18
    217.40  3.05E-18
    219.30  3.00E-18
    219.80  2.92E-18
    220.00  3.02E-18
    221.30  3.05E-18
    221.80  3.11E-18
    222.00  3.38E-18
    222.20  3.33E-18
    222.70  3.19E-18
    226.50  3.21E-18
    226.60  3.38E-18
    226.70  3.34E-18
    226.90  3.20E-18
    227.00  3.04E-18
    227.10  3.25E-18
    227.20  3.39E-18
    227.50  3.19E-18
    227.60  2.98E-18
    227.70  3.06E-18
    227.80  3.08E-18
    227.90  3.40E-18
    228.00  3.40E-18
    228.30  3.06E-18
    228.50  3.13E-18
    228.60  3.05E-18
    228.70  3.26E-18
    228.90  3.30E-18
    229.00  3.41E-18
    229.10  3.39E-18
    229.80  3.28E-18
    230.00  3.19E-18
    230.10  3.09E-18
    230.20  3.32E-18
    230.40  3.31E-18
    230.70  3.41E-18
    230.80  3.51E-18
    230.90  3.50E-18
    231.00  3.40E-18
    232.50  3.27E-18
    232.60  3.49E-18
    232.70  3.50E-18
    233.20  3.67E-18
    233.60  3.63E-18
    233.70  3.66E-18
    234.00  3.58E-18
    236.00  3.62E-18
    236.30  3.44E-18
    236.50  3.47E-18
    236.60  3.67E-18
    236.80  3.47E-18
    237.00  3.30E-18
    237.10  3.24E-18
    237.20  3.35E-18
    237.30  3.52E-18
    237.40  3.67E-18
    238.00  3.45E-18
    238.10  3.51E-18
    238.50  3.49E-18
    238.60  3.71E-18
    239.00  3.48E-18
    239.10  3.60E-18
    239.20  3.73E-18
    239.30  3.73E-18
    239.60  3.50E-18
    239.70  3.76E-18
    240.20  3.67E-18
    240.60  3.72E-18
    242.10  3.56E-18
    242.30  3.64E-18
    243.50  3.66E-18
    243.70  3.84E-18
    243.80  3.77E-18
    246.10  3.64E-18
    246.80  3.44E-18
    247.00  3.42E-18
    247.20  3.65E-18
    247.40  3.77E-18
    249.30  3.76E-18
    249.60  3.95E-18
    249.90  3.86E-18
    250.50  3.75E-18
    250.90  3.99E-18
    251.50  4.01E-18
    251.70  4.10E-18
    251.90  4.04E-18
    253.10  4.00E-18
    254.70  3.96E-18
    255.60  3.74E-18
    255.90  3.81E-18
    257.40  4.06E-18
    260.90  4.12E-18
    261.10  3.90E-18
    261.20  5.14E-18
    261.30  4.21E-18
    261.90  3.95E-18
    262.00  4.96E-18
    262.10  4.38E-18
    262.20  4.21E-18
    263.00  4.13E-18
    263.10  5.03E-18
    263.20  5.26E-18
    263.30  4.48E-18
    264.70  4.23E-18
    264.80  4.36E-18
    264.90  3.80E-18
    265.00  5.59E-18
    265.10  4.55E-18
    265.20  4.40E-18
    265.70  4.26E-18
    267.40  4.31E-18
    267.50  4.46E-18
    267.80  4.92E-18
