       105      0.00    853.06 n        ni        5  2
cross section:
lambda=110.00a-853.06a   henry, r. j. w. (1970)
   astrophys. j. 161, 1153
lambda=0.00-110.00a  barfield, w. d., koontz, g. d., huebner, w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
threshold:
lambda=853.06a  moore, c. e. (1970)
   ionization potentials and ionization limits derived from the
   analyses of optical spectra, nsrds-nbs 34

      1.00  4.00e-23
      5.00  5.70e-21
     10.00  4.20e-20
     12.00  7.10e-20
     14.00  1.20e-19
     15.00  1.40e-19
     16.00  1.60e-19
     17.00  1.80e-19
     18.00  2.10e-19
     19.00  2.40e-19
     20.00  2.80e-19
     21.00  3.10e-19
     22.00  3.50e-19
     24.30  4.30e-19
     26.00  5.40e-19
     28.00  6.50e-19
     30.00  7.20e-19
     31.00  3.40e-20
     35.00  4.60e-20
     40.00  6.30e-20
     45.00  8.50e-20
     50.00  1.10e-19
     60.00  1.70e-19
     70.00  2.40e-19
     80.00  3.40e-19
     90.00  4.60e-19
    100.00  5.89e-19
    110.00  7.34e-19
    120.00  8.64e-19
    130.00  1.00e-18
    140.00  1.15e-18
    150.00  1.31e-18
    160.00  1.47e-18
    170.00  1.65e-18
    180.00  1.83e-18
    190.00  2.01e-18
    200.00  2.21e-18
    210.00  2.41e-18
    220.00  2.61e-18
    230.00  2.82e-18
    240.00  3.04e-18
    250.00  3.26e-18
    260.00  3.49e-18
    270.00  3.71e-18
    280.00  3.95e-18
    290.00  4.18e-18
    300.00  4.42e-18
    310.00  4.66e-18
    320.00  4.91e-18
    330.00  5.15e-18
    340.00  5.40e-18
    350.00  5.65e-18
    360.00  5.90e-18
    370.00  6.15e-18
    380.00  6.40e-18
    390.00  6.65e-18
    400.00  6.89e-18
    410.00  7.14e-18
    420.00  7.39e-18
    430.00  7.63e-18
    440.00  7.87e-18
    450.00  8.11e-18
    460.00  8.35e-18
    470.00  8.58e-18
    480.00  8.81e-18
    490.00  9.04e-18
    500.00  9.26e-18
    510.00  9.48e-18
    520.00  9.69e-18
    530.00  9.90e-18
    540.00  1.01e-17
    550.00  1.03e-17
    560.00  1.05e-17
    570.00  1.07e-17
    580.00  1.08e-17
    590.00  1.10e-17
    600.00  1.12e-17
    610.00  1.13e-17
    620.00  1.14e-17
    630.00  1.16e-17
    640.00  1.17e-17
    650.00  1.18e-17
    660.00  1.19e-17
    670.00  1.20e-17
    680.00  1.21e-17
    690.00  1.22e-17
    700.00  1.22e-17
    710.00  1.23e-17
    720.00  1.23e-17
    730.00  1.23e-17
    740.00  1.23e-17
    750.00  1.23e-17
    760.00  1.23e-17
    770.00  1.23e-17
    780.00  1.22e-17
    790.00  1.22e-17
    800.00  1.21e-17
    810.00  1.20e-17
    820.00  1.19e-17
    825.92  1.18e-17
    825.93  1.18e-17
    830.00  1.18e-17
    840.00  1.16e-17
    850.00  1.15e-17
    853.06  1.15e-17
  0
***
