      2579      0.00   2423.70 O2       Total
Lambda = 1.-295 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409
   (two times cross section for atomic oxygen)
Lambda = 9.9-247.2 A
   Bortner, M. H., Baurer, T. (1978)
   Defense Nuclear Agency Reaction Rate Handbook, DNA 1948h, 2nd ed., rev. Nr. 7
Lambda = 41.33-1771.2 A
   Brion, C. E., Tan, K. H. (1979)
   J. Electron Spectr. Related Phenom. 17, 101
Lambda = 209.3-1037.6 A
   Samson, J. A. R., Cairns, R. B. (1964, 1965)
   J. Geophys. Res. 69, 4583
   J. Opt. Soc. Am. 55, 1035
Lambda = 600-912 A
   Cook, G. R., Metzger, P. H. (1964)
   J. Chem. Phys. 41, 321
Lambda = 580-1077 A
   Matsunaga, F. M., Watanabe, K. (1967)
   Science of Light 16, 31
Lambda = 1062-1751 A
   Watanabe, K. (1958)
   Adv. Geophys. 5, 153
Lambda = 1163-2000 A
   Ackerman, M. (1971)
   Ultraviolet Solar Radiation Related to Mesospheric Processes, in
   Mesospheric Models and Related Experiments, G. Fiocco (ed.), Proc.
   4th ESRIN-ESLAB Symp., Frascati, Italy (Reidel Dordrecht-Holland)
Lambda = 1163-2000 A
   Ackerman, M., Biaume, F., Kockarts, G. (1970)
   Planet. Space Sci. 18, 1639
Lambda = 140.3-1740.0 A
   Gibson, S. T., Gies, H. P. F., Blake, A. J., Mccoy, D. G., Rogers, P. J. (1983)
   J. Quant. Spectr. Rad. Trans. 30, 385
Lambda = 2000-2200 A
   Herman, J. R., Mentall, J. E. (1982)
   J. Geophys. Res. 87, 8967
Lambda = 2250-2423.7 A
   Shardanand, Rao, A. D. P. (1976)
   J. Quant. Spectr. Rad. Trans. 17, 433
Threshold (dissociation):
Lambda = 2423.7 A
   Huber, K.-P., Herzberg, G. (1979)
   Molecular Spectra & Molecular Structure, Vol. 4, Van Nostrand Reinhold, New York
Lambda = 1792.3-1998.0 A
   (1,0) - (12,0) Schumann-Runge bands
   Yoshino, K., Freeman, D. E., Esmond, J. R., Parkinson, W. H. (1982?)
   Plan. Space Sci.   ,   
   band 12,0; O2b12x0c
Lambda = 1792.13-1803.41 A
   band 11,0; O2b11x0c
Lambda = 1803.45-1816.19 A
   band 10,0; O2b10x0c
Lambda = 1816.20-1830.59 A
   band 9,0; O2b9x0c
Lambda = 1830.60-1846.04 A
   band 8,0; O2b8x0c
Lambda = 1846.07-1862.86 A
   band 7,0; O2b7x0c
Lambda = 1862.90-1882.15 A
   band 6,0; O2b6x0c
Lambda = 1882.19-1902.40 A
   band 5,0; O2b5x0c
Lambda = 1902.41-1923.79 A
   band 4,0; O2b4x0c
Lambda = 1923.84-1946.64 A
   band 3,0; O2b3x0c
Lambda = 1946.66-1971.60 A
   band 2,0; O2b2x0c
Lambda = 1971.61-1997.99 A
   band 1,0; O2b1x0c
Lambda = 1998.00-2015.19 A

      1.00  2.00E-22
      4.00  1.20E-20
      7.50  7.50E-20
      9.90  1.40E-19
     12.50  2.70E-19
     13.40  2.90E-19
     19.00  7.00E-19
     26.90  1.00E-19
     36.00  2.00E-19
     41.33  4.70E-19
     48.62  5.30E-19
     51.50  4.40E-19
     52.76  6.70E-19
     57.67  8.00E-19
     63.58  9.00E-19
     68.00  9.00E-19
     70.85  1.16E-18
     72.50  8.00E-19
     79.99  1.44E-18
     91.84  2.03E-18
     93.00  1.40E-18
    100.00  1.90E-18
    107.80  2.82E-18
    120.50  2.20E-18
    130.50  4.16E-18
    151.50  4.20E-18
    165.30  6.76E-18
    167.50  6.96E-18
    169.80  7.12E-18
    172.20  7.29E-18
    172.50  5.70E-18
    174.60  7.46E-18
    177.10  7.72E-18
    179.70  7.92E-18
    182.30  8.06E-18
    185.00  6.80E-18
    185.10  8.32E-18
    187.90  8.44E-18
    190.70  8.67E-18
    193.70  8.90E-18
    196.80  9.11E-18
    197.50  8.00E-18
    200.00  9.39E-18
    203.30  9.63E-18
    206.60  9.82E-18
    209.30  9.00E-18
    210.10  1.01E-17
    212.50  9.40E-18
    213.80  1.03E-17
    217.50  1.06E-17
    221.40  1.09E-17
    225.40  1.14E-17
    229.60  1.17E-17
    230.00  1.10E-17
    233.90  1.20E-17
    238.40  1.24E-17
    243.10  1.28E-17
    247.20  1.23E-17
    248.00  1.33E-17
    250.00  1.30E-17
    253.00  1.36E-17
    257.00  1.40E-17
    258.30  1.42E-17
    263.80  1.47E-17
    269.50  1.51E-17
    270.00  1.60E-17
    275.50  1.55E-17
    281.80  1.60E-17
    288.30  1.64E-17
    295.00  1.90E-17
    295.20  1.67E-17
    302.40  1.70E-17
    303.80  1.70E-17
    310.00  1.72E-17
    317.90  1.73E-17
    326.30  1.74E-17
    335.10  1.76E-17
    344.40  1.78E-17
    354.20  1.81E-17
    364.70  1.83E-17
    375.70  1.87E-17
    387.50  1.92E-17
    400.00  1.95E-17
    413.30  2.01E-17
    427.50  2.04E-17
    430.20  1.80E-17
    435.00  2.10E-17
    442.80  2.08E-17
    459.20  2.13E-17
    476.90  2.21E-17
    495.90  2.31E-17
    507.70  2.20E-17
    508.20  2.30E-17
    516.60  2.40E-17
    522.20  2.10E-17
    525.80  2.40E-17
    537.00  2.10E-17
    539.10  2.48E-17
    553.30  2.40E-17
    554.10  2.50E-17
    554.50  2.60E-17
    555.30  2.50E-17
    563.60  2.52E-17
    584.30  2.30E-17
    590.40  2.47E-17
    599.60  2.70E-17
    610.00  2.50E-17
    619.90  2.57E-17
    625.00  2.40E-17
    629.70  2.90E-17
    647.50  3.10E-17
    652.60  2.41E-17
    660.00  2.80E-17
    670.00  2.50E-17
    682.50  2.20E-17
    685.00  2.60E-17
    685.50  1.80E-17
    685.80  1.80E-17
    686.30  2.20E-17
    688.80  2.33E-17
    702.30  2.40E-17
    703.80  2.60E-17
    729.30  2.53E-17
    760.40  2.00E-17
    765.10  2.30E-17
    770.40  1.80E-17
    774.90  2.33E-17
    780.30  2.80E-17
    787.70  2.40E-17
    790.10  2.80E-17
    790.20  2.80E-17
    826.60  2.02E-17
    832.80  2.60E-17
    832.90  2.60E-17
    833.30  1.30E-17
    833.70  1.30E-17
    834.50  1.10E-17
    835.10  1.00E-17
    835.30  1.00E-17
    885.60  1.01E-17
    904.00  1.10E-17
    923.00  2.17E-17
    930.70  2.60E-17
    937.80  5.00E-18
    949.70  6.30E-18
    953.70  9.20E-18
    972.50  3.20E-17
    977.00  4.00E-18
    989.80  1.40E-18
    991.60  1.75E-18
   1025.70  1.58E-18
   1027.60  1.16E-18
   1029.40  1.51E-18
   1030.80  1.04E-18
   1032.20  1.12E-18
   1033.20  4.30E-18
   1034.30  1.26E-18
   1035.50  6.30E-19
   1036.60  7.10E-19
   1038.40  1.15E-18
   1040.00  1.71E-18
   1044.20  1.49E-19
   1045.30  3.35E-19
   1047.20  1.71E-18
   1049.10  2.30E-18
   1050.70  5.20E-19
   1052.50  2.30E-18
   1055.70  5.40E-19
   1060.00  1.17E-18
   1062.00  7.30E-19
   1066.70  3.65E-18
   1067.40  9.62E-20
   1069.30  4.40E-20
   1072.80  1.04E-18
   1073.30  8.32E-19
   1074.20  1.63E-18
   1076.00  1.72E-19
   1077.10  1.72E-19
   1077.20  9.12E-20
   1080.90  2.24E-18
   1081.80  1.48E-18
   1082.10  2.80E-18
   1082.70  4.75E-19
   1083.30  2.57E-18
   1084.60  1.08E-18
   1085.60  2.88E-18
   1087.30  2.42E-19
   1088.20  8.31E-19
   1089.00  5.05E-19
   1089.60  5.41E-19
   1091.90  5.84E-20
   1094.00  1.55E-19
   1094.80  4.75E-20
   1097.20  3.07E-19
   1098.10  1.17E-19
   1101.70  1.33E-18
   1102.00  4.57E-19
   1104.80  9.92E-19
   1106.00  8.07E-19
   1108.10  4.07E-21
   1116.20  4.17E-19
   1118.50  6.81E-20
   1120.60  7.94E-19
   1121.50  7.03E-19
   1122.70  1.70E-18
   1123.90  7.36E-19
   1124.90  2.20E-18
   1126.40  1.85E-20
   1127.10  1.00E-18
   1130.40  5.21E-20
   1137.80  2.93E-18
   1142.90  8.91E-21
   1144.10  2.49E-20
   1144.80  2.00E-20
   1148.00  2.97E-19
   1148.60  1.26E-19
   1150.80  2.47E-18
   1151.80  1.16E-18
   1153.50  6.36E-18
   1157.00  1.86E-20
   1158.60  4.57E-20
   1160.00  2.93E-20
   1162.90  2.56E-18
   1163.80  1.50E-18
   1164.20  5.35E-18
   1166.50  2.00E-20
   1173.00  1.25E-18
   1179.50  2.55E-19
   1186.50  3.00E-20
   1194.00  3.75E-19
   1201.50  4.45E-18
   1208.50  8.35E-18
   1216.00  6.00E-19
   1223.50  2.35E-19
   1231.00  4.50E-19
   1238.50  3.35E-19
   1239.90  1.60E-18
   1246.00  1.75E-17
   1254.00  8.95E-19
   1262.00  4.30E-19
   1270.00  1.10E-19
   1278.00  2.05E-19
   1286.00  4.43E-19
   1294.50  5.55E-19
   1303.00  4.20E-19
   1311.50  6.85E-19
   1320.00  1.45E-18
   1328.50  2.25E-18
   1337.50  2.30E-18
   1346.50  4.55E-18
   1355.50  7.23E-18
   1365.00  9.50E-18
   1374.50  1.23E-17
   1377.60  6.80E-18
   1384.00  1.32E-17
   1393.50  1.36E-17
   1400.30  1.40E-17
   1410.40  1.41E-17
   1418.00  1.40E-17
