       342      0.00    531.26 S+       S^2+         2
Cross section:
Lambda = 0.1 - 290.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 299.60 - 536.80 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 531.26 A
   Martin, W. C., Zalubas, R., Musgrove, A. (1990)
   J. Phys. Chem. Ref. Data 19, 821 (1990).

      0.10  1.22E-24
      5.00  1.10E-19
      5.01  1.14E-20
     10.00  7.27E-20
     20.00  4.35E-19
     30.00  1.15E-18
     40.00  2.16E-18
     50.00  3.32E-18
     51.94  3.55E-18
     51.95  3.18E-18
     60.00  4.08E-18
     67.16  4.81E-18
     67.17  2.93E-19
     70.00  3.13E-19
     80.00  3.87E-19
     90.00  4.60E-19
    100.00  5.30E-19
    110.00  5.97E-19
    120.00  6.58E-19
    130.00  7.14E-19
    140.00  7.63E-19
    150.00  8.05E-19
    160.00  8.39E-19
    170.00  8.65E-19
    180.00  8.83E-19
    190.00  8.94E-19
    200.00  8.96E-19
    210.00  8.91E-19
    220.00  8.79E-19
    230.00  8.60E-19
    240.00  8.34E-19
    250.00  8.04E-19
    260.00  7.69E-19
    270.00  7.32E-19
    280.00  6.92E-19
    290.00  6.52E-19
    299.60  6.18E-19
    300.00  6.40E-19
    300.10  7.06E-19
    300.20  5.41E-19
    300.90  6.02E-19
    301.00  6.56E-19
    301.10  5.58E-19
    301.20  5.59E-19
    301.90  6.00E-19
    302.30  6.49E-19
    302.40  6.51E-19
    302.50  5.37E-19
    302.60  5.35E-19
    302.70  5.75E-19
    304.10  6.33E-19
    304.20  7.84E-19
    304.30  7.19E-19
    304.40  7.46E-19
    304.50  5.61E-19
    304.60  5.55E-19
    305.30  7.73E-19
    305.40  8.69E-19
    305.50  7.06E-19
    306.60  6.25E-19
    306.70  6.66E-19
    306.80  8.24E-19
    306.90  6.94E-19
    307.00  6.38E-19
    307.30  6.15E-19
    307.60  6.30E-19
    307.70  6.97E-19
    307.80  6.07E-19
    307.90  4.86E-19
    308.00  5.22E-19
    308.60  5.50E-19
    308.80  5.77E-19
    308.90  7.01E-19
    309.00  7.79E-19
    309.10  6.14E-19
    309.50  5.62E-19
    309.60  5.17E-19
    309.70  6.92E-19
    309.80  5.66E-19
    310.50  5.16E-19
    310.70  7.23E-19
    310.80  6.43E-19
    310.90  5.56E-19
    311.80  5.16E-19
    312.10  5.60E-19
    312.20  8.35E-19
    312.30  7.98E-19
    312.40  7.86E-19
    312.50  8.32E-19
    312.60  6.28E-19
    312.70  5.84E-19
    313.40  5.18E-19
    313.50  3.75E-19
    313.70  4.35E-19
    313.90  4.66E-19
    314.30  4.48E-19
    314.40  8.68E-19
    314.50  6.74E-19
    314.60  5.65E-19
    314.70  5.26E-19
    315.90  4.96E-19
    317.60  4.98E-19
    317.80  5.35E-19
    317.90  6.32E-19
    318.00  1.09E-18
    318.10  6.71E-19
    318.20  7.34E-19
    318.30  8.91E-19
    318.40  9.03E-19
    318.60  6.84E-19
    318.70  6.25E-19
    318.90  5.66E-19
    319.40  5.20E-19
    321.90  4.85E-19
    322.30  4.64E-19
    322.40  4.85E-19
    323.80  4.54E-19
    323.90  4.83E-19
    324.00  5.56E-19
    324.10  7.48E-19
    324.20  8.18E-19
    324.30  7.70E-19
    324.40  8.33E-19
    324.50  7.97E-19
    324.60  7.08E-19
    324.70  7.23E-19
    324.80  4.47E-19
    324.90  3.85E-19
    325.10  4.01E-19
    325.50  4.46E-19
    328.10  4.93E-19
    328.20  5.09E-19
    328.80  5.01E-19
    329.50  5.57E-19
    329.90  6.45E-19
    330.10  7.72E-19
    330.40  1.10E-18
    330.50  1.08E-18
    330.70  8.70E-19
    330.80  6.88E-19
    331.00  5.84E-19
    331.20  5.09E-19
    331.70  4.81E-19
    331.80  9.17E-19
    331.90  5.63E-19
    332.00  5.06E-19
    332.30  4.73E-19
    335.40  4.49E-19
    336.10  4.65E-19
    336.20  4.97E-19
    336.30  6.04E-19
    336.50  8.55E-19
    336.60  8.22E-19
    336.80  6.67E-19
    336.90  5.90E-19
    337.20  5.32E-19
    338.00  5.03E-19
    339.00  5.23E-19
    339.40  5.71E-19
    339.60  6.39E-19
    339.80  7.90E-19
    339.90  8.89E-19
    340.10  6.79E-19
    340.30  5.58E-19
