       203      0.00   1895.79 Sc       Sc^+         2
Cross section:
Lambda = 0.1-1895.79 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487
Threshold:  7.342 eV
   Cowan, R. D. (1981)
   The Theory of Atomic Structure and Spectra (University of California Press, 
   Berkeley, Los Angeles, London), p. 12-15.
        
      0.10  3.68E-24
      2.76  6.10E-20
      2.77  7.11E-21
     10.00  2.28E-19
     20.00  1.22E-18
     24.64  1.90E-18
     24.65  1.67E-18
     30.00  2.45E-18
     30.58  2.53E-18
     30.59  2.90E-19
     40.00  4.82E-19
     50.00  7.09E-19
     60.00  9.45E-19
     70.00  1.18E-18
     80.00  1.40E-18
     90.00  1.60E-18
    100.00  1.77E-18
    110.00  1.92E-18
    120.00  2.05E-18
    130.00  2.14E-18
    140.00  2.22E-18
    150.00  2.27E-18
    160.00  2.30E-18
    170.00  2.32E-18
    180.00  2.34E-18
    190.00  2.36E-18
    200.00  2.38E-18
    210.00  2.42E-18
    219.83  2.48E-18
    219.84  2.10E-18
    220.00  2.10E-18
    230.00  2.22E-18
    240.00  2.38E-18
    250.00  2.60E-18
    260.00  2.88E-18
    270.00  3.23E-18
    280.00  3.67E-18
    290.00  4.20E-18
    300.00  4.84E-18
    310.00  5.60E-18
    320.00  6.48E-18
    330.00  7.51E-18
    340.00  8.69E-18
    350.00  1.00E-17
    360.00  1.16E-17
    369.00  1.31E-17
    369.01  2.52E-18
    370.00  2.53E-18
    380.00  2.60E-18
    390.00  2.67E-18
    400.00  2.74E-18
    410.00  2.80E-18
    420.00  2.86E-18
    430.00  2.92E-18
    440.00  2.98E-18
    450.00  3.03E-18
    460.00  3.08E-18
    470.00  3.12E-18
    480.00  3.17E-18
    490.00  3.21E-18
    500.00  3.24E-18
    510.00  3.28E-18
    520.00  3.31E-18
    530.00  3.34E-18
    540.00  3.36E-18
    550.00  3.38E-18
    560.00  3.40E-18
    570.00  3.42E-18
    580.00  3.43E-18
    590.00  3.44E-18
    600.00  3.45E-18
    610.00  3.45E-18
    620.00  3.46E-18
    630.00  3.46E-18
    640.00  3.45E-18
    650.00  3.45E-18
    660.00  3.44E-18
    670.00  3.43E-18
    680.00  3.42E-18
    690.00  3.41E-18
    700.00  3.39E-18
    710.00  3.38E-18
    720.00  3.36E-18
    730.00  3.34E-18
