       776      0.00    758.51 Si+      Si^2+        2
Cross section:
Lambda = 0.1 - 320.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 320.98 - 785.62 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 758.51 A
   Martin, W. C., Zalubas, R. (1983)
   J. Phys. Chem. Ref. Data 12, 323-379.

      0.10  6.07E-25
      6.71  1.52E-19
      6.72  1.43E-20
     10.00  4.12E-20
     20.00  2.48E-19
     30.00  6.82E-19
     40.00  1.34E-18
     50.00  2.19E-18
     60.00  3.14E-18
     70.00  4.10E-18
     76.58  4.69E-18
     76.59  4.21E-18
     80.00  4.48E-18
     90.00  5.12E-18
    100.00  5.48E-18
    104.54  5.53E-18
    104.55  2.18E-19
    110.00  2.34E-19
    120.00  2.65E-19
    130.00  2.95E-19
    140.00  3.24E-19
    150.00  3.52E-19
    160.00  3.79E-19
    170.00  4.05E-19
    180.00  4.29E-19
    190.00  4.51E-19
    200.00  4.73E-19
    210.00  4.92E-19
    220.00  5.10E-19
    230.00  5.26E-19
    240.00  5.41E-19
    250.00  5.54E-19
    260.00  5.65E-19
    270.00  5.74E-19
    280.00  5.82E-19
    290.00  5.88E-19
    300.00  5.93E-19
    310.00  5.96E-19
    320.00  5.97E-19
    320.98  5.84E-19
    330.34  5.63E-19
    330.43  6.29E-19
    330.48  5.64E-19
    330.73  5.67E-19
    331.10  5.63E-19
    331.48  5.60E-19
    331.63  6.26E-19
    331.69  5.67E-19
    332.00  5.70E-19
    332.78  5.54E-19
    333.05  5.57E-19
    333.34  6.23E-19
    333.39  5.87E-19
    333.51  5.67E-19
    334.71  5.53E-19
    335.00  5.63E-19
    335.42  5.58E-19
    335.88  6.28E-19
    335.97  5.82E-19
    336.10  5.69E-19
    338.00  5.62E-19
    338.34  5.70E-19
    339.11  5.60E-19
    339.34  5.95E-19
    339.84  5.93E-19
    339.99  5.57E-19
    340.42  5.43E-19
    341.69  5.74E-19
    341.94  6.46E-19
    341.96  5.82E-19
    341.97  5.63E-19
    342.02  5.64E-19
    342.11  6.05E-19
    342.59  6.01E-19
    342.78  5.78E-19
    343.19  5.78E-19
    343.22  6.10E-19
    343.24  5.91E-19
    343.40  5.05E-19
    343.44  5.61E-19
    343.49  6.07E-19
    343.90  6.05E-19
    344.48  5.61E-19
    344.56  6.12E-19
    344.89  5.79E-19
    345.00  5.96E-19
    345.05  5.80E-19
    345.29  5.13E-19
    345.32  5.56E-19
    345.34  6.32E-19
    345.41  5.81E-19
    345.58  5.76E-19
    345.70  6.45E-19
    345.85  5.97E-19
    346.49  5.74E-19
    346.57  5.35E-19
    346.86  5.74E-19
    346.92  5.66E-19
    347.20  5.77E-19
    347.61  6.07E-19
    347.78  5.89E-19
    347.88  5.93E-19
    347.92  6.33E-19
    347.99  7.84E-19
    348.02  7.80E-19
    348.20  5.99E-19
    348.23  6.03E-19
    348.27  6.36E-19
    348.34  6.29E-19
    348.45  6.60E-19
    349.64  6.94E-19
    349.68  7.35E-19
    349.82  7.07E-19
    350.14  5.90E-19
    350.21  5.93E-19
    350.31  7.32E-19
    350.42  6.96E-19
    350.56  7.22E-19
    351.09  6.69E-19
    351.59  5.63E-19
    351.68  5.76E-19
    351.75  6.58E-19
    351.84  7.29E-19
    352.23  6.70E-19
    352.70  6.29E-19
    352.80  6.75E-19
    352.93  8.55E-19
    352.98  8.52E-19
    353.07  6.85E-19
    353.14  6.21E-19
    353.71  5.70E-19
    354.05  6.64E-19
    356.22  5.53E-19
    356.74  4.71E-19
    356.92  4.94E-19
    357.01  5.79E-19
    357.09  7.45E-19
    357.11  7.65E-19
    357.21  6.47E-19
    357.26  6.83E-19
    357.29  7.74E-19
    357.30  7.55E-19
    357.42  8.20E-19
    357.69  7.40E-19
    357.85  7.81E-19
    357.91  7.16E-19
    358.03  5.84E-19
    358.17  5.17E-19
    358.27  5.34E-19
    358.38  6.47E-19
    358.48  7.13E-19
    358.58  6.80E-19
    358.76  7.52E-19
    358.79  7.14E-19
    358.98  6.51E-19
    359.18  5.33E-19
    359.28  6.54E-19
    359.40  6.79E-19
    360.39  6.09E-19
    360.54  6.62E-19
    360.74  6.35E-19
    360.89  7.07E-19
    360.95  6.67E-19
    361.11  6.19E-19
    361.38  6.47E-19
