       547      0.00   1520.96 Si       Si+          2
Cross section:
Lambda = 0.1 - 600.00 A
   Verner, D. A., Yakovlev, D. G., Band, I. M., Trzhaskovskaya, M. B. (1993)
   Atomic Data Nuclear Data Tables 55, 233.
   Verner, D. A., Yakovlev, D. G. (1995)
   Astron. Astrophys. Suppl. 109, 125.
   Verner, D. A., Ferland, G. J., Korista, K. T., Yakovlev, D. G. (1996)
   Astrophys. J. 465, 487.
Lambda = 612.40 - 1541. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1520.96 A
   Martin, W. C., Kaufman, V., Musgrove, A., Dalton, G. R. (1994)
   unpublished.  
   See:  http://physics.nist.gov/PhysRefData/Handbook/atomic_number.htm

      0.10  6.52E-25
      6.72  1.50E-19
      6.73  1.44E-20
     10.00  4.08E-20
     20.00  2.46E-19
     30.00  6.81E-19
     40.00  1.35E-18
     50.00  2.21E-18
     60.00  3.17E-18
     70.00  4.10E-18
     79.48  4.85E-18
     79.49  4.37E-18
     80.00  4.40E-18
     90.00  4.90E-18
    100.00  5.04E-18
    110.00  4.75E-18
    116.97  4.30E-18
    116.98  2.78E-19
    120.00  2.90E-19
    130.00  3.32E-19
    140.00  3.73E-19
    150.00  4.13E-19
    160.00  4.52E-19
    170.00  4.89E-19
    180.00  5.25E-19
    190.00  5.58E-19
    200.00  5.89E-19
    210.00  6.17E-19
    220.00  6.41E-19
    230.00  6.63E-19
    240.00  6.81E-19
    250.00  6.96E-19
    260.00  7.07E-19
    270.00  7.16E-19
    280.00  7.21E-19
    290.00  7.22E-19
    300.00  7.21E-19
    310.00  7.17E-19
    320.00  7.11E-19
    330.00  7.02E-19
    340.00  6.91E-19
    350.00  6.79E-19
    360.00  6.66E-19
    370.00  6.51E-19
    380.00  6.36E-19
    390.00  6.22E-19
    400.00  6.07E-19
    410.00  5.94E-19
    420.00  5.82E-19
    430.00  5.72E-19
    440.00  5.64E-19
    450.00  5.60E-19
    460.00  5.58E-19
    470.00  5.61E-19
    480.00  5.69E-19
    490.00  5.81E-19
    500.00  5.99E-19
    510.00  6.23E-19
    520.00  6.54E-19
    530.00  6.93E-19
    540.00  7.39E-19
    550.00  7.93E-19
    560.00  8.56E-19
    570.00  9.29E-19
    580.00  1.01E-18
    590.00  1.10E-18
    600.00  1.21E-18
    612.40  1.27E-18
    624.80  1.35E-18
    637.40  1.43E-18
    650.30  1.52E-18
    666.20  1.94E-18
    666.50  1.77E-18
    666.60  2.32E-18
    666.70  2.52E-18
    666.80  2.16E-18
    666.90  2.06E-18
    667.30  1.94E-18
    667.40  1.92E-18
    667.50  1.91E-18
    667.80  1.81E-18
    667.90  2.05E-18
    668.00  2.64E-18
    668.10  2.33E-18
    668.30  2.10E-18
    669.00  1.96E-18
    669.70  2.28E-18
    669.80  2.24E-18
    669.90  2.84E-18
    670.00  2.44E-18
    670.10  2.21E-18
    670.40  2.08E-18
    671.30  1.94E-18
    671.40  1.99E-18
    671.70  1.90E-18
    672.40  1.83E-18
    672.50  1.79E-18
    672.60  2.18E-18
    672.70  1.93E-18
    672.80  2.61E-18
    672.90  2.33E-18
    673.00  2.24E-18
    673.10  2.13E-18
    673.20  2.19E-18
    673.30  2.18E-18
    673.80  1.89E-18
    674.00  1.84E-18
    674.20  1.99E-18
    674.40  2.04E-18
    675.00  1.88E-18
    675.10  1.92E-18
    675.20  1.84E-18
    675.40  1.78E-18
    675.70  1.93E-18
    676.10  1.94E-18
    676.70  1.74E-18
    676.80  1.85E-18
    676.90  2.32E-18
    677.00  1.67E-18
    677.10  2.31E-18
    677.20  2.03E-18
    677.30  1.54E-18
    677.40  2.30E-18
    677.50  2.68E-18
    677.60  2.38E-18
    677.70  2.31E-18
    678.00  2.32E-18
    678.50  2.31E-18
    680.70  1.99E-18
    681.20  2.06E-18
    681.30  1.91E-18
    681.40  2.22E-18
    682.30  2.20E-18
    683.60  2.11E-18
    683.70  2.16E-18
    683.90  2.07E-18
    684.00  1.63E-18
    684.10  1.58E-18
    684.20  1.91E-18
    684.40  2.07E-18
    684.50  2.28E-18
    684.60  2.74E-18
    684.70  2.37E-18
    684.80  1.85E-18
    684.90  1.89E-18
    685.00  2.05E-18
    685.10  2.58E-18
    685.20  1.87E-18
    685.30  1.63E-18
    685.40  1.68E-18
    685.50  1.60E-18
    685.60  2.58E-18
    685.70  2.96E-18
    685.80  3.10E-18
    685.90  3.08E-18
    686.00  2.89E-18
    686.10  2.97E-18
    686.20  2.94E-18
    686.60  2.84E-18
    686.70  2.65E-18
    686.80  1.42E-18
    686.90  2.16E-18
