       394      9.11   1083.00 C(3P)    C+           2
Cross section:
Lambda = 0.10 A
   Verner, D. A.,  
Lambda = 9.11-1082. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1101.1 A
   Johansson, L. (1966)
   Ark. Fys. 31, 201.

      0.10  1.06E-26
      9.11  1.73E-20
     10.76  2.78E-20
     12.71  4.45E-20
     15.01  7.05E-20
     17.72  1.11E-19
     20.93  1.73E-19
     24.71  2.67E-19
     29.19  4.07E-19
     34.47  6.10E-19
     40.70  9.08E-19
     41.08  9.30E-19
     41.09  7.52E-19
     41.46  2.74E-19
     46.03  5.75E-20
     51.73  7.54E-20
     59.03  1.02E-19
     68.75  1.43E-19
     82.29  2.12E-19
    102.50  3.36E-19
    135.80  5.95E-19
    201.10  1.27E-18
    368.40  4.19E-18
    375.80  4.65E-18
    377.30  4.55E-18
    377.40  4.81E-18
    377.50  4.73E-18
    377.70  4.35E-18
    377.80  4.92E-18
    377.90  4.74E-18
    378.10  4.52E-18
    378.30  4.52E-18
    378.40  5.30E-18
    378.50  4.77E-18
    378.90  4.47E-18
    379.10  4.30E-18
    379.20  5.38E-18
    379.30  5.09E-18
    379.40  4.78E-18
    380.20  4.28E-18
    380.30  4.52E-18
    380.40  5.34E-18
    380.50  5.21E-18
    380.80  4.87E-18
    381.40  4.55E-18
    381.90  4.47E-18
    382.40  4.98E-18
    382.60  5.22E-18
    382.90  5.08E-18
    383.90  4.67E-18
    384.80  4.88E-18
    386.20  4.91E-18
    386.50  4.96E-18
    387.40  5.13E-18
    388.10  4.99E-18
    395.90  4.94E-18
    396.20  5.15E-18
    396.50  5.23E-18
    398.80  5.13E-18
    403.00  5.52E-18
    407.30  5.19E-18
    407.40  5.59E-18
    407.60  5.41E-18
    407.80  5.45E-18
    407.90  5.55E-18
    408.10  5.41E-18
    408.30  5.25E-18
    408.40  5.49E-18
    408.50  5.56E-18
    409.20  5.27E-18
    409.30  5.49E-18
    409.40  5.64E-18
    410.30  5.36E-18
    410.60  5.15E-18
    410.70  5.72E-18
    410.80  5.73E-18
    410.90  5.60E-18
    411.40  5.46E-18
    412.70  5.22E-18
    413.00  5.46E-18
    413.10  5.71E-18
    413.20  5.76E-18
    413.40  5.66E-18
    414.80  5.37E-18
    416.80  5.55E-18
    417.40  5.41E-18
    417.60  5.91E-18
    418.00  5.84E-18
    418.30  5.54E-18
    421.70  5.75E-18
    421.80  5.78E-18
    422.10  5.59E-18
    422.20  5.77E-18
    422.70  5.60E-18
    422.80  5.70E-18
    422.90  5.81E-18
    423.60  5.60E-18
    423.80  5.77E-18
    423.90  5.82E-18
    424.90  5.61E-18
    425.30  5.79E-18
    425.40  5.83E-18
    426.20  5.67E-18
    427.30  5.39E-18
    427.50  5.50E-18
    427.60  6.02E-18
    427.70  6.84E-18
    427.80  6.42E-18
    428.00  6.05E-18
    431.30  5.82E-18
    432.80  6.02E-18
    440.30  5.97E-18
    443.00  6.13E-18
    443.30  6.30E-18
    446.20  6.05E-18
    446.30  6.75E-18
    446.40  6.29E-18
    446.70  5.73E-18
    446.80  5.75E-18
    446.90  7.26E-18
    447.00  6.30E-18
    447.50  5.93E-18
    447.60  5.53E-18
    447.70  7.28E-18
    447.80  6.58E-18
    447.90  6.28E-18
    448.50  5.88E-18
    448.60  5.89E-18
    448.70  6.32E-18
    448.80  5.44E-18
    448.90  7.32E-18
    449.00  6.63E-18
    449.20  6.27E-18
    449.90  6.08E-18
    450.40  6.20E-18
    450.50  6.17E-18
    450.60  5.64E-18
    450.70  4.39E-18
    450.80  9.05E-18
    450.90  7.11E-18
    451.00  6.70E-18
    451.10  6.50E-18
    452.80  6.23E-18
    453.70  5.88E-18
    453.80  5.46E-18
    453.90  4.86E-18
    454.00  6.08E-18
    454.10  8.77E-18
    454.20  7.18E-18
    454.40  6.79E-18
    454.80  6.54E-18
    458.50  6.11E-18
    459.40  5.77E-18
    459.80  5.89E-18
    459.90  5.27E-18
    460.10  4.49E-18
    460.30  1.47E-17
    460.50  8.42E-18
    460.70  7.47E-18
    460.90  7.11E-18
    461.00  6.92E-18
    462.10  6.58E-18
    466.60  6.28E-18
    468.50  6.60E-18
    470.30  6.58E-18
    470.70  6.70E-18
    471.10  7.28E-18
    471.50  7.03E-18
    474.10  6.43E-18
    475.00  5.83E-18
    475.50  1.11E-17
    476.00  8.06E-18
    476.50  7.57E-18
    478.00  7.30E-18
    488.90  7.26E-18
    489.00  7.08E-18
    489.10  7.55E-18
    489.60  7.27E-18
    489.80  7.74E-18
    489.90  7.25E-18
    490.70  7.29E-18
