       441     73.28   1240.00 C(1D)    C+           2
Cross section:
Lambda = 1.00-70. A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409.
LAMBDA = 73.28-1226. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1240.27 A
   Moore, C. E. (1970)
   Ionization Potentials and Ionization Limits Derived from the Analyses of 
   Optical Spectra, NSRDS-NBS 34.

      1.00  2.00e-23
      5.00  3.00e-21
     10.00  2.30e-20
     15.00  7.40e-20
     20.00  1.70e-19
     25.00  3.00e-19
     30.00  4.80e-19
     35.00  7.20e-19
     37.00  8.30e-19
     39.00  9.50e-19
     41.00  1.00e-18
     43.00  4.30e-20
     44.00  4.50e-20
     45.00  4.80e-20
     46.00  5.20e-20
     47.00  5.50e-20
     48.00  6.20e-20
     50.00  6.70e-20
     55.00  8.20e-20
     60.00  1.00e-19
     65.00  1.20e-19
     70.00  1.40e-19
     73.28  3.93E-20
     74.76  4.17E-20
     76.27  4.43E-20
     77.81  4.70E-20
     79.38  4.99E-20
     80.98  5.30E-20
     82.62  5.63E-20
     84.29  5.98E-20
     85.99  6.35E-20
     87.73  6.74E-20
     89.50  7.16E-20
     91.31  7.60E-20
     93.15  8.07E-20
     95.03  8.57E-20
     96.95  9.10E-20
     98.91  9.66E-20
    100.90  1.03E-19
    102.90  1.09E-19
    105.00  1.16E-19
    107.20  1.23E-19
    109.30  1.30E-19
    111.50  1.38E-19
    113.80  1.47E-19
    116.10  1.56E-19
    118.40  1.66E-19
    120.80  1.76E-19
    123.30  1.87E-19
    125.70  1.99E-19
    128.30  2.11E-19
    130.90  2.24E-19
    133.50  2.38E-19
    136.20  2.52E-19
    139.00  2.68E-19
    141.80  2.85E-19
    144.60  3.02E-19
    147.60  3.21E-19
    150.50  3.41E-19
    153.60  3.62E-19
    156.70  3.84E-19
    159.90  4.08E-19
    163.10  4.33E-19
    166.40  4.60E-19
    169.70  4.88E-19
    173.20  5.19E-19
    176.70  5.51E-19
    180.20  5.85E-19
    183.90  6.21E-19
    187.60  6.59E-19
    191.40  7.00E-19
    195.20  7.43E-19
    199.20  7.89E-19
    203.20  8.38E-19
    207.30  8.90E-19
    211.50  9.45E-19
    215.80  1.00E-18
    220.10  1.07E-18
    224.60  1.13E-18
    229.10  1.20E-18
    233.70  1.27E-18
    238.50  1.35E-18
    243.30  1.44E-18
    248.20  1.53E-18
    253.20  1.62E-18
    258.30  1.72E-18
    263.50  1.83E-18
    268.90  1.94E-18
    274.30  2.06E-18
    279.80  2.19E-18
    285.50  2.32E-18
    291.30  2.47E-18
    297.10  2.62E-18
    303.20  2.78E-18
    313.30  3.31E-18
    324.10  3.35E-18
    329.80  3.56E-18
    335.60  3.68E-18
    348.10  3.75E-18
    361.50  3.98E-18
    393.30  4.59E-18
    393.40  4.71E-18
    393.70  4.60E-18
    393.80  4.71E-18
    393.90  4.71E-18
    394.30  4.60E-18
    394.40  4.65E-18
    394.50  4.79E-18
    395.20  4.62E-18
    395.30  4.65E-18
    395.40  4.83E-18
    396.50  4.69E-18
    396.60  4.50E-18
    396.70  4.75E-18
    396.80  5.01E-18
    396.90  4.85E-18
    398.40  4.74E-18
    399.10  4.49E-18
    399.20  5.12E-18
    399.30  5.07E-18
    399.50  4.92E-18
    402.30  4.74E-18
    402.80  4.80E-18
    403.70  4.77E-18
    403.80  5.21E-18
    404.00  5.46E-18
    404.20  5.10E-18
    404.40  5.04E-18
    404.70  5.24E-18
    405.10  5.41E-18
    408.40  5.25E-18
    411.40  5.17E-18
    414.20  5.11E-18
    414.50  5.31E-18
    414.80  5.71E-18
    415.60  5.59E-18
    417.10  5.47E-18
    426.00  5.81E-18
    426.10  5.63E-18
    426.30  5.35E-18
    426.40  5.09E-18
    426.50  5.75E-18
    426.60  5.63E-18
    426.90  5.36E-18
    427.10  5.12E-18
    427.20  5.89E-18
    427.30  5.64E-18
    427.70  5.37E-18
    428.00  5.11E-18
    428.10  5.25E-18
    428.20  5.96E-18
    428.30  5.63E-18
    429.00  5.40E-18
    429.40  5.14E-18
    429.50  5.18E-18
    429.60  5.66E-18
    429.70  6.12E-18
    429.80  5.84E-18
    429.90  5.64E-18
    431.70  5.30E-18
    431.90  5.30E-18
    432.10  5.73E-18
    432.30  6.15E-18
    432.40  5.88E-18
    432.70  5.67E-18
    434.20  5.56E-18
    436.50  5.42E-18
    437.10  6.22E-18
    437.50  5.86E-18
    446.70  5.59E-18
    447.40  5.92E-18
    447.90  6.39E-18
    448.30  6.26E-18
