       429      0.10   711.62 F(3)     F+           2
Cross section:
Lambda = 0.10-30. A
   Verner, D. A.
Lambda = 37.48-2969. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 711.62 A
   Liden, K. (1949) 
   Ark. Fys. 1, 229-267.
   Edlén, E., Ölme, A., Herzberg, G., Johns, J. W. C. (1969) 
   J. Opt. Soc. Am. 60, 889-891.
    
      0.10  9.30E-26
     10.00  1.03E-19
     17.86  4.02E-19
     17.87  2.44E-20
     20.00  3.35E-20
     30.00  1.00E-19
     37.48  1.61E-22
     38.24  1.71E-22
     39.01  1.82E-22
     39.80  1.93E-22
     40.61  2.05E-22
     41.43  2.18E-22
     42.26  2.31E-22
     43.12  2.46E-22
     43.99  2.61E-22
     44.88  2.77E-22
     45.78  2.94E-22
     46.71  3.12E-22
     47.65  3.32E-22
     48.62  3.52E-22
     49.60  3.74E-22
     50.60  3.97E-22
     51.62  4.22E-22
     52.66  4.48E-22
     53.73  4.75E-22
     54.81  5.05E-22
     55.92  5.36E-22
     57.05  5.69E-22
     58.20  6.04E-22
     59.38  6.42E-22
     60.58  6.81E-22
     61.80  7.24E-22
     63.05  7.68E-22
     64.32  8.16E-22
     65.62  8.66E-22
     66.95  9.20E-22
     68.30  9.77E-22
     69.68  1.04E-21
     71.09  1.10E-21
     72.53  1.17E-21
     73.99  1.24E-21
     75.48  1.32E-21
     77.01  1.40E-21
     78.57  1.49E-21
     80.15  1.58E-21
     81.77  1.68E-21
     83.42  1.78E-21
     85.11  1.89E-21
     86.83  2.01E-21
     88.58  2.13E-21
     90.37  2.26E-21
     92.20  2.40E-21
     94.06  2.55E-21
     95.96  2.71E-21
     97.90  2.88E-21
     99.88  3.05E-21
    101.90  3.24E-21
    104.00  3.44E-21
    106.10  3.66E-21
    108.20  3.88E-21
    110.40  4.12E-21
    112.60  4.38E-21
    114.90  4.65E-21
    117.20  4.93E-21
    119.60  5.24E-21
    122.00  5.56E-21
    124.50  5.91E-21
    127.00  6.27E-21
    129.50  6.66E-21
    132.10  7.07E-21
    134.80  7.51E-21
    137.50  7.98E-21
    140.30  8.47E-21
    143.20  8.99E-21
    146.00  9.55E-21
    149.00  1.01E-20
    152.00  1.08E-20
    155.10  1.14E-20
    158.20  1.21E-20
    161.40  1.29E-20
    164.70  1.37E-20
    168.00  1.45E-20
    171.40  1.54E-20
    184.20  1.71E-20
    226.90  2.36E-20
    227.10  2.37E-20
    227.30  2.39E-20
    227.60  2.27E-20
    227.70  2.45E-20
    228.30  2.45E-20
    229.40  2.39E-20
    229.50  2.41E-20
    231.80  2.56E-20
    231.90  2.35E-20
    236.50  2.39E-20
    238.40  2.48E-20
    238.50  2.90E-20
    238.60  2.46E-20
    238.70  2.44E-20
    274.70  2.94E-20
    295.90  3.26E-20
    366.10  4.38E-20
    366.20  4.12E-20
    366.50  4.30E-20
    366.60  4.09E-20
    366.90  4.38E-20
    367.00  4.33E-20
    367.10  4.12E-20
    367.60  4.39E-20
    367.70  4.35E-20
    367.80  4.11E-20
    367.90  4.27E-20
    368.70  4.42E-20
    369.00  4.31E-20
    369.10  4.25E-20
    369.20  4.59E-20
    370.50  4.44E-20
    371.00  4.34E-20
    371.10  4.07E-20
    371.20  4.32E-20
    371.30  4.63E-20
    374.20  4.48E-20
    375.00  4.27E-20
    375.10  3.95E-20
    375.20  4.02E-20
    375.30  4.91E-20
    375.50  4.71E-20
    379.40  4.62E-20
    383.80  4.54E-20
    384.40  4.22E-20
    384.50  3.89E-20
    384.70  3.89E-20
    384.80  5.04E-20
    385.50  4.91E-20
    393.30  4.88E-20
    393.60  4.89E-20
    415.50  5.07E-20
    417.50  4.69E-20
    418.20  4.23E-20
    419.60  5.79E-20
    424.20  5.63E-20
    465.10  6.50E-20
    501.10  7.88E-20
    503.90  8.30E-20
    504.00  7.88E-20
    504.50  8.25E-20
    504.60  9.37E-20
    504.70  7.22E-20
    505.40  8.30E-20
    505.50  8.78E-20
    505.60  8.70E-20
    505.70  7.27E-20
    506.70  8.36E-20
    506.80  8.38E-20
    507.00  9.02E-20
    507.10  8.22E-20
    507.30  7.73E-20
    508.70  8.48E-20
    508.90  8.50E-20
    509.20  9.22E-20
    509.30  1.01E-19
    509.40  7.23E-20
    509.70  7.84E-20
    512.00  8.68E-20
    512.30  9.16E-20
    512.40  8.49E-20
    512.50  8.88E-20
    513.00  9.79E-20
    513.20  1.07E-19
    513.30  7.42E-20
    513.40  7.33E-20
    513.90  8.09E-20
    518.00  9.13E-20
    518.90  9.73E-20
    519.00  8.65E-20
    519.10  9.30E-20
