        78      0.10   2302.00 Li       Li+          2
Cross section:
Lambda = 0.1 A
   Verner, D. A., 
Lambda = 6.07-2302. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 2299.5 Å
   Lorenzen, C. J., Niemax, K., J. (19820 
   Phys. B 15, L139-L145.

      0.10  3.09E-28
      6.07  2.83E-22
      6.52  3.54E-22
      6.99  4.41E-22
      7.49  5.50E-22
      8.04  6.85E-22
      8.62  8.53E-22
      9.25  1.06E-21
      9.92  1.32E-21
     10.64  1.64E-21
     11.41  2.03E-21
     12.24  2.51E-21
     13.12  3.11E-21
     14.07  3.84E-21
     15.09  4.74E-21
     16.19  5.84E-21
     17.36  7.20E-21
     18.62  8.85E-21
     19.97  1.09E-20
     21.42  1.33E-20
     22.98  1.64E-20
     24.64  2.00E-20
     26.43  2.45E-20
     28.35  2.99E-20
     30.40  3.65E-20
     32.61  4.44E-20
     34.97  5.40E-20
     37.51  6.56E-20
     40.23  7.96E-20
     43.14  9.63E-20
     46.27  1.17E-19
     49.63  1.41E-19
     53.23  1.69E-19
     57.09  2.04E-19
     61.23  2.44E-19
     65.67  2.93E-19
     70.43  3.50E-19
     75.54  4.18E-19
     81.02  4.97E-19
     86.89  5.90E-19
     93.19  7.00E-19
     99.95  8.28E-19
    107.20  9.77E-19
    115.00  1.15E-18
    123.30  1.35E-18
    132.30  1.57E-18
    141.80  1.83E-18
    152.10  2.12E-18
    163.20  2.44E-18
    175.00  2.78E-18
    187.70  2.74E-18
    188.30  2.34E-18
    188.80  2.36E-18
    189.40  2.37E-18
    190.00  2.38E-18
    190.60  2.39E-18
    191.20  2.40E-18
    191.80  2.42E-18
    192.40  2.43E-18
    193.00  1.27E-18
    214.90  1.13E-19
    242.30  1.44E-19
    277.90  1.88E-19
    325.70  2.54E-19
    393.30  3.55E-19
    496.40  5.21E-19
    672.70  8.12E-19
   1043.00  1.34E-18
   1871.00  1.94E-18
   1914.00  1.66E-18
   1959.00  1.65E-18
   2005.00  1.64E-18
   2051.00  1.63E-18
   2099.00  1.61E-18
   2148.00  1.59E-18
   2198.00  1.56E-18
   2249.00  1.53E-18
   2302.00  1.50E-18
  0
***
