       452      0.10   1631.50 Mg(3)    Mg+          2
Cross section:
Lambda = 0.1-70.00 A
   Verner, D. A., 
Lambda = 80.88-1633.00 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1621.5 A
   Chang, E. S. (1987)
   Phys. Scr. 35, 792-797.
   Kaufman, V., Martin, W. C. (1991)
   J. Phys. Chem. Ref. Data 20, 83-152.
 
      0.10  1.55E-24
      9.46  2.23E-19
      9.47  2.03E-20
     10.00  2.33E-20
     20.00  1.32E-19
     30.00  3.59E-19
     40.00  7.18E-19
     50.00  1.21E-18
     60.00  1.82E-18
     70.00  2.54E-18
     80.88  2.68E-21
     82.51  2.84E-21
     84.18  3.02E-21
     85.88  3.21E-21
     87.62  3.40E-21
     89.39  3.61E-21
     91.19  3.84E-21
     93.03  4.07E-21
     94.91  4.33E-21
     96.83  4.60E-21
     98.79  4.88E-21
    100.80  5.18E-21
    102.80  5.50E-21
    104.90  5.84E-21
    107.00  6.20E-21
    109.20  6.59E-21
    111.40  6.99E-21
    113.60  7.43E-21
    115.90  7.88E-21
    118.30  8.37E-21
    120.70  8.89E-21
    123.10  9.44E-21
    125.60  1.00E-20
    128.10  1.06E-20
    130.70  1.13E-20
    133.30  1.20E-20
    136.00  1.27E-20
    138.80  1.35E-20
    141.60  1.44E-20
    144.50  1.53E-20
    147.40  1.62E-20
    150.30  1.72E-20
    153.40  1.83E-20
    156.50  1.94E-20
    159.60  2.06E-20
    162.90  2.19E-20
    166.20  2.32E-20
    169.50  2.47E-20
    172.90  2.62E-20
    176.40  2.78E-20
    180.00  2.95E-20
    183.60  3.13E-20
    187.30  3.33E-20
    191.10  3.53E-20
    195.00  3.75E-20
    198.90  3.98E-20
    203.00  4.23E-20
    207.10  4.49E-20
    211.20  4.77E-20
    215.50  5.07E-20
    219.90  5.38E-20
    224.30  5.71E-20
    228.80  6.06E-20
    233.40  6.44E-20
    238.20  6.84E-20
    243.00  7.26E-20
    247.90  7.71E-20
    252.90  8.19E-20
    258.00  8.69E-20
    263.20  9.23E-20
    268.50  9.80E-20
    274.00  1.04E-19
    279.50  1.10E-19
    285.10  1.17E-19
    290.90  1.25E-19
    296.80  1.32E-19
    302.80  1.41E-19
    308.90  1.49E-19
    315.10  1.58E-19
    321.50  1.68E-19
    328.00  1.79E-19
    334.60  1.90E-19
    341.40  2.01E-19
    348.30  2.14E-19
    355.30  2.27E-19
    383.90  2.42E-19
    436.50  2.48E-19
    505.90  2.72E-19
    644.00  2.41E-19
    644.10  2.33E-19
    644.20  2.34E-19
    644.30  2.42E-19
    644.40  2.38E-19
    644.50  2.34E-19
    644.70  2.40E-19
    644.90  2.34E-19
    645.20  2.40E-19
    645.50  2.34E-19
    645.80  2.42E-19
    645.90  2.37E-19
    646.10  2.37E-19
    646.20  2.46E-19
    646.30  2.29E-19
    646.50  2.37E-19
    646.60  2.36E-19
    646.70  2.39E-19
    646.90  2.45E-19
    647.20  2.32E-19
    647.50  2.43E-19
    647.70  2.31E-19
    647.80  2.44E-19
    647.90  2.36E-19
    648.10  2.39E-19
    648.20  2.46E-19
    648.70  2.29E-19
    649.50  2.42E-19
    649.70  2.29E-19
    650.40  2.39E-19
    650.50  2.47E-19
    650.70  2.27E-19
    651.00  2.39E-19
    651.10  2.26E-19
    651.20  2.25E-19
    651.50  2.43E-19
    651.60  2.36E-19
    652.10  2.35E-19
    652.40  2.69E-19
    652.50  2.65E-19
    652.60  2.26E-19
    653.10  2.26E-19
    654.10  2.30E-19
    654.50  2.49E-19
    654.70  2.37E-19
    655.30  2.30E-19
    656.10  2.44E-19
    656.40  2.27E-19
    657.10  2.24E-19
    657.70  2.34E-19
    657.80  2.69E-19
    657.90  2.42E-19
    658.10  2.30E-19
    660.20  2.34E-19
    660.90  2.45E-19
    661.30  2.22E-19
    662.60  2.22E-19
    664.30  2.42E-19
    665.10  2.27E-19
    670.20  2.36E-19
    672.30  2.19E-19
    673.30  2.26E-19
    674.80  2.23E-19
    686.90  2.31E-19
    690.10  2.22E-19
    706.60  2.05E-19
    706.90  2.08E-19
    707.00  1.97E-19
    707.30  2.00E-19
    707.70  2.31E-19
    707.90  2.05E-19
    708.20  2.08E-19
    708.50  1.96E-19
    708.90  2.00E-19
    709.40  2.31E-19
    709.70  2.03E-19
    710.20  2.08E-19
    710.50  1.95E-19
    711.10  2.00E-19
    711.80  2.29E-19
    712.10  2.24E-19
    712.40  2.01E-19
    713.10  2.08E-19
    713.50  1.94E-19
    714.50  1.99E-19
    715.70  2.30E-19
    716.20  2.12E-19
    716.80  1.97E-19
