       327     51.86    851.30 N(3)     N+           2
Cross section:
Lambda = 0.1-50.00 A
   Verner, D. A., 
LAMBDA = 51.86-851.30 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 853.06 A
   Eriksson, K. B. S., Isberg, H. B. S. (1968)
   Ark. Fys. 37, 221.
 
      0.10  2.45E-26
     10.00  4.24E-20
     20.00  2.66E-19
     30.00  6.76E-19
     30.63  7.06E-19
     30.64  3.65E-20
     40.00  7.17E-20
     50.00  1.25E-19
     51.86  4.57E-20
     52.91  4.85E-20
     53.98  5.15E-20
     55.07  5.47E-20
     56.18  5.81E-20
     57.32  6.17E-20
     58.48  6.55E-20
     59.66  6.96E-20
     60.86  7.39E-20
     62.09  7.85E-20
     63.35  8.33E-20
     64.63  8.85E-20
     65.93  9.39E-20
     67.26  9.97E-20
     68.62  1.06E-19
     70.01  1.12E-19
     71.42  1.19E-19
     72.87  1.27E-19
     74.34  1.35E-19
     75.84  1.43E-19
     77.37  1.52E-19
     78.93  1.61E-19
     80.53  1.71E-19
     82.16  1.82E-19
     83.82  1.93E-19
     85.51  2.05E-19
     87.24  2.18E-19
     89.00  2.31E-19
     90.80  2.45E-19
     92.63  2.61E-19
     94.50  2.77E-19
     96.41  2.94E-19
     98.36  3.12E-19
    100.30  3.31E-19
    102.40  3.52E-19
    104.40  3.73E-19
    106.60  3.96E-19
    108.70  4.21E-19
    110.90  4.47E-19
    113.10  4.75E-19
    115.40  5.04E-19
    117.80  5.35E-19
    120.10  5.68E-19
    122.60  6.03E-19
    125.00  6.41E-19
    127.60  6.80E-19
    130.10  7.22E-19
    132.80  7.67E-19
    135.50  8.14E-19
    138.20  8.65E-19
    141.00  9.18E-19
    143.80  9.75E-19
    146.70  1.04E-18
    149.70  1.10E-18
    152.70  1.17E-18
    155.80  1.24E-18
    159.00  1.32E-18
    162.20  1.40E-18
    165.40  1.48E-18
    168.80  1.58E-18
    172.20  1.67E-18
    175.70  1.78E-18
    179.20  1.89E-18
    182.80  2.00E-18
    186.50  2.13E-18
    190.30  2.26E-18
    194.10  2.40E-18
    198.10  2.55E-18
    202.10  2.70E-18
    206.20  2.87E-18
    210.30  3.05E-18
    214.60  3.24E-18
    218.90  3.44E-18
    223.30  3.65E-18
    230.00  3.82E-18
    256.80  4.59E-18
    289.90  5.71E-18
    290.00  5.44E-18
    290.10  5.68E-18
    290.20  5.53E-18
    290.40  5.69E-18
    290.50  5.54E-18
    290.80  5.58E-18
    290.90  5.72E-18
    291.00  5.47E-18
    291.40  5.60E-18
    291.60  5.79E-18
    291.70  5.48E-18
    292.40  5.63E-18
    292.70  5.82E-18
    292.80  5.85E-18
    292.90  5.51E-18
    294.20  5.69E-18
    294.80  5.92E-18
    294.90  5.93E-18
    295.10  5.68E-18
    295.20  5.42E-18
    295.30  5.74E-18
    298.30  5.82E-18
    299.30  5.71E-18
    299.40  5.82E-18
    299.50  6.29E-18
    299.60  5.99E-18
    300.00  5.85E-18
    300.40  5.55E-18
    300.60  5.95E-18
    311.80  6.24E-18
    314.60  6.07E-18
    315.20  6.58E-18
    315.50  6.69E-18
    317.10  6.64E-18
    342.60  7.33E-18
    343.50  7.69E-18
    344.40  7.51E-18
    367.10  8.18E-18
    367.20  8.32E-18
    367.40  8.19E-18
    367.60  8.33E-18
    368.20  8.46E-18
    368.30  8.21E-18
    369.20  8.28E-18
    369.30  8.12E-18
    370.60  8.36E-18
    370.70  8.61E-18
    370.80  8.11E-18
    370.90  8.16E-18
    372.50  8.36E-18
    373.50  8.56E-18
    373.60  9.02E-18
    373.70  8.11E-18
    373.80  8.27E-18
    379.00  8.64E-18
    379.40  8.91E-18
    379.50  9.36E-18
    379.60  8.47E-18
    379.70  8.17E-18
    379.90  8.46E-18
    393.30  9.12E-18
    395.40  9.50E-18
    395.90  9.98E-18
    396.10  1.06E-17
    396.20  1.15E-17
    396.30  1.38E-17
    396.40  1.24E-17
    396.50  7.58E-18
    396.70  8.10E-18
    397.10  8.63E-18
    398.70  9.01E-18
    441.60  1.12E-17
    442.10  1.04E-17
    442.20  1.14E-17
    442.30  1.05E-17
    442.90  1.04E-17
    443.10  1.16E-17
    443.20  1.04E-17
    444.10  1.04E-17
    444.40  1.09E-17
    444.50  1.17E-17
    445.90  1.05E-17
    446.60  1.12E-17
    446.70  1.22E-17
    446.80  1.06E-17
    450.30  1.07E-17
    450.50  1.13E-17
    450.60  1.31E-17
    450.70  1.12E-17
    450.80  1.07E-17
    452.10  1.06E-17
    458.30  1.10E-17
    458.60  1.14E-17
    458.70  1.21E-17
