       134     51.94    574.95 Ne(3)    Ne+          2
Cross section:
Lambda = 0.1-50.00 A
   Verner, D. A., 
Lambda = 51.94-551.90 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 574.95 A
   Kaufman, V. and Minnhagen, L. (1972)
   J. Opt. Soc. Am. 62, 92-95.
 
      0.10  1.68E-25
     10.00  1.44E-19
     14.25  3.17E-19
     14.26  2.15E-20
     20.00  5.54E-20
     30.00  1.63E-19
     40.00  3.38E-19
     50.00  5.79E-19
     51.94  8.15E-20
     52.99  8.65E-20
     54.06  9.19E-20
     55.15  9.76E-20
     56.27  1.04E-19
     57.40  1.10E-19
     58.56  1.17E-19
     59.74  1.24E-19
     60.95  1.32E-19
     62.18  1.40E-19
     63.44  1.49E-19
     64.72  1.58E-19
     66.03  1.67E-19
     67.36  1.78E-19
     68.72  1.89E-19
     70.11  2.00E-19
     71.53  2.13E-19
     72.97  2.26E-19
     74.45  2.40E-19
     75.95  2.55E-19
     77.49  2.71E-19
     79.05  2.87E-19
     80.65  3.05E-19
     82.28  3.24E-19
     83.94  3.44E-19
     85.63  3.65E-19
     87.36  3.88E-19
     89.13  4.12E-19
     90.93  4.37E-19
     92.77  4.64E-19
     94.64  4.93E-19
     96.55  5.24E-19
     98.50  5.56E-19
    100.50  5.90E-19
    102.50  6.27E-19
    104.60  6.66E-19
    106.70  7.07E-19
    108.90  7.50E-19
    111.10  7.97E-19
    113.30  8.46E-19
    115.60  8.98E-19
    117.90  9.54E-19
    120.30  1.01E-18
    122.70  1.08E-18
    125.20  1.14E-18
    127.80  1.21E-18
    130.30  1.29E-18
    133.00  1.37E-18
    135.70  1.45E-18
    138.40  1.54E-18
    141.20  1.64E-18
    144.00  1.74E-18
    146.90  1.85E-18
    149.90  1.96E-18
    152.90  2.08E-18
    156.00  2.21E-18
    159.20  2.35E-18
    162.40  2.49E-18
    165.70  2.65E-18
    169.00  2.81E-18
    172.40  2.98E-18
    175.90  3.17E-18
    179.50  3.36E-18
    183.10  3.57E-18
    186.80  3.79E-18
    190.60  4.03E-18
    194.40  4.28E-18
    198.40  4.54E-18
    202.40  4.82E-18
    206.50  5.12E-18
    210.60  5.44E-18
    214.90  5.77E-18
    219.20  6.13E-18
    223.70  6.51E-18
    228.20  6.91E-18
    232.80  7.34E-18
    237.50  7.79E-18
    242.30  8.27E-18
    246.60  8.41E-18
    246.70  7.74E-18
    246.80  8.83E-18
    246.90  7.76E-18
    247.00  8.70E-18
    247.10  8.16E-18
    247.20  6.75E-18
    247.30  1.00E-17
    247.50  8.23E-18
    247.60  7.88E-18
    247.70  9.41E-18
    247.80  8.59E-18
    248.30  8.01E-18
    248.40  9.91E-18
    248.50  1.05E-17
    248.60  8.58E-18
    249.30  8.22E-18
    249.60  7.88E-18
    249.70  6.92E-18
    249.80  1.01E-17
    249.90  9.32E-18
    250.10  8.62E-18
    251.40  8.28E-18
    252.20  7.95E-18
    252.40  7.52E-18
    252.50  6.95E-18
    252.60  1.22E-17
    252.70  1.18E-17
    252.80  9.71E-18
    253.00  9.03E-18
    253.40  8.66E-18
    259.30  8.20E-18
    260.10  7.79E-18
    260.40  7.28E-18
    260.50  6.61E-18
    260.70  4.63E-18
    260.80  2.01E-17
    261.00  1.15E-17
    261.10  1.02E-17
    261.30  9.68E-18
    261.40  9.41E-18
    261.90  9.06E-18
    264.00  8.77E-18
    342.30  9.34E-18
    404.80  9.17E-18
    462.30  8.47E-18
    513.90  7.43E-18
    551.90  6.43E-18
  0
***
