       437      0.10    910.44 O(3P)    O+           2
Cross section:
Lambda = 0.1-40.00 A
   Verner, D. A., 
Lambda = 48.80-915.30 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 910.44 ?
   Eriksson, K. B. S., Isberg, H. B. S., (1968)
   Ark. Fys. 37, 221.
 
      0.10  5.03E-26
     10.00  6.88E-20
     20.00  3.89E-19
     23.05  5.27E-19
     23.06  2.80E-20
     30.00  5.77E-20
     40.00  1.24E-19
     48.80  5.24E-20
     49.78  5.56E-20
     50.79  5.91E-20
     51.81  6.27E-20
     52.86  6.66E-20
     53.93  7.07E-20
     55.02  7.51E-20
     56.13  7.97E-20
     57.26  8.46E-20
     58.42  8.99E-20
     59.60  9.54E-20
     60.80  1.01E-19
     62.03  1.08E-19
     63.28  1.14E-19
     64.56  1.21E-19
     65.87  1.29E-19
     67.20  1.37E-19
     68.56  1.45E-19
     69.94  1.54E-19
     71.35  1.64E-19
     72.80  1.74E-19
     74.27  1.85E-19
     75.77  1.96E-19
     77.30  2.08E-19
     78.86  2.21E-19
     80.45  2.35E-19
     82.08  2.49E-19
     83.73  2.65E-19
     85.43  2.81E-19
     87.15  2.98E-19
     88.91  3.17E-19
     90.71  3.36E-19
     92.54  3.57E-19
     94.41  3.79E-19
     96.32  4.03E-19
     98.26  4.28E-19
    100.20  4.54E-19
    102.30  4.82E-19
    104.30  5.12E-19
    106.40  5.44E-19
    108.60  5.77E-19
    110.80  6.13E-19
    113.00  6.51E-19
    115.30  6.91E-19
    117.60  7.34E-19
    120.00  7.79E-19
    122.40  8.28E-19
    124.90  8.79E-19
    127.40  9.33E-19
    130.00  9.91E-19
    132.60  1.05E-18
    135.30  1.12E-18
    138.10  1.19E-18
    140.80  1.26E-18
    143.70  1.34E-18
    146.60  1.42E-18
    149.60  1.51E-18
    152.60  1.60E-18
    155.70  1.70E-18
    158.80  1.80E-18
    162.00  1.92E-18
    165.30  2.03E-18
    168.60  2.16E-18
    172.00  2.29E-18
    175.50  2.44E-18
    179.00  2.59E-18
    182.70  2.75E-18
    186.40  2.92E-18
    190.10  3.10E-18
    194.00  3.29E-18
    197.90  3.49E-18
    201.90  3.71E-18
    206.00  3.94E-18
    210.10  4.18E-18
    214.40  4.44E-18
    218.70  4.71E-18
    223.10  5.01E-18
    227.60  5.32E-18
    235.90  5.67E-18
    236.10  5.69E-18
    236.30  5.70E-18
    236.60  5.71E-18
    237.00  5.70E-18
    237.80  5.72E-18
    239.20  5.77E-18
    242.40  5.90E-18
    254.90  6.33E-18
    303.40  8.02E-18
    311.00  8.14E-18
    311.10  8.69E-18
    311.30  8.33E-18
    311.40  8.21E-18
    311.80  8.12E-18
    311.90  8.08E-18
    312.50  8.20E-18
    312.60  8.14E-18
    313.60  8.38E-18
    313.70  8.30E-18
    313.80  8.19E-18
    315.60  8.49E-18
    315.70  7.90E-18
    315.80  9.30E-18
    315.90  8.35E-18
    319.80  8.46E-18
    320.10  8.03E-18
    320.20  9.63E-18
    320.30  8.97E-18
    320.40  8.37E-18
    328.30  8.88E-18
    328.70  8.85E-18
    329.20  8.88E-18
    330.00  8.95E-18
    331.20  8.80E-18
    331.30  9.35E-18
    331.40  9.01E-18
    332.30  8.63E-18
    332.60  8.04E-18
    332.70  9.22E-18
    332.80  1.03E-17
    332.90  9.54E-18
    333.30  9.34E-18
    333.50  9.02E-18
    333.70  8.79E-18
    338.20  8.96E-18
    338.50  9.34E-18
    338.60  9.10E-18
    351.60  9.31E-18
    352.40  9.63E-18
    352.90  9.50E-18
    363.80  9.87E-18
    364.30  9.83E-18
    364.90  9.75E-18
    365.80  9.74E-18
    365.90  9.78E-18
    367.40  9.86E-18
    370.20  1.01E-17
    370.30  9.94E-18
    376.10  1.00E-17
    376.30  1.01E-17
    392.60  1.02E-17
    392.90  1.10E-17
    393.20  1.05E-17
    436.80  1.13E-17
    437.00  9.35E-18
    437.10  1.25E-17
    437.30  1.16E-17
    437.60  1.02E-17
    437.70  1.25E-17
    437.80  1.27E-17
    437.90  1.13E-17
    438.00  1.11E-17
    438.40  1.05E-17
    438.50  9.93E-18
    438.60  1.40E-17
    438.70  1.32E-17
    438.90  1.13E-17
    439.00  1.13E-17
    439.70  1.05E-17
    439.80  8.78E-18
    439.90  1.10E-17
    440.00  1.60E-17
    440.10  1.30E-17
    440.30  1.17E-17
    441.70  1.05E-17
    441.90  8.87E-18
    442.00  1.10E-17
    442.10  1.07E-17
    442.20  1.75E-17
    442.30  1.56E-17
    442.40  1.30E-17
    442.50  1.22E-17
    443.20  1.14E-17
