       542     53.12    858.30 O(1S)    O+        4  2
Cross section:
Lambda = 0.00-50.00 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409.
Lambda = 53.12-999.20 A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 858.30 A
   Moore, C. E. (1970)
   Ionization Potentials and Ionization Limits Derived from the Analyses of 
   Optical Spectra, NSRDS-NBS 34
 
      1.00  7.00E-23
      5.00  1.00E-20
     10.00  6.80E-20
     12.00  1.10E-19
     14.00  1.70E-19
     15.00  2.00E-19
     16.00  2.30E-19
     17.00  2.80E-19
     18.00  3.20E-19
     19.00  3.60E-19
     20.00  4.30E-19
     21.00  4.70E-19
     22.00  5.40E-19
     22.50  5.60E-19
     23.50  2.90E-20
     24.00  3.10E-20
     25.00  3.40E-20
     26.00  3.80E-20
     28.00  4.60E-20
     30.00  5.40E-20
     35.00  7.80E-20
     40.00  1.10E-19
     45.00  1.40E-19
     50.00  1.80E-19
     53.12  5.68E-20
     54.19  6.03E-20
     55.29  6.40E-20
     56.41  6.80E-20
     57.55  7.22E-20
     58.71  7.66E-20
     59.89  8.14E-20
     61.10  8.64E-20
     62.34  9.18E-20
     63.60  9.74E-20
     64.88  1.03E-19
     66.19  1.10E-19
     67.53  1.17E-19
     68.89  1.24E-19
     70.29  1.32E-19
     71.71  1.40E-19
     73.15  1.48E-19
     74.63  1.57E-19
     76.14  1.67E-19
     77.68  1.77E-19
     79.25  1.88E-19
     80.85  2.00E-19
     82.48  2.13E-19
     84.15  2.26E-19
     85.85  2.40E-19
     87.58  2.55E-19
     89.35  2.70E-19
     91.16  2.87E-19
     93.00  3.05E-19
     94.88  3.23E-19
     96.79  3.44E-19
     98.75  3.65E-19
    100.70  3.87E-19
    102.80  4.11E-19
    104.90  4.37E-19
    107.00  4.64E-19
    109.10  4.92E-19
    111.30  5.23E-19
    113.60  5.55E-19
    115.90  5.89E-19
    118.20  6.26E-19
    120.60  6.65E-19
    123.00  7.06E-19
    125.50  7.49E-19
    128.10  7.96E-19
    130.70  8.45E-19
    133.30  8.97E-19
    136.00  9.53E-19
    138.70  1.01E-18
    141.50  1.07E-18
    144.40  1.14E-18
    147.30  1.21E-18
    150.30  1.29E-18
    153.30  1.37E-18
    156.40  1.45E-18
    159.60  1.54E-18
    162.80  1.64E-18
    166.10  1.74E-18
    169.50  1.84E-18
    172.90  1.96E-18
    176.40  2.08E-18
    179.90  2.21E-18
    183.60  2.34E-18
    187.30  2.49E-18
    191.10  2.64E-18
    194.90  2.81E-18
    198.90  2.98E-18
    202.90  3.16E-18
    207.00  3.36E-18
    211.20  3.57E-18
    215.40  3.79E-18
    219.80  4.02E-18
    224.20  4.27E-18
    228.70  4.53E-18
    233.40  4.81E-18
    238.10  5.11E-18
    242.90  5.43E-18
    247.80  5.76E-18
    340.30  8.51E-18
    349.80  8.77E-18
    349.90  8.58E-18
    350.00  8.87E-18
    350.30  8.73E-18
    350.80  8.61E-18
    350.90  8.88E-18
    351.60  8.63E-18
    351.80  8.88E-18
    352.90  8.65E-18
    353.20  8.97E-18
    355.20  8.71E-18
    355.60  9.00E-18
    360.00  8.81E-18
    360.80  9.13E-18
    371.80  9.24E-18
    371.90  9.11E-18
    372.00  8.54E-18
    372.10  9.76E-18
    372.30  9.08E-18
    372.40  7.47E-18
    372.50  9.80E-18
    372.90  8.76E-18
    373.00  8.00E-18
    373.10  8.67E-18
    373.20  1.02E-17
    373.50  9.08E-18
    373.90  8.28E-18
    374.00  7.32E-18
    374.10  1.02E-17
    374.20  1.00E-17
    374.40  9.34E-18
    375.50  9.20E-18
    375.70  1.04E-17
    375.80  1.10E-17
    375.90  1.00E-17
    377.30  9.69E-18
    378.40  9.17E-18
    378.60  8.16E-18
    378.70  1.05E-17
    378.80  1.10E-17
    379.00  1.01E-17
    383.10  9.57E-18
    384.30  8.96E-18
    384.60  8.02E-18
    384.80  6.07E-18
    384.90  1.27E-17
    385.20  1.10E-17
    385.90  1.02E-17
    398.30  9.81E-18
    401.00  9.18E-18
    401.60  8.33E-18
    401.90  7.00E-18
    402.20  6.67E-18
    402.50  1.31E-17
    402.90  1.20E-17
    403.20  1.14E-17
    404.50  1.08E-17
    418.00  1.06E-17
    418.20  1.03E-17
    418.30  9.55E-18
    418.40  1.05E-17
    418.70  1.10E-17
    418.80  9.94E-18
    418.90  9.93E-18
    419.00  1.06E-17
    419.50  1.10E-17
    419.60  9.97E-18
    419.70  9.94E-18
    419.90  1.05E-17
    420.00  1.07E-17
