       255      0.10   1121.45 S(1D)    S+           2
Cross section:
Lambda = 0.00-73.45 A
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)
   J. Quant. Spectr. Rad. Trans. 12, 1409/
Lambda = 102.40-1106. A
   TOPbase:  Photoionisation Cross Sections, 
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.
Threshold:
Lambda = 1121.45 A
   Moore C. E. (1970)
   Ionization Potentials and Ionization Limits Derived from the Analyses of 
   Optical Spectra, NSRDS-NBS 34.
 
      0.61  3.13E-22
      1.24  2.65E-21
      2.44  1.79E-20
      4.98  1.18E-19
      5.20  1.20E-20
      6.15  1.91E-20
     12.57  1.31E-19
     24.62  7.33E-19
     50.32  3.48E-18
     52.47  3.31E-18
     62.09  4.41E-18
     67.53  5.19E-18
     70.45  2.45E-18
     73.45  1.78E-19
    102.40  3.57E-20
    104.50  3.79E-20
    106.60  4.03E-20
    108.80  4.28E-20
    111.00  4.54E-20
    113.20  4.82E-20
    115.50  5.12E-20
    117.80  5.44E-20
    120.20  5.77E-20
    122.60  6.13E-20
    125.10  6.51E-20
    127.60  6.91E-20
    130.20  7.34E-20
    132.80  7.79E-20
    135.50  8.28E-20
    138.30  8.79E-20
    141.10  9.33E-20
    143.90  9.91E-20
    146.80  1.05E-19
    149.80  1.12E-19
    152.80  1.19E-19
    155.90  1.26E-19
    159.00  1.34E-19
    162.20  1.42E-19
    165.50  1.51E-19
    168.90  1.60E-19
    172.30  1.70E-19
    175.80  1.80E-19
    179.30  1.92E-19
    182.90  2.04E-19
    186.60  2.16E-19
    190.40  2.29E-19
    194.20  2.44E-19
    198.20  2.59E-19
    202.20  2.75E-19
    206.30  2.92E-19
    210.40  3.10E-19
    214.70  3.29E-19
    219.00  3.49E-19
    223.40  3.71E-19
    227.90  3.94E-19
    232.60  4.18E-19
    237.30  4.44E-19
    242.00  4.71E-19
    246.90  5.01E-19
    251.90  5.32E-19
    257.00  5.64E-19
    262.20  5.99E-19
    267.50  6.37E-19
    272.90  6.76E-19
    278.40  7.18E-19
    284.00  7.62E-19
    289.80  8.09E-19
    295.60  8.59E-19
    301.60  9.12E-19
    307.70  9.69E-19
    313.90  1.03E-18
    320.30  1.09E-18
    326.70  1.16E-18
    333.30  1.23E-18
    340.10  1.31E-18
    346.90  1.39E-18
    353.90  1.47E-18
    361.10  1.56E-18
    368.40  1.66E-18
    375.80  1.76E-18
    392.80  2.45E-18
    414.20  3.63E-18
    439.20  5.45E-18
    469.70  8.31E-18
    509.50  1.30E-17
    516.60  1.41E-17
    516.90  1.46E-17
    517.00  1.55E-17
    517.10  1.42E-17
    519.00  1.45E-17
    519.30  1.57E-17
    519.50  1.49E-17
    519.90  1.42E-17
    564.90  2.05E-17
    576.50  2.33E-17
    576.60  2.34E-17
    576.80  2.33E-17
    576.90  1.40E-17
    577.00  1.76E-17
    577.10  2.64E-17
    577.20  2.27E-17
    577.30  2.38E-17
    577.70  2.58E-17
    577.80  2.48E-17
    577.90  2.05E-17
    578.00  2.00E-17
    578.10  2.21E-17
    578.20  2.22E-17
    578.50  2.35E-17
    579.20  2.63E-17
    579.30  2.36E-17
    579.40  2.14E-17
    579.50  1.18E-17
    579.60  1.91E-17
    579.80  2.29E-17
    580.40  2.51E-17
    581.30  2.79E-17
    581.50  2.97E-17
    581.60  1.22E-17
    581.70  7.94E-18
    581.80  1.58E-17
    581.90  1.88E-17
    582.00  2.13E-17
    582.20  2.37E-17
    584.30  2.73E-17
    584.70  2.98E-17
    584.90  3.55E-17
    585.00  2.41E-17
    585.10  1.29E-17
    585.30  8.32E-18
    585.40  9.21E-18
    585.50  1.40E-17
    585.60  1.82E-17
    585.70  2.15E-17
    586.00  2.42E-17
    587.60  2.65E-17
    590.00  2.95E-17
    590.50  3.27E-17
    590.80  4.00E-17
    590.90  3.66E-17
    591.00  2.79E-17
    591.10  2.08E-17
    591.20  1.59E-17
    591.60  1.18E-17
    591.70  9.19E-18
    591.80  8.47E-18
    591.90  1.03E-17
    592.10  1.55E-17
    592.30  1.93E-17
    592.60  2.23E-17
    593.20  2.48E-17
    597.90  2.77E-17
    600.80  3.03E-17
    601.40  3.35E-17
    601.80  3.88E-17
    601.90  4.40E-17
    602.10  4.43E-17
    602.30  3.16E-17
    602.40  2.47E-17
    602.60  2.29E-17
    603.20  2.16E-17
    604.10  1.62E-17
    604.60  1.50E-17
    605.20  1.18E-17
    605.40  1.19E-17
    605.60  1.35E-17
    606.10  1.91E-17
    606.50  2.34E-17
    607.10  2.68E-17
    609.40  3.11E-17
    610.40  3.25E-17
    610.90  2.49E-17
    611.40  2.57E-17
