        65      0.00   8660.   brono2   brodno2     26
 cross section:
 lambda=1.00-1127.a  data from hrec bro+no2

      1.00  3.37e-21
      7.00  7.46e-20
     12.40  7.90e-19
     13.80  9.30e-19
     15.50  1.16e-18
     17.70  1.44e-18
     20.70  3.37e-18
     22.50  3.76e-18
     24.80  2.07e-18
     31.00  2.50e-18
     41.30  4.06e-18
     62.00  7.19e-18
     95.40  9.60e-18
    124.00  9.50e-18
    138.00  8.90e-18
    155.00  8.60e-18
    177.00  1.23e-17
    207.00  1.31e-17
    248.00  2.15e-17
    310.00  2.31e-17
    413.00  3.97e-17
    620.00  6.90e-17
   1033.00  1.00e-16
   1127.00  5.70e-17
   1860.00  1.50e-17
   1900.00  1.30e-17
   1950.00  1.00e-17
   2000.00  7.20e-18
   2050.00  4.30e-18
   2100.00  3.20e-18
   2150.00  2.70e-18
   2200.00  2.40e-18
   2250.00  2.10e-18
   2300.00  1.90e-18
   2350.00  1.70e-18
   2400.00  1.30e-18
   2450.00  1.00e-18
   2500.00  7.80e-19
   2550.00  6.10e-19
   2600.00  4.80e-19
   2650.00  3.90e-19
   2700.00  3.40e-19
   2750.00  3.10e-19
   2800.00  2.90e-19
   2850.00  2.70e-19
   2900.00  2.40e-19
   2950.00  2.20e-19
   3000.00  1.90e-19
   3050.00  1.80e-19
   3100.00  1.50e-19
   3150.00  1.40e-19
   3200.00  1.20e-19
   3250.00  1.10e-19
   3300.00  1.00e-19
   3350.00  9.50e-20
   3400.00  8.70e-20
   3450.00  8.50e-20
   3500.00  7.70e-20
   3600.00  6.20e-20
   3700.00  4.90e-20
   3800.00  4.00e-20
   3900.00  2.80e-20
   4200.00  1.00e-20
   5500.00  1.00e-21
   8660.00  1.00e-30
  0
***
