       151      0.00   7200.00 c2h4     total
 lambda=1.a-100.a  cross section synthesized from atomic constituents
 lambda=180.a-700.a  l.c. lee, r.w. carlson, d.l. judge, and m. ogawa
   j. quant. spectrosc. radiat. transfer 13,1023(1973)
 lambda=500.a-1200.a  r.i. schoen, j. chem. phys. 37,2032(1962)
 lambda=1065.a-1960.a  m. zelikoff and k. watanabe  j. op. soc. am.
   43,756(1953)

      1.00  4.00e-23
     10.00  4.60e-20
     41.00  1.30e-19
     43.00  8.70e-20
     50.00  1.40e-19
    100.00  6.80e-19
    180.0   4.50e-18
    200.0   5.00e-18
    250.0   7.50e-18
    300.0   1.20e-17
    350.0   1.75e-17
    400.0   2.45e-17
    450.0   3.20e-17
    500.0   3.80e-17
    550.0   4.12e-17
    564.0   4.25e-17
    620.0   4.95e-17
    689.0   5.60e-17
    706.0   5.75e-17
    775.0   5.40e-17
    838.0   5.95e-17
    882.0   4.75e-17
    886.0   4.70e-17
    898.00  4.48e-17
    918.0   4.10e-17
    945.00  3.92e-17
    964.0   3.80e-17
   1016.0   5.55e-17
   1033.0   5.45e-17
   1065.0   2.40e-17
   1066.0   2.42e-17
   1085.0   1.95e-17
   1096.0   1.74e-17
   1105.0   1.86e-17
   1115.0   1.83e-17
   1123.0   1.72e-17
   1127.0   1.35e-17
   1149.0   1.42e-17
   1150.0   1.52e-17
   1178.0   1.79e-17
   1180.00  1.87e-17
   1186.0   2.09e-17
   1191.0   1.96e-17
   1201.0   2.21e-17
   1203.0   2.05e-17
   1208.0   2.47e-17
   1213.0   2.10e-17
   1222.0   2.82e-17
   1224.0   2.78e-17
   1226.00  2.92e-17
   1228.0   3.05e-17
   1231.0   2.39e-17
   1241.0   3.05e-17
   1244.0   2.72e-17
   1248.0   3.48e-17
   1251.0   2.64e-17
   1254.0   2.54e-17
   1256.0   2.70e-17
   1263.0   2.71e-17
   1264.0   2.80e-17
   1271.0   2.79e-17
   1273.0   2.53e-17
   1276.0   2.93e-17
   1280.0   2.82e-17
   1284.0   3.29e-17
   1294.0   1.60e-17
   1298.0   1.42e-17
   1302.0   1.62e-17
   1312.0   1.20e-17
   1317.0   1.56e-17
   1323.0   1.50e-17
   1330.0   1.66e-17
   1335.0   2.05e-17
   1338.0   1.95e-17
   1342.0   2.20e-17
   1352.0   1.10e-17
   1356.0   2.99e-17
   1360.0   2.86e-17
   1364.0   3.00e-17
   1366.0   2.43e-17
   1370.0   2.56e-17
   1376.0   6.29e-18
   1383.0   3.58e-17
   1388.0   2.33e-17
   1390.0   3.15e-17
   1395.0   6.40e-18
   1401.0   6.33e-18
   1402.0   5.06e-18
   1408.0   4.73e-18
   1414.0   8.90e-18
   1421.0   6.25e-18
   1428.0   1.00e-17
   1433.0   8.23e-18
