        59      0.00   4070.   ccl4     total
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+4*cl

      0.61  1.61e-21
      1.12  1.35e-20
      2.44  8.92e-20
      6.15  1.06e-19
     12.57  7.26e-19
     24.62  3.98e-18
     62.09  1.51e-18
    121.70  4.22e-18
    248.60  5.66e-18
    625.80  1.45e-16
   1600.00  1.80e-18
   1650.00  4.49e-18
   1700.00  6.46e-18
   1740.00  9.95e-18
   1760.00  1.01e-17
   1780.00  9.76e-18
   1800.00  7.72e-18
   1820.00  5.89e-18
   1840.00  4.50e-18
   1860.00  3.18e-18
   1880.00  2.18e-18
   1900.00  1.44e-18
   1920.00  9.89e-19
   1940.00  7.44e-19
   1960.00  6.82e-19
   1980.00  6.60e-19
   2000.00  6.48e-19
   2020.00  6.22e-19
   2040.00  6.04e-19
   2060.00  5.65e-19
   2080.00  5.20e-19
   2090.00  4.93e-19
   2100.00  4.66e-19
   2120.00  3.97e-19
   2140.00  3.33e-19
   2160.00  2.72e-19
   2180.00  2.18e-19
   2200.00  1.70e-19
   2220.00  1.30e-19
   2240.00  9.61e-20
   2260.00  7.19e-20
   2280.00  5.49e-20
   2300.00  4.07e-20
   2320.00  3.01e-20
   2340.00  2.16e-20
   2360.00  1.51e-20
   2380.00  1.13e-20
   2400.00  7.84e-21
   2420.00  5.79e-21
   2440.00  4.14e-21
   2460.00  3.14e-21
   2480.00  2.40e-21
   2500.00  1.83e-21
   2550.00  6.61e-22
   2600.00  2.53e-22
   2650.00  1.26e-22
   2700.00  6.10e-23
   2750.00  2.40e-23
   4070.00  1.00e-24
  1
         8      0.00   4070.   ccl4     ccl3dcl     26
 branching ratio:
 lambda=1700.-2400.a  baulch et al.

      1.00  1.00e-01
   1700.00  3.00e-01
   1800.00  3.60e-01
   1900.00  4.60e-01
   2000.00  6.30e-01
   2089.00  9.60e-01
   2090.00  1.00e+00
   4070.00  1.00e+00
         0      0.00   2090.   ccl4     ccl2d2cl    26
***
