        54      0.00   3460.   cf2cl2   total
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+2*f+2*cl

      0.61  8.60e-22
      1.12  7.23e-21
      2.44  4.85e-20
      6.15  1.11e-19
     12.57  7.69e-19
     24.62  2.25e-18
     62.09  1.96e-18
    121.70  7.49e-18
    248.60  1.79e-17
    625.80  1.00e-16
   1590.00  5.64e-19
   1595.00  5.07e-19
   1600.00  5.54e-19
   1610.00  5.66e-19
   1620.00  5.18e-19
   1630.00  5.73e-19
   1633.00  5.64e-19
   1640.00  6.03e-19
   1650.00  6.44e-19
   1660.00  7.59e-19
   1666.00  7.89e-19
   1680.00  9.60e-19
   1690.00  1.08e-18
   1700.00  1.24e-18
   1720.00  1.51e-18
   1740.00  1.71e-18
   1760.00  1.83e-18
   1780.00  1.89e-18
   1800.00  1.73e-18
   1820.00  1.57e-18
   1840.00  1.37e-18
   1860.00  1.04e-18
   1880.00  8.41e-19
   1900.00  6.28e-19
   1920.00  4.45e-19
   1940.00  3.06e-19
   1960.00  2.08e-19
   1980.00  1.32e-19
   2000.00  8.84e-20
   2020.00  5.60e-20
   2040.00  3.47e-20
   2060.00  2.16e-20
   2080.00  1.32e-20
   2100.00  8.00e-21
   2120.00  4.80e-21
   2140.00  2.90e-21
   2160.00  1.80e-21
   2180.00  1.20e-21
   2200.00  6.80e-22
   2250.00  2.20e-22
   2300.00  5.50e-23
   2350.00  1.60e-23
   2400.00  2.90e-24
   3460.00  1.00e-25
  1
         9      0.00   3460.   cf2cl2   cf2cldcl    26
 branching ratio:
 lambda=1700.-2400.a  baulch et al.

      1.00  1.00e-01
   1700.00  5.90e-01
   1800.00  6.20e-01
   1900.00  6.70e-01
   2000.00  7.40e-01
   2100.00  8.50e-01
   2159.90  9.60e-01
   2160.00  1.00e+00
   3460.00  1.00e+00
         0      0.00   2160.   cf2cl2   cf2d2cl     26
***
