        48      0.00   3860.   cfcl3    total
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+3*cl+f

      0.61  1.24e-21
      1.12  1.03e-20
      2.44  6.89e-20
      6.15  1.08e-19
     12.57  7.48e-19
     24.62  3.25e-18
     62.09  1.73e-18
    121.70  5.85e-18
    248.60  1.18e-17
    625.80  1.23e-16
   1700.00  3.16e-18
   1720.00  3.19e-18
   1740.00  3.15e-18
   1760.00  3.11e-18
   1780.00  3.04e-18
   1800.00  3.08e-18
   1820.00  2.85e-18
   1840.00  2.60e-18
   1860.00  2.33e-18
   1880.00  2.08e-18
   1900.00  1.78e-18
   1920.00  1.49e-18
   1940.00  1.23e-18
   1960.00  9.90e-19
   1980.00  8.01e-19
   2000.00  6.47e-19
   2020.00  5.08e-19
   2040.00  3.88e-19
   2060.00  2.93e-19
   2080.00  2.12e-19
   2100.00  1.54e-19
   2120.00  1.09e-19
   2140.00  7.52e-20
   2160.00  5.28e-20
   2180.00  3.56e-20
   2200.00  2.42e-20
   2220.00  1.60e-20
   2240.00  1.10e-20
   2260.00  8.00e-21
   2280.00  5.50e-21
   2300.00  3.50e-21
   2350.00  1.26e-21
   2400.00  4.64e-22
   2450.00  1.73e-22
   2500.00  6.61e-23
   2550.00  3.37e-23
   2600.00  1.47e-23
   3860.00  1.00e-24
  1
         9      0.00   3860.00 cfcl3    cfcl2dcl    26

      0.60  4.00e-01
   1600.00  4.80e-01
   1700.00  5.70e-01
   1800.00  6.60e-01
   1900.00  7.40e-01
   2000.00  8.40e-01
   2100.00  9.40e-01
   2140.00  1.00e 00
   3860.00  1.00e 00
         0      0.00   2140.00 cfcl3    cfcld2cl    26
***
