        49      0.00   2550.   ch3ccl3  ..cl2dcl    26
 cross section:
 lambda=0.61-625.80a  data from barfield et al. 2*c+3*h+3*cl
 lambda=1820.00-2400.00a  data from vanlaethem-meuree et al. (1979)
 geophys. res. lett. 6, 451.
 lambda= 1600.00-1800.00a  data from hubrich and stuhl (1980)
 j. photochem. 12, 93.
 lambda=2450.00-2550.00a  data from hubrich and stuhl (1980)
 j. photochem. 12, 93.
 data has been divided by 2 to match data at 2400.00a.  see demore
 nasa-cr-169262.

      0.61  1.22e-21
      1.12  1.01e-20
      2.44  6.73e-20
      6.15  8.63e-20
     12.57  6.01e-19
     24.62  3.34e-18
     62.09  1.27e-18
    121.70  3.82e-18
    248.60  7.12e-18
    625.80  1.25e-16
    650.00  1.00e-18
   1600.00  4.20e-18
   1650.00  4.10e-18
   1700.00  3.75e-18
   1750.00  3.90e-18
   1800.00  3.75e-18
   1820.00  3.15e-18
   1840.00  2.80e-18
   1860.00  2.50e-18
   1880.00  2.20e-18
   1900.00  1.92e-18
   1920.00  1.64e-18
   1940.00  1.40e-18
   1960.00  1.18e-18
   1980.00  9.90e-19
   2000.00  8.10e-19
   2020.00  6.58e-19
   2040.00  5.20e-19
   2060.00  4.00e-19
   2080.00  3.08e-19
   2100.00  2.40e-19
   2120.00  1.68e-19
   2140.00  1.20e-19
   2160.00  8.60e-20
   2180.00  6.00e-20
   2200.00  4.15e-20
   2220.00  2.95e-20
   2240.00  2.05e-20
   2260.00  1.48e-20
   2280.00  1.02e-20
   2300.00  7.00e-21
   2320.00  4.90e-21
   2340.00  3.35e-21
   2360.00  2.30e-21
   2380.00  1.53e-21
   2400.00  1.02e-21
   2450.00  4.40e-22
   2500.00  2.00e-22
   2550.00  8.00e-23
  0
***
