        59      0.00   3470.   ch3cl    ch3dcl      26
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+3*h+cl
 lambda=1580.-1733.a  hubrich, c., zetzsch, c., and stuhl, f. (1977)
    ber. bunsen-ges. 81, 437
 lambda=1860.-2160.a  vanlaethem-meuree, n., j. wisemberg, and
    p. c. simon (1978)
    bull. acad. roy. belgigue, cl. sci., 64, 31
 lambda=1740.-1840.a  robbins, d. e. (1976)
    geophys. res. letters 3, 213 and 3, 757
 lambda=2180.-2200.a  robbins, d. e. (1976)
    geophys. res. letters 3, 213 and 3, 757
 lambda=2233.-2350.a  hubrich, c., zetzsch, c., and stuhl, f. (1977)
    ber. bunsen-ges. 81, 437
 threshold:
 lambda=3470.a  Okabe (1978)

      0.61  4.06e-22
      1.12  3.39e-21
      2.44  2.25e-20
      6.15  3.07e-20
     12.57  2.15e-19
     24.62  1.21e-18
     62.09  4.63e-19
    121.70  1.47e-18
    248.60  3.33e-18
    625.80  4.86e-17
   1580.00  1.44e-18
   1590.00  4.05e-17
   1595.00  8.24e-17
   1600.00  1.10e-17
   1605.00  5.30e-18
   1610.00  2.77e-18
   1620.00  1.35e-18
   1625.00  1.15e-18
   1630.00  1.09e-18
   1633.00  1.06e-18
   1640.00  7.65e-19
   1650.00  7.59e-19
   1660.00  7.48e-19
   1670.00  1.00e-18
   1680.00  1.07e-18
   1690.00  1.15e-18
   1700.00  1.26e-18
   1710.00  1.21e-18
   1720.00  1.16e-18
   1730.00  1.17e-18
   1733.00  1.28e-18
   1740.00  1.10e-18
   1760.00  9.30e-19
   1780.00  7.73e-19
   1800.00  6.35e-19
   1820.00  4.65e-19
   1840.00  3.47e-19
   1860.00  2.47e-19
   1880.00  1.75e-19
   1900.00  1.27e-19
   1920.00  8.86e-20
   1940.00  6.03e-20
   1960.00  4.01e-20
   1980.00  2.66e-20
   2000.00  1.76e-20
   2020.00  1.09e-20
   2040.00  6.91e-21
   2060.00  4.83e-21
   2080.00  3.21e-21
   2100.00  2.06e-21
   2120.00  1.32e-21
   2140.00  8.80e-22
   2160.00  6.00e-22
   2180.00  3.60e-22
   2200.00  2.30e-22
   2233.00  1.17e-22
   2250.00  7.86e-23
   2350.00  6.23e-24
   3470.00  1.00e-26
  0
***
