        25      0.00   7350.   ch3cno5  total
 cross section:
 lambda=0.6-770.a  synthesized from constituents (=8*o)
 lambda=2200.-2700.a  j. phys. chem. ref. data, 11, 2 (1982)

      0.61  1.20e-22
      1.12  1.10e-21
      2.44  9.20e-20
      6.15  1.40e-19
     12.50  1.00e-18
     22.60  4.50e-18
     23.60  2.50e-19
     62.10  2.80e-18
    122.00  1.30e-17
    249.00  4.30e-17
    626.00  1.00e-16
    774.00  1.00e-16
   2200.00  1.00e-18
   2250.00  7.00e-19
   2300.00  5.00e-19
   2350.00  3.70e-19
   2400.00  2.70e-19
   2450.00  2.00e-19
   2500.00  1.50e-19
   2550.00  1.10e-19
   2600.00  8.00e-20
   2650.00  6.00e-20
   2700.00  4.00e-20
   5000.00  1.00e-30
   7300.00  1.00e-35
  1
         4      0.00  10860.   ch3cno5  mco3dno2    26
 branching ratio not known, assumed 0.5

      0.60  5.00e-01
   9140.00  5.00e-01
   9141.00  1.00e 00
  10860.00  1.00e 00
         0      0.00   9140.   ch3cno5  mco2dno3    26
***
