        38      0.00  14930.   ch3o2no2 total
 cross section:
 lambda=1.0-1850.a  sum of cross sections for h2co and hno3
 lambda=2000.-3100.a  baulch et al.

      1.00  6.00e-22
     23.50  7.60e-19
    625.00  8.40e-17
    915.00  9.10e-17
   1100.00  2.93e-17
   1200.00  1.77e-17
   1300.00  3.00e-17
   1400.00  2.94e-17
   1500.00  8.70e-17
   1550.00  1.47e-17
   1700.00  1.09e-17
   1800.00  1.83e-17
   1850.00  1.46e-17
   2000.00  5.00e-18
   2050.00  3.60e-18
   2100.00  2.40e-18
   2150.00  1.50e-18
   2200.00  1.05e-18
   2250.00  8.00e-19
   2300.00  6.80e-19
   2350.00  6.00e-19
   2400.00  5.30e-19
   2450.00  4.60e-19
   2500.00  3.90e-19
   2550.00  3.20e-19
   2600.00  2.60e-19
   2650.00  2.00e-19
   2700.00  1.60e-19
   2750.00  1.30e-19
   2800.00  1.05e-19
   2850.00  8.40e-20
   2900.00  7.00e-20
   2950.00  6.00e-20
   3000.00  5.00e-20
   3050.00  4.00e-20
   3100.00  3.00e-20
   5000.00  1.00e-21
  14930.00  1.00e-35
  1
         4      0.00  14930.00 ch3o2no2 ..o2dno2    26
 branching ratio not known.  assumed 0.5

      0.60  5.00e-01
   9560.00  5.00e-01
   9561.00  1.00e 00
  14930.00  1.00e 00
         0      0.00   9560.00 ch3o2no2 ch3odno3    26
***
