        58      0.00   6470.   ch3ooh   ch3odoh     26
 cross section:
 lambda=1.-2000.a  from h2co2 data
 lambda=2100.-3500.a  molina, m. j. and arguello, g. (1979)
    geophys. res. letters 6, 953
 threshold:
    from heats of formation (ch3ooh: 17 kcal/mol)

      1.00  1.60e-22
     10.00  1.50e-19
     22.50  1.50e-18
     23.50  3.00e-19
     41.00  1.20e-18
     43.00  2.20e-19
     50.00  4.20e-19
    100.00  2.80e-18
    200.00  1.05e-17
    300.00  1.70e-17
    400.00  2.30e-17
    500.00  2.70e-17
    600.00  2.85e-17
    800.00  3.00e-17
    900.00  3.90e-17
    902.00  3.93e-17
   1000.00  7.00e-17
   1100.00  5.12e-16
   1111.00  4.88e-16
   1122.00  3.60e-16
   1149.00  3.64e-16
   1170.00  2.83e-16
   1205.00  3.32e-16
   1227.00  3.13e-16
   1282.00  1.14e-16
   1404.00  2.53e-16
   1408.00  3.21e-16
   1422.00  3.54e-16
   1435.00  4.76e-16
   1445.00  4.54e-16
   1460.00  5.76e-16
   1475.00  5.38e-16
   1488.00  6.28e-16
   1511.00  4.46e-16
   1520.00  5.12e-16
   1555.00  1.95e-16
   1595.00  1.20e-16
   1650.00  1.44e-16
   1786.00  1.50e-17
   1818.00  8.57e-20
   2000.00  2.40e-18
   2100.00  3.75e-19
   2200.00  2.20e-19
   2300.00  1.38e-19
   2400.00  8.80e-20
   2500.00  5.80e-20
   2600.00  3.80e-20
   2700.00  2.50e-20
   2800.00  1.50e-20
   2900.00  9.00e-21
   3000.00  5.80e-21
   3100.00  3.40e-21
   3200.00  1.90e-21
   3300.00  1.10e-21
   3400.00  6.00e-22
   3500.00  4.00e-22
   3600.00  1.00e-24
   6470.00  1.00e-35
  0
***
