        35      0.00   4940.   ch3ssch3 total
 cross section:
 lambda=0.6-600.a  synthesized from constituents (=3*s)
 lambda=2000.-3100.a  j. phys. chem. ref. data, 11, 2 (1982)

      0.61  1.00e-21
      1.24  7.00e-21
      2.40  5.00e-20
      5.00  3.00e-19
      5.20  4.00e-20
      6.20  6.00e-20
     12.60  4.00e-19
     24.60  2.00e-18
     50.30  1.00e-17
     52.50  1.00e-17
     62.10  1.10e-17
     67.50  1.50e-17
     70.50  7.00e-17
     73.50  1.00e-18
    122.00  2.00e-18
    249.00  3.00e-18
    363.00  2.00e-18
    508.00  1.00e-17
    553.00  1.00e-17
   1100.00  1.00e-16
   2000.00  1.30e-17
   2100.00  5.30e-18
   2200.00  1.30e-18
   2300.00  8.00e-19
   2400.00  1.00e-18
   2500.00  1.20e-18
   2600.00  1.00e-18
   2700.00  8.00e-19
   2800.00  5.00e-19
   2900.00  3.00e-19
   3000.00  1.50e-19
   3100.00  6.00e-20
   3870.00  1.00e-20
   3871.00  1.00e-20
   4940.00  1.00e-24
  1
         4      0.00   4940.   ch3ssch3 mssdm       26
 branching ratio not known, assumed 0.5

      0.60  5.00e-01
   3870.00  5.00e-01
   3871.00  1.00e 00
   4940.00  1.00e 00
         0      0.00   3870.   ch3ssch3 2(ch3s)     26
***
