        41      0.00   2200.   chf2cl   chf2dcl     26
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+h+cl+2*f
 lambda=1580.-1733.a  hubrich, c., zeztsch, c., and stuhl, f. (1977)
    ber. bunsen-ges. 81, 437
 lambda=1740.-2020.a  robbins, d. e., and stolarski, r. s. (1976)
    geophys. res. letters 3, 603
 lambda=2033.-2200.a  hubrich, c., zetzsch, c., and stuhl, f. (1977)
    ber. bunsen-ges. 81, 437

      0.61  4.57e-22
      1.12  3.88e-21
      2.44  2.63e-20
      6.15  8.58e-20
     12.57  5.99e-19
     24.62  1.32e-18
     62.09  1.61e-18
    121.70  6.57e-18
    248.60  1.71e-17
    625.80  6.81e-17
   1580.00  1.39e-18
   1600.00  5.07e-19
   1633.00  3.64e-19
   1640.00  4.58e-19
   1650.00  2.92e-19
   1666.00  2.43e-19
   1680.00  1.82e-19
   1700.00  1.29e-19
   1720.00  9.79e-20
   1733.00  7.40e-20
   1740.00  5.94e-20
   1760.00  4.06e-20
   1780.00  2.85e-20
   1800.00  1.99e-20
   1820.00  1.30e-20
   1840.00  8.25e-21
   1860.00  5.25e-21
   1880.00  3.53e-21
   1900.00  2.38e-21
   1920.00  1.61e-21
   1940.00  1.02e-21
   1960.00  7.50e-22
   1980.00  3.60e-22
   2000.00  2.70e-22
   2020.00  2.20e-22
   2033.00  1.76e-22
   2050.00  1.32e-22
   2066.00  9.21e-23
   2100.00  5.58e-23
   2133.00  2.30e-23
   2200.00  5.01e-24
  0
***
