        49      0.00    953.00 cl       cli          2
 cross section:
 lambda=.61-270.4a  barfield et al.
 lambda=275.5-950.1a  brown, e. r., carter, s. l., and kelly, h. p.
    phys. rev. a 21, 1237 (1980)
 threshold:  charlott moore

      0.61  4.03e-22
      1.19  2.97e-21
      1.82  9.86e-21
      2.77  3.12e-20
      4.21  9.38e-20
      4.39  9.87e-21
      6.41  2.80e-20
      8.26  5.56e-20
     10.62  1.09e-19
     13.67  2.12e-19
     17.59  4.05e-19
     22.64  7.56e-19
     25.68  1.02e-18
     29.13  1.37e-18
     33.05  1.81e-18
     37.49  2.37e-18
     42.53  3.06e-18
     44.36  2.94e-18
     50.32  3.66e-18
     57.08  4.49e-18
     59.52  3.24e-19
     67.53  4.06e-19
     76.63  5.02e-19
     86.89  6.11e-19
     98.56  7.31e-19
    111.80  8.55e-19
    126.90  9.72e-19
    143.90  1.07e-18
    163.30  1.12e-18
    185.20  1.13e-18
    210.10  1.08e-18
    238.30  9.81e-19
    270.36  8.36e-19
    275.50  8.80e-19
    310.00  2.83e-18
    354.20  7.87e-18
    387.50  1.30e-17
    413.30  1.74e-17
    459.20  2.42e-17
    495.90  2.85e-17
    539.10  3.21e-17
    584.80  3.43e-17
    619.90  3.54e-17
    688.80  3.47e-17
    746.00  3.59e-17
    746.10  3.75e-17
    858.00  3.80e-17
    858.10  2.20e-17
    950.10  1.80e-17
  0
***
