        73      0.00   7748.   clno     cldno       26
 actual yhreshold is Lambda=7748.a
 cross section:
 lambda=1.-878.a  sum of cl and no
 lambda=1150.-1850.a  lenzi, m. and okabe, h. (1967)
 lambda=1900.-4000.a
 lambda=4200.-5400.a  ballash, n. m. and armstrong, d. a. (1973)
 lambda=5410.-6700.a  goodeve, c. f. and katz, s. (1939)

      1.00  3.47e-21
      5.00  2.56e-20
     12.00  3.52e-19
     26.00  1.50e-18
     45.00  3.17e-18
     60.00  7.95e-19
    120.00  3.75e-18
    200.00  8.76e-18
    250.00  1.19e-17
    300.00  1.45e-17
    350.00  1.72e-17
    400.00  2.02e-17
    450.00  2.62e-17
    500.00  3.53e-17
    550.00  4.35e-17
    622.50  5.56e-17
    841.50  6.32e-17
    877.90  6.99e-17
   1150.00  3.74e-17
   1200.00  3.41e-17
   1250.00  3.25e-17
   1300.00  2.07e-17
   1350.00  2.64e-17
   1400.00  3.98e-17
   1450.00  3.00e-17
   1500.00  3.86e-17
   1550.00  2.44e-17
   1600.00  6.33e-18
   1650.00  3.78e-18
   1700.00  3.57e-18
   1750.00  3.05e-18
   1800.00  5.48e-18
   1850.00  1.42e-17
   1900.00  5.27e-17
   2000.00  6.97e-17
   2100.00  3.18e-17
   2200.00  1.17e-17
   2300.00  3.77e-18
   2400.00  1.34e-18
   2600.00  1.80e-19
   2800.00  1.03e-19
   3000.00  9.50e-20
   3200.00  1.21e-19
   3400.00  1.37e-19
   3600.00  1.22e-19
   3800.00  8.32e-20
   4000.00  5.14e-20
   4200.00  2.83e-20
   4360.00  2.32e-20
   4400.00  2.28e-20
   4600.00  2.16e-20
   4720.00  2.74e-20
   4800.00  2.56e-20
   5000.00  1.39e-20
   5200.00  5.58e-21
   5400.00  2.24e-21
   5410.00  2.30e-21
   5480.00  2.70e-21
   5560.00  1.71e-21
   5630.00  1.52e-21
   5710.00  8.55e-22
   5800.00  8.55e-22
   5880.00  2.15e-21
   5970.00  3.82e-21
   6060.00  2.70e-21
   6150.00  2.70e-21
   6250.00  1.71e-21
   6350.00  1.21e-21
   6450.00  5.40e-22
   6560.00  3.82e-22
   6670.00  2.70e-22
   6700.00  2.41e-22
   7748.00  1.00e-22
  0
***
