        35      0.00   8520.   clno2    cldno2      26
 actual dissociation wavelength lamda=8800.a
 cross section:
 lambda=1.-622.50a  sum of clno and o
 lambda=1850a-2600a  illies, a. j., and takacs, g. a. (1976)
    j. photochem. 6, 43
 lambda=2700a-3700a  nelson, h. h., and johnston, h. s. (1981)
    j. phys. chem. 85, 3891

      1.00  3.62e-21
      5.00  4.34e-20
     12.00  4.18e-19
     26.00  1.54e-18
     60.00  1.15e-18
    120.00  5.36e-18
    250.00  1.74e-17
    622.50  6.92e-17
   1850.00  4.74e-17
   1900.00  2.69e-17
   1950.00  1.13e-17
   1975.00  7.13e-18
   2000.00  4.55e-18
   2005.00  3.22e-18
   2100.00  3.39e-18
   2150.00  3.56e-18
   2200.00  3.42e-18
   2250.00  2.95e-18
   2300.00  2.36e-18
   2350.00  1.80e-18
   2400.00  1.40e-18
   2500.00  9.85e-19
   2600.00  6.37e-19
   2700.00  3.72e-19
   2800.00  2.23e-19
   2900.00  1.81e-19
   3000.00  1.55e-19
   3100.00  1.25e-19
   3200.00  8.70e-20
   3300.00  5.58e-20
   3400.00  3.33e-20
   3500.00  1.78e-20
   3600.00  1.14e-20
   3700.00  7.20e-21
   8520.00  1.00e-24
  0
***
