        24      0.00   3500.   clo3     clo2do      26
 cross section:
 lambda=1.-662.50a  sum of cloo and o

      1.00  3.62e-21
      5.00  4.34e-20
     12.00  4.81e-19
     26.00  1.54e-18
     60.00  1.15e-18
    120.00  5.36e-18
    250.00  1.74e-17
    622.50  6.92e-17
   2000.00  5.30e-18
   2100.00  5.00e-18
   2200.00  4.80e-18
   2300.00  4.30e-18
   2400.00  3.50e-18
   2500.00  3.70e-18
   2600.00  4.30e-18
   2700.00  4.50e-18
   2800.00  4.60e-18
   2900.00  4.30e-18
   3000.00  4.00e-18
   3100.00  3.20e-18
   3200.00  2.50e-18
   3300.00  1.80e-18
   3400.00  1.10e-18
   3500.00  7.60e-19
  0
***
