        44      0.00  17000.   clono    cldno2      26
 dissociation wavelength lambda=17000.a
 cross section:
 lambda=1.-622.50a  sum of clno and o
 lambda=2350a-4000a  molina, l. a. and m. j. molina (1977)
    geophys. res. letters 4, 83

      1.00  3.62e-21
      5.00  4.34e-20
     12.00  4.18e-19
     26.00  1.54e-18
     60.00  1.15e-18
    120.00  5.36e-18
    250.00  1.74e-17
    622.50  6.92e-17
   2350.00  2.15e-18
   2400.00  1.76e-18
   2450.00  1.37e-18
   2500.00  1.06e-18
   2550.00  6.50e-19
   2600.00  6.46e-19
   2650.00  6.93e-19
   2700.00  9.03e-19
   2750.00  1.10e-18
   2800.00  1.32e-18
   2850.00  1.44e-18
   2900.00  1.44e-18
   2950.00  1.42e-18
   3000.00  1.29e-18
   3050.00  1.14e-18
   3100.00  1.05e-18
   3150.00  9.81e-19
   3200.00  8.03e-19
   3250.00  7.54e-19
   3300.00  5.87e-19
   3350.00  5.77e-19
   3400.00  4.37e-19
   3450.00  3.57e-19
   3500.00  2.69e-19
   3550.00  2.29e-19
   3600.00  1.61e-19
   3650.00  1.13e-19
   3700.00  9.00e-20
   3750.00  6.90e-20
   3800.00  4.10e-20
   3850.00  3.30e-20
   3900.00  2.20e-20
   3950.00  1.50e-20
   4000.00  6.00e-21
   7350.00  1.00e-24
  17000.00  1.00e-35
  0
***
