        62      0.00   7210.   clono2   total
 cross section:
 lambda=1.-622.50a  sum of clono and o

      1.00  3.77e-21
      5.00  6.12e-20
     12.00  5.47e-19
     26.00  1.58e-18
     60.00  1.50e-18
    120.00  6.97e-18
    250.00  2.29e-17
    622.50  8.28e-17
   1900.00  5.89e-18
   1950.00  3.81e-18
   2000.00  3.07e-18
   2050.00  2.99e-18
   2100.00  3.29e-18
   2150.00  3.60e-18
   2200.00  3.44e-18
   2250.00  2.86e-18
   2300.00  2.10e-18
   2350.00  1.49e-18
   2400.00  1.06e-18
   2450.00  7.70e-19
   2500.00  5.77e-19
   2550.00  4.47e-19
   2600.00  3.46e-19
   2650.00  2.69e-19
   2700.00  2.15e-19
   2750.00  1.61e-19
   2800.00  1.19e-19
   2850.00  8.80e-20
   2900.00  6.36e-20
   2950.00  4.56e-20
   3000.00  3.30e-20
   3050.00  2.38e-20
   3100.00  1.69e-20
   3150.00  1.23e-20
   3200.00  8.95e-21
   3250.00  6.55e-21
   3300.00  5.14e-21
   3350.00  3.97e-21
   3400.00  3.23e-21
   3450.00  2.85e-21
   3500.00  2.46e-21
   3550.00  2.18e-21
   3600.00  2.08e-21
   3650.00  1.78e-21
   3700.00  1.62e-21
   3750.00  1.39e-21
   3800.00  1.22e-21
   3850.00  1.08e-21
   3900.00  9.00e-22
   3950.00  7.70e-22
   4000.00  6.40e-22
   4050.00  5.50e-22
   4100.00  4.40e-22
   4150.00  3.50e-22
   4200.00  2.70e-22
   4250.00  2.00e-22
   4300.00  1.60e-22
   4350.00  1.30e-22
   4400.00  9.00e-23
   4450.00  7.00e-23
   4500.00  5.00e-23
   7210.00  1.00e-24
  1
         6      0.00   3910.   clono2   clonodo     26

      0.60  1.00e-01
   2410.00  1.00e-01
   2600.00  1.00e-01
   3909.00  1.00e-01
   3910.00  0.00e 00
   7210.00  0.00e 00
         0      0.00   7210.   clono2   cldno3      26
***
