       361      1.00   1117.80 co       total
cross section:
lambda=2.a-72.5a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds. gordon breach science
publishers.
   inc., new york, london, paris
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-1037.6a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=600.a-1002.5a  cook, g. r., metzger, p. h. and ogawa, m. (1965)
   can. j. phys. 43, 1706
threshold:
lambda=1117.8a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (dissociation wavelength)

      1.00  2.00e-22
      2.00  2.00e-21
      4.00  7.00e-21
      7.50  5.00e-20
     12.50  2.00e-19
     19.00  4.00e-19
     26.90  1.00e-18
     36.00  7.00e-20
     51.50  2.00e-19
     72.50  4.00e-19
     89.60  1.10e-18
     99.50  1.43e-18
    109.40  1.78e-18
    119.30  2.18e-18
    129.20  2.58e-18
    139.20  3.00e-18
    149.20  3.45e-18
    159.00  3.88e-18
    168.90  4.42e-18
    178.80  4.96e-18
    188.70  5.50e-18
    198.60  6.20e-18
    208.50  6.82e-18
    218.40  7.51e-18
    228.40  8.20e-18
    238.30  8.90e-18
    248.20  9.55e-18
    258.00  1.00e-17
    268.00  1.05e-17
    277.90  1.08e-17
    287.80  1.12e-17
    297.70  1.16e-17
    307.60  1.21e-17
    329.00  1.29e-17
    337.30  1.32e-17
    351.40  1.36e-17
    363.00  1.40e-17
    374.70  1.46e-17
    381.40  1.49e-17
    390.00  1.55e-17
    405.40  1.65e-17
    410.00  1.68e-17
    415.90  1.73e-17
    436.70  1.88e-17
    442.20  1.92e-17
    447.00  1.94e-17
    449.70  1.96e-17
    457.50  2.00e-17
    459.30  2.01e-17
    462.00  2.02e-17
    465.40  2.04e-17
    471.50  2.06e-17
    475.30  2.07e-17
    479.40  2.08e-17
    486.60  2.09e-17
    491.70  2.09e-17
    495.90  2.10e-17
    500.20  2.10e-17
    508.50  2.10e-17
    514.00  2.11e-17
    519.40  2.12e-17
    526.50  2.13e-17
    538.50  2.16e-17
    544.70  2.17e-17
    548.90  2.19e-17
    551.40  2.19e-17
    555.50  2.20e-17
    558.50  2.20e-17
    564.50  2.21e-17
    584.30  2.26e-17
    590.00  1.80e-17
    597.80  2.22e-17
    599.60  2.29e-17
    600.00  1.84e-17
    608.40  2.27e-17
    610.00  2.17e-17
    610.80  2.17e-17
    615.00  1.70e-17
    617.00  2.27e-17
    620.00  1.82e-17
    624.60  2.27e-17
    625.10  2.26e-17
    625.90  2.21e-17
    627.00  1.70e-17
    629.70  2.21e-17
    630.00  1.86e-17
    638.50  2.32e-17
    639.00  2.49e-17
    641.20  2.63e-17
    642.40  2.20e-17
    643.00  1.88e-17
    645.60  2.59e-17
    647.50  2.52e-17
    650.00  1.84e-17
    653.50  2.45e-17
    654.40  2.71e-17
    655.00  2.01e-17
    656.00  1.96e-17
    657.80  2.43e-17
    660.00  1.84e-17
    663.70  2.85e-17
    664.70  2.57e-17
    668.00  2.05e-17
    670.50  3.61e-17
    672.20  3.62e-17
    675.00  2.14e-17
    676.00  1.89e-17
    680.00  1.98e-17
    681.00  3.18e-17
    682.70  3.19e-17
    687.00  2.14e-17
    691.00  2.81e-17
    692.50  2.12e-17
    700.00  2.27e-17
    705.00  2.53e-17
    706.50  2.18e-17
    708.00  2.37e-17
    710.00  2.25e-17
    712.00  2.68e-17
    713.50  2.37e-17
    716.50  3.09e-17
    717.00  2.34e-17
    719.00  2.52e-17
    721.00  3.27e-17
    723.00  2.64e-17
    724.00  3.01e-17
    725.90  4.92e-17
    727.00  2.68e-17
    727.50  2.83e-17
    729.50  2.57e-17
    730.20  2.14e-17
    732.00  2.81e-17
    732.50  2.71e-17
    733.20  3.16e-17
    734.00  3.03e-17
    737.30  2.41e-17
    738.30  2.14e-17
    739.50  2.49e-17
    740.40  2.16e-17
    741.50  3.20e-17
    744.50  2.05e-17
    745.20  2.16e-17
    746.20  1.99e-17
    747.20  3.27e-17
    748.30  2.19e-17
    749.20  3.16e-17
    749.50  2.82e-17
    749.90  2.83e-17
    751.20  2.04e-17
    752.00  2.23e-17
    753.00  2.10e-17
    754.50  2.00e-17
    755.20  3.35e-17
    756.10  2.86e-17
    757.20  3.23e-17
    758.50  2.76e-17
    758.70  2.30e-17
    759.00  2.68e-17
    759.40  2.69e-17
    760.30  1.60e-17
    760.40  1.70e-17
    760.70  1.71e-17
    761.10  1.39e-17
    762.00  1.54e-17
    763.00  2.42e-17
    763.30  2.34e-17
    763.80  3.48e-17
    764.10  4.24e-17
    764.40  4.59e-17
    765.10  2.04e-17
    766.50  2.79e-17
    767.00  2.80e-17
    767.50  2.60e-17
    767.80  2.62e-17
    770.00  1.43e-17
    771.10  2.12e-17
    771.60  1.79e-17
    772.50  3.47e-17
    773.10  2.68e-17
    773.40  2.91e-17
    774.20  2.35e-17
    774.50  2.52e-17
    774.60  2.76e-17
    775.20  3.07e-17
    776.40  1.86e-17
    778.00  1.19e-17
    779.50  3.13e-17
    780.00  3.90e-17
    780.50  1.66e-17
    781.70  3.87e-17
    782.10  3.69e-17
    782.80  3.75e-17
    784.40  1.82e-17
    785.00  2.10e-17
    786.10  1.25e-17
    787.70  1.61e-17
    789.00  5.22e-17
    790.20  2.01e-17
    790.60  2.42e-17
    791.50  3.72e-17
    793.20  1.56e-17
    794.00  2.04e-17
    795.10  1.42e-17
    795.60  1.65e-17
    796.00  1.71e-17
    796.80  5.21e-17
    797.30  4.66e-17
    798.00  5.62e-17
    799.00  2.50e-17
    799.70  2.29e-17
    800.70  2.50e-17
    803.00  1.55e-17
    804.70  1.95e-17
    805.30  3.44e-17
    806.20  2.79e-17
    807.10  7.56e-17
    808.50  2.46e-17
    810.20  1.79e-17
    811.00  2.11e-17
    813.00  1.30e-17
    814.40  4.28e-17
    816.40  2.08e-17
    817.00  2.23e-17
    818.00  5.77e-17
    818.50  2.57e-17
    819.80  2.46e-17
    821.00  1.69e-17
    821.50  1.88e-17
    823.00  1.38e-17
    824.50  3.24e-17
    825.40  2.27e-17
    826.40  2.76e-17
    827.00  2.39e-17
    827.80  3.63e-17
    829.00  1.57e-17
    829.90  2.12e-17
    830.80  1.71e-17
    832.40  2.16e-17
    833.50  1.60e-17
    833.70  1.81e-17
    834.50  1.90e-17
    835.20  1.86e-17
    836.20  3.38e-17
    838.50  2.38e-17
    840.00  1.34e-17
    841.20  1.71e-17
    843.00  1.49e-17
    844.00  2.44e-17
    845.00  1.75e-17
    845.70  2.15e-17
    846.30  2.20e-17
    846.80  1.90e-17
    848.00  3.13e-17
    848.50  2.98e-17
    849.00  2.73e-17
    851.00  2.84e-17
    851.90  2.61e-17
    852.30  2.61e-17
