       534      0.00   2275.00 co2      total
lambda=2.a-270.a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds., gordon breach science
publishers,
   inc., new york, london, paris
lambda=303.78a-555.26a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=580.a-1670.a  nakata, r. s., watanabe, k. and matsunaga, f. m. (1965)
   science of light 14, 54

      1.00  1.00e-21
      4.00  1.20e-20
      7.50  7.50e-20
     12.50  2.70e-19
     19.00  7.00e-19
     26.90  9.00e-20
     36.00  2.00e-19
     51.50  4.40e-19
     72.50  8.00e-19
     93.00  1.40e-18
    120.50  2.20e-18
    151.50  4.20e-18
    172.50  1.10e-17
    185.00  1.90e-17
    197.50  1.90e-17
    212.50  1.90e-17
    230.00  2.50e-17
    250.00  2.60e-17
    257.00  2.60e-17
    270.00  2.60e-17
    303.78  2.34e-17
    434.98  2.76e-17
    507.39  3.00e-17
    507.68  3.00e-17
    508.18  2.89e-17
    522.21  2.98e-17
    525.80  3.12e-17
    537.02  3.14e-17
    553.33  3.38e-17
    554.07  3.04e-17
    554.51  3.32e-17
    555.26  3.39e-17
    582.70  2.15e-17
    585.20  2.26e-17
    590.00  2.30e-17
    605.00  2.41e-17
    610.00  2.38e-17
    615.00  2.49e-17
    620.00  2.23e-17
    625.00  2.20e-17
    630.00  2.20e-17
    636.90  2.17e-17
    640.00  2.16e-17
    650.00  2.12e-17
    659.50  2.04e-17
    665.00  2.20e-17
    670.00  2.08e-17
    675.00  2.15e-17
    677.00  2.12e-17
    680.00  2.01e-17
    682.00  2.16e-17
    683.00  2.42e-17
    685.00  2.34e-17
    686.00  2.19e-17
    687.00  2.49e-17
    688.70  2.60e-17
    689.30  2.49e-17
    689.60  2.64e-17
    690.00  1.86e-17
    690.40  2.90e-17
    690.90  2.01e-17
    691.50  2.90e-17
    692.10  1.71e-17
    692.40  2.93e-17
    692.90  2.79e-17
    693.20  2.05e-17
    693.60  1.60e-17
    694.10  4.13e-17
    694.40  2.75e-17
    694.80  3.35e-17
    695.70  1.78e-17
    696.20  2.01e-17
    696.60  4.47e-17
    697.00  2.27e-17
    697.30  2.19e-17
    697.80  2.42e-17
    698.50  1.82e-17
    699.00  1.60e-17
    699.50  1.79e-17
    700.00  1.97e-17
    700.50  6.91e-17
    701.40  2.01e-17
    701.90  2.19e-17
    702.30  3.98e-17
    703.00  2.19e-17
    703.60  2.09e-17
    704.10  1.86e-17
    704.60  2.19e-17
    705.00  2.08e-17
    705.80  1.79e-17
    706.30  1.97e-17
    707.00  8.44e-17
    707.60  3.72e-17
    708.00  2.19e-17
    708.50  1.82e-17
    709.00  2.45e-17
    709.30  2.16e-17
    709.80  2.79e-17
    710.60  6.58e-17
    711.40  2.97e-17
    711.70  2.42e-17
    712.00  2.09e-17
    712.40  1.82e-17
    712.90  1.86e-17
    713.30  2.04e-17
    713.60  1.82e-17
    714.10  1.45e-17
    714.60  2.49e-17
    714.90  1.98e-17
    715.50  1.86e-17
    716.00  3.50e-17
    716.30  2.67e-17
    716.80  2.72e-17
    717.50  5.17e-17
    718.00  3.13e-17
    719.00  3.98e-17
    719.40  2.86e-17
    719.90  2.45e-17
    720.40  3.72e-17
    720.80  3.01e-17
    721.30  2.01e-17
    721.80  4.09e-17
    722.30  2.38e-17
    722.80  1.78e-17
    723.50  2.41e-17
    724.00  2.08e-17
    725.00  3.27e-17
    725.50  4.16e-17
    726.20  8.07e-17
    727.20  3.80e-17
    727.60  5.28e-17
    728.00  2.87e-17
    728.40  2.35e-17
    728.90  1.97e-17
    729.40  3.50e-17
    730.10  2.23e-17
    730.80  1.71e-17
    731.60  1.38e-17
    732.10  1.75e-17
    733.10  1.53e-17
    733.60  3.91e-17
    734.10  2.12e-17
    734.80  4.84e-17
    735.10  3.35e-17
    735.50  3.94e-17
    735.80  2.23e-17
    736.20  2.09e-17
    737.30  1.49e-17
    738.30  1.15e-17
    739.10  1.23e-17
    739.80  2.12e-17
    740.20  1.49e-17
    740.70  1.94e-17
    741.00  1.93e-17
    741.50  5.02e-17
    742.00  2.46e-17
    743.20  1.60e-17
    744.80  1.27e-17
    745.10  1.56e-17
    745.60  2.90e-17
    746.20  2.53e-17
    747.00  1.90e-17
    747.70  4.94e-17
    748.50  2.72e-17
    749.50  1.71e-17
    750.50  1.30e-17
    751.50  4.49e-17
    752.50  3.17e-16
    753.80  5.17e-17
    754.20  6.47e-17
    754.70  3.98e-17
    755.50  3.27e-17
    755.90  3.16e-17
    757.00  2.30e-17
    757.70  2.04e-17
    758.20  2.34e-17
    758.60  3.46e-17
    759.30  3.16e-17
    759.80  2.97e-17
    760.50  4.72e-17
    760.90  4.42e-17
    761.80  4.17e-17
    762.40  4.69e-17
    762.70  4.46e-17
    763.00  4.61e-17
    763.40  3.87e-17
    764.80  8.22e-17
    766.30  5.09e-17
    767.00  6.29e-17
    767.50  4.80e-17
    768.80  2.79e-17
    769.30  2.53e-17
    769.60  2.53e-17
    770.60  2.87e-17
    771.30  4.01e-17
    772.50  2.57e-17
    774.40  3.54e-17
    775.50  2.86e-17
    777.00  2.45e-17
    777.70  3.49e-17
    779.00  3.61e-17
    780.10  5.06e-17
    781.10  3.27e-17
    783.00  2.31e-17
    784.20  2.05e-17
    784.70  2.34e-17
    786.00  2.01e-17
    787.20  4.06e-17
    788.20  2.72e-17
    789.20  2.53e-17
    791.20  1.94e-17
    793.30  2.05e-17
    795.10  2.42e-17
    799.10  1.86e-17
    801.10  2.31e-17
    803.00  1.93e-17
    804.00  1.93e-17
    805.80  1.71e-17
    807.20  1.93e-17
    808.40  1.83e-17
    809.90  1.94e-17
    812.30  1.71e-17
    815.70  1.64e-17
    816.70  1.79e-17
    818.20  1.45e-17
    819.20  1.52e-17
    820.70  1.71e-17
    821.80  1.53e-17
    823.20  1.37e-17
    824.10  1.49e-17
    826.20  1.30e-17
    829.90  1.26e-17
    830.80  1.23e-17
    833.20  1.34e-17
    836.00  1.30e-17
    842.00  1.41e-17
    850.00  1.64e-17
    856.00  1.79e-17
    860.00  2.05e-17
    866.00  2.52e-17
    869.50  2.82e-17
    874.00  3.31e-17
    876.00  3.65e-17
    880.00  4.27e-17
    885.60  5.40e-17
    886.30  5.87e-17
    888.00  6.14e-17
    888.90  6.17e-17
    889.40  6.39e-17
    889.90  6.14e-17
    890.70  6.43e-17
    891.20  7.21e-17
    891.60  6.32e-17
    892.10  6.95e-17
    892.60  6.62e-17
    893.60  8.11e-17
    894.00  7.14e-17
    895.00  8.15e-17
    895.70  7.55e-17
    896.20  7.74e-17
    896.90  8.78e-17
    897.40  7.84e-17
    897.70  8.45e-17
    898.10  8.00e-17
    899.00  9.18e-17
    900.30  8.29e-17
    900.80  1.07e-16
    901.10  9.29e-17
