        89      0.00   3690.   cocl2    cocldcl     26
 cross section:
 lambda=.61-625.80a  barfield et al. (c+o+2*cl)
 lambda=1170.-1600.a  okabe, h., laufer, a. h., and ball, j. j. (1971)
    j. chem. phys. 55, 373
 lambda=1849.-2260.a  demore, w. b. (1982)
    chemical kinetics and photochemical data for use in stratospheric
modeling:
    evaluation number 5, nasa-cr-169262.  data taken from chou, c. c.,
    crescentini, g., vera-ruiz, h., smith, w. s., and rowland, f. s.
    (1977), stratospheric photochemistry of cf2o, cclfo and ccl2o,
    173rd am. chem. soc. national meeting, new orleans.
 lambda=2300.-2900.a  moule, d. c. and foo, p. d. (1971)
    j. chem. phys. 55, 1262
 threshold and branching ratio:
    baulch, d. l., cox, r. a., crutzen, p. j., hampson, r. f., jr.,
    kerr, j. a., troe, j., and watson, r. t. (1982)
    j. phys. chem. ref. data 11, 327.

      0.61  8.24e-22
      1.24  6.89e-21
      2.44  4.59e-20
      6.15  7.34e-20
     12.57  5.14e-19
     24.62  2.17e-18
     62.09  1.16e-18
    121.70  3.96e-18
    248.60  9.27e-18
    625.80  8.99e-17
   1170.00  3.15e-17
   1180.00  2.80e-17
   1190.00  2.80e-17
   1200.00  3.25e-17
   1210.00  4.47e-17
   1220.00  8.12e-17
   1230.00  1.12e-16
   1240.00  7.31e-17
   1250.00  2.44e-17
   1260.00  2.31e-17
   1270.00  1.62e-17
   1280.00  2.07e-17
   1290.00  3.74e-17
   1300.00  4.14e-17
   1310.00  4.59e-17
   1320.00  5.28e-17
   1330.00  5.48e-17
   1340.00  4.87e-17
   1350.00  5.08e-17
   1360.00  3.65e-17
   1370.00  2.84e-17
   1380.00  1.02e-17
   1390.00  6.50e-18
   1400.00  7.31e-18
   1410.00  6.09e-18
   1420.00  8.12e-18
   1430.00  1.10e-17
   1440.00  1.34e-17
   1450.00  1.83e-17
   1460.00  2.76e-17
   1470.00  3.57e-17
   1480.00  3.86e-17
   1490.00  4.67e-17
   1500.00  4.67e-17
   1510.00  5.97e-17
   1520.00  7.31e-17
   1530.00  8.00e-17
   1540.00  8.04e-17
   1550.00  8.20e-17
   1560.00  7.11e-17
   1570.00  6.50e-17
   1580.00  5.48e-17
   1590.00  4.10e-17
   1600.00  3.98e-17
   1849.00  2.04e-18
   1860.00  1.89e-18
   1878.00  1.37e-18
   1896.00  1.17e-18
   1914.00  9.37e-19
   1932.00  6.97e-19
   1951.00  5.25e-19
   1970.00  4.10e-19
   1990.00  3.18e-19
   2010.00  2.50e-19
   2030.00  2.04e-19
   2051.00  1.69e-19
   2073.00  1.51e-19
   2094.00  1.34e-19
   2116.00  1.22e-19
   2139.00  1.17e-19
   2162.00  1.16e-19
   2186.00  1.19e-19
   2210.00  1.23e-19
   2235.00  1.28e-19
   2260.00  1.32e-19
   2300.00  1.18e-19
   2350.00  1.14e-19
   2400.00  1.06e-19
   2450.00  9.14e-20
   2500.00  7.51e-20
   2550.00  5.68e-20
   2600.00  4.06e-20
   2650.00  2.84e-20
   2700.00  1.83e-20
   2750.00  1.22e-20
   2800.00  8.12e-21
   2850.00  6.09e-21
   2900.00  4.06e-21
   3690.00  1.00e-24
  0
***
