        31      0.00   3160.   cofcl    cofdcl      26
 cross section:
 lambda=0.61-625.80a  data from barfield et al. c+cl+f+o

      0.61  4.47e-22
      1.12  3.78e-21
      2.44  2.56e-20
      6.15  7.60e-20
     12.57  5.36e-19
     24.62  1.30e-18
     62.09  1.38e-18
    121.70  5.59e-18
    248.60  1.54e-17
    625.80  6.74e-17
   1860.00  1.56e-19
   1878.00  1.40e-19
   1896.00  1.34e-19
   1914.00  1.29e-19
   1932.00  1.27e-19
   1951.00  1.25e-19
   1970.00  1.24e-19
   1990.00  1.23e-19
   2010.00  1.20e-19
   2030.00  1.17e-19
   2051.00  1.12e-19
   2073.00  1.05e-19
   2094.00  9.70e-20
   2116.00  9.00e-20
   2139.00  7.90e-20
   2162.00  6.90e-20
   2186.00  5.80e-20
   2210.00  4.80e-20
   2235.00  4.00e-20
   2260.00  3.10e-20
   3160.00  1.00e-24
  0
***
