       175      0.00   2778.00 cs2      total
 cross sections:
 lambda=0.6-249.a  composite of atomic cross sections
    barfield et al.
 lambda=310.-954.a  carnovale, f., hitchcock, a. p., cook, j. p. d., and
    brion, c. e. (1982)
    chem. phys. 66, 249
 lambda=1060.-1520.a

      0.61  6.30e-22
      1.24  5.70e-21
      2.44  3.60e-20
      4.98  2.60e-19
      5.20  2.70e-20
      6.15  4.40e-20
     12.60  3.10e-19
     24.60  1.70e-18
     40.80  5.00e-18
     42.50  4.00e-18
     50.30  7.00e-18
     52.50  6.60e-18
     62.10  8.90e-18
     67.50  1.10e-17
     70.50  5.00e-18
     73.50  8.00e-19
    121.70  1.90e-18
    248.60  3.70e-18
    310.00  5.01e-20
    318.00  4.56e-20
    326.00  5.92e-20
    335.00  6.01e-20
    344.00  5.19e-20
    354.00  6.47e-20
    365.00  7.29e-20
    376.00  8.20e-20
    387.00  8.38e-20
    400.00  9.39e-20
    413.00  1.08e-19
    428.00  1.19e-19
    443.00  1.53e-19
    459.00  1.60e-19
    477.00  1.90e-19
    496.00  2.19e-19
    517.00  2.47e-19
    539.00  2.82e-19
    564.00  3.26e-19
    590.00  3.85e-19
    620.00  4.21e-19
    653.00  4.53e-19
    689.00  5.06e-19
    729.00  5.40e-19
    775.00  5.47e-19
    827.00  4.77e-19
    886.00  4.18e-19
    954.00  3.82e-19
   1060.00  5.00e-17
   1070.00  4.50e-17
   1080.00  4.40e-17
   1090.00  5.00e-17
   1100.00  4.80e-17
   1110.00  7.50e-17
   1118.00  2.10e-16
   1120.00  9.00e-17
   1130.00  2.80e-17
   1140.00  2.70e-17
   1150.00  2.90e-17
   1160.00  3.00e-17
   1170.00  3.00e-17
   1180.00  2.90e-17
   1190.00  2.80e-17
   1200.00  2.20e-17
   1210.00  1.80e-17
   1220.00  1.30e-17
   1230.00  1.40e-17
   1240.00  1.50e-17
   1250.00  1.50e-17
   1252.00  2.70e-17
   1256.00  1.20e-17
   1260.00  2.80e-17
   1262.00  1.50e-17
   1267.00  2.60e-17
   1270.00  1.50e-17
   1275.00  3.00e-17
   1280.00  5.30e-17
   1282.00  2.00e-17
   1288.00  5.80e-17
   1292.00  3.20e-17
   1300.00  7.00e-17
   1310.00  7.50e-17
   1313.00  4.40e-17
   1320.00  6.00e-17
   1330.00  2.20e-17
   1338.00  7.00e-18
   1345.00  4.50e-17
   1350.00  1.00e-17
   1360.00  5.00e-18
   1370.00  5.20e-17
   1380.00  1.80e-17
   1390.00  5.00e-18
   1402.00  3.40e-17
   1405.00  2.00e-17
   1412.00  1.22e-16
   1420.00  1.50e-17
   1430.00  2.50e-17
   1440.00  3.00e-17
   1450.00  1.00e-17
   1460.00  7.00e-18
   1470.00  1.50e-18
   1480.00  2.20e-17
   1485.00  3.00e-17
   1494.00  2.20e-17
