       103      0.00   2768.85 h2       total
cross section:
lambda=1.-200.a  cross section approximated by two times
   the cross section of atomic hydrogen
lambda=209.3a-452.2a  samson, j. a. r. and cairns, r. b. (1965)
   j. opt. soc. am. 55, 1035
lambda=500.a-844.a  cook, g. r. and metzger, p. h. (1964)
   j. opt. soc. am. 54, 968
lambda=584.a  brolley, j. e., porter, l. e., sherman, r. h., theobald, j. k.
   and fong, j. c. (1973)
   j. geophys. res. 78, 1627

      1.00  4.00e-27
     10.00  1.12e-24
     50.00  2.20e-21
    100.00  2.00e-20
    200.00  1.66e-19
    209.30  2.66e-19
    234.20  4.02e-19
    239.60  4.39e-19
    247.20  4.94e-19
    260.50  5.79e-19
    266.30  6.38e-19
    283.50  7.90e-19
    297.60  9.49e-19
    303.10  1.02e-18
    314.90  1.12e-18
    323.60  1.22e-18
    335.10  1.36e-18
    345.10  1.51e-18
    358.50  1.75e-18
    362.90  1.84e-18
    374.90  2.04e-18
    387.40  2.26e-18
    428.20  2.88e-18
    434.30  3.02e-18
    452.20  3.37e-18
    500.00  3.72e-18
    550.00  5.20e-18
    584.00  6.48e-18
    600.00  7.20e-18
    650.00  9.30e-18
    700.00  1.00e-17
    750.00  1.33e-17
    770.00  8.56e-18
    771.50  1.12e-17
    777.00  5.58e-18
    778.30  9.67e-18
    785.00  7.07e-18
    786.10  1.23e-17
    793.00  6.14e-18
    794.60  1.30e-17
    802.00  5.39e-18
    804.10  1.64e-17
    813.00  5.58e-18
    814.70  2.08e-17
    823.00  5.95e-18
    826.40  2.27e-17
    838.00  6.69e-18
    839.20  2.53e-17
    844.00  2.50e-17
    844.79  2.50e-17
    844.80  1.00e-35
    929.91  1.00e-35
    930.91  2.72e-17
    931.91  1.00e-35
    937.17  1.00e-35
    938.17  3.41e-17
    939.17  1.00e-35
    944.84  1.00e-35
    945.84  4.09e-17
    946.84  1.00e-35
    953.63  1.00e-35
    954.63  4.95e-17
    955.63  1.00e-35
    962.21  1.00e-35
    963.21  6.00e-17
    964.21  1.00e-35
    971.22  1.00e-35
    972.22  5.45e-17
    973.22  1.00e-35
    980.69  1.00e-35
    981.69  6.65e-17
    982.69  1.00e-35
    990.64  1.00e-35
    991.64  7.94e-17
    992.64  1.00e-35
   1001.10  1.00e-35
   1002.10  6.20e-17
   1003.10  1.00e-35
   1012.10  1.00e-35
   1013.10  5.00e-17
   1014.10  1.00e-35
   1023.70  1.00e-35
   1024.70  7.46e-18
   1025.70  1.00e-35
   1035.90  1.00e-35
   1036.90  4.05e-18
   1037.90  1.00e-35
   1048.70  1.00e-35
   1049.70  3.19e-19
   1050.70  1.00e-35
   1062.30  1.00e-35
   1063.30  1.96e-20
   1064.30  1.00e-35
   1076.60  1.00e-35
   1077.60  1.52e-21
   1078.60  1.00e-35
   1091.60  1.00e-35
   1092.60  3.96e-24
   1093.60  1.00e-35
   1107.60  1.00e-35
   1108.60  5.25e-26
   1109.60  1.00e-35
   2768.85  1.00e-35
  3
        17      0.00    844.79 h2       h1dh2     1 26
branching ratio:
lambda=770.a-844.a  cook, g. r. and metzger, p. h. (1964)
   j. opt. soc. am. 54, 968
   (branching ratio for dissociation and ionization)
threshold:
 lambda=844.79a  herzberg, g. and monfils, a. (1960)
    j. mol. spectrosc. 5, 482
   (dissociation limit for production of h + h(2s,2p))
   (predissociation from lambda=930.91-1109.60a into h + h)

      0.0   0.
    685.80  0.
    750.0   3.23e-01
    770.0   1.31e-01
    771.5   2.99e-01
    777.0   6.70e-02
    778.3   1.61e-01
    785.0   2.63e-01
    786.1   4.23e-01
    793.0   3.94e-01
    794.6   6.01e-01
    802.0   6.83e-01
    803.67  8.78e-01
    804.1   1.00e 00
    844.79  1.00e 00
    844.80  0.00e 00
   2768.85  0.00e 00
         4      0.00   2768.85 h2       hdh         26

      0.00  0.00e 00
    844.79  0.00e 00
    844.80  1.00e 00
   2768.85  1.00e 00
        38      0.00    803.67 h2       h2i      10  2
branching ratios:
lambda=409.a-685.a  browning, r. and fryar, j. (1973)
   j. phys. b., atom. molec. phys. 6, 364
   (branching ratio for ionization and dissociative ionization)
thresholds:
lambda=803.67a  beutler, h. and juenger, h. o. (1936)
   z. physik 100, 80
   (ionization threshold for j=0 - j=0)
lambda=685.8a  browning, r. and fryar, j. (1973)
   j. phys. b., atom. molec. phys. 6, 364
   (photodissociative ionization threshold)

      1.0   0.00
    209.3   8.95e-03
    234.2   1.45e-02
    239.6   1.95e-02
    247.2   3.18e-02
    260.5   7.20e-02
    266.3   9.84e-02
    283.5   2.04e-01
    297.6   3.02e-01
    303.1   3.45e-01
    314.9   4.35e-01
    323.6   4.98e-01
    335.1   5.90e-01
    345.1   6.75e-01
    358.5   7.71e-01
    362.9   7.93e-01
    374.9   8.53e-01
    387.4   8.94e-01
    428.2   9.72e-01
    434.3   9.74e-01
    452.2   9.76e-01
    500.0   9.78e-01
    550.0   9.79e-01
    584.0   9.80e-01
    600.0   9.80e-01
    650.0   9.84e-01
    685.8   1.00e 00
    750.0   6.77e-01
    770.0   8.69e-01
    771.5   7.01e-01
    777.0   9.33e-01
    778.3   8.39e-01
    785.0   7.37e-01
    786.1   5.77e-01
    793.0   6.06e-01
    794.6   3.99e-01
    802.0   3.17e-01
    803.67  1.22e-01
         0      0.00    685.80 h2       hih       1 40
***
