       172      0.00   2424.60 h2o      total
lambda=1.a-100.a  barfield, w. d., koontz, g. d. and huebner w. f. (1972)
   j. quant. spectrosc. radiat. transfer 12, 1409
   (cross section of h2o = cross section of atomic o)
lambda=180.a-720.a  phillips, e., lee, l. c. and judge, d. l. (1977)
   j. quant. spectrosc. radiat. transfer 18, 309
lambda=600.a-690.a  dibler, v. h., walker, j. a. and rosenstock, h. m. (1966)
   j. res. nbs-a. phys. chem. 70, 459
lambda=700.a-980.8a  katayama, d. h., huffman, r. e. and o'bryan, c. l. (1973)
   j. chem. phys. 59, 4309
lambda=850.a-1110.a  watanabe, k. and jursa, a. s. (1964)
   j. chem. phys. 41, 1650
lambda=1060.a-1860.a  watanabe, k. and zelikoff, m. (1953)
   j. opt. soc. am. 43, 753

      1.00  1.00e-22
      5.00  1.00e-20
     10.00  6.80e-20
     20.00  1.30e-19
     22.50  5.60e-19
     23.50  2.90e-20
    100.00  1.25e-18
    180.00  5.00e-18
    200.00  5.70e-18
    220.00  6.60e-18
    240.00  7.60e-18
    260.00  8.30e-18
    280.00  9.60e-18
    300.00  1.01e-17
    320.00  1.06e-17
    340.00  1.15e-17
    360.00  1.23e-17
    380.00  1.32e-17
    400.00  1.43e-17
    420.00  1.56e-17
    440.00  1.72e-17
    460.00  1.78e-17
    480.00  1.77e-17
    500.00  1.83e-17
    520.00  1.90e-17
    540.00  1.99e-17
    560.00  2.07e-17
    580.00  2.13e-17
    600.00  2.19e-17
    620.00  2.25e-17
    640.00  2.27e-17
    660.00  2.28e-17
    680.00  2.27e-17
    700.00  2.19e-17
    720.00  2.18e-17
    722.80  2.18e-17
    734.50  2.18e-17
    742.00  2.00e-17
    750.00  2.17e-17
    758.70  1.93e-17
    766.60  1.95e-17
    776.70  1.78e-17
    784.00  1.72e-17
    793.60  1.67e-17
    800.00  1.60e-17
    802.50  1.64e-17
    808.60  1.68e-17
    815.60  1.71e-17
    822.20  1.77e-17
    829.70  1.80e-17
    833.70  1.76e-17
    836.50  1.86e-17
    844.20  1.88e-17
    848.80  1.83e-17
    851.10  1.98e-17
    852.60  1.86e-17
    855.20  1.88e-17
    857.50  1.98e-17
    859.20  1.97e-17
    861.00  1.78e-17
    862.50  1.91e-17
    865.00  1.97e-17
    866.80  1.98e-17
    867.90  1.99e-17
    870.20  2.05e-17
    872.40  2.06e-17
    874.10  2.05e-17
    877.70  2.05e-17
    879.00  2.07e-17
    883.30  2.05e-17
    885.80  2.26e-17
    887.40  2.08e-17
    891.40  2.16e-17
    893.00  2.37e-17
    894.40  2.28e-17
    900.30  2.42e-17
    903.00  1.97e-17
    905.00  1.91e-17
    908.10  2.40e-17
    909.00  2.42e-17
    910.00  2.32e-17
    911.50  2.11e-17
    915.50  2.25e-17
