        63      0.00   5765.00 h2o2     ohdoh       26
cross section:
lambda=1.-1000.a  barfield et al.
lambda=1200.-1950.a  lin, c. l., rohatgi, n. k., and demore, w. b. (1978)
   geophys. res. lett. 5, 113
lambda=1950.-3500.a  schuergers, m. and welge, k.h. (1968)
   z. natur forsch. 23a, 1508

      1.00  2.00e-22
      5.00  2.00e-20
     10.00  2.00e-19
     22.60  1.10e-18
     23.60  6.00e-20
    100.00  2.00e-18
    200.00  1.00e-17
    300.00  2.00e-17
    400.00  2.50e-17
    500.00  3.00e-17
    600.00  3.40e-17
    700.00  3.50e-17
    800.00  3.00e-17
    900.00  2.40e-17
   1000.00  1.00e-17
   1200.00  1.00e-17
   1250.00  1.00e-17
   1300.00  9.67e-18
   1350.00  7.81e-18
   1400.00  5.58e-18
   1450.00  4.28e-18
   1500.00  3.72e-18
   1550.00  3.53e-18
   1600.00  3.72e-18
   1650.00  4.09e-18
   1700.00  3.53e-18
   1750.00  2.05e-18
   1800.00  1.30e-18
   1850.00  1.04e-18
   1900.00  6.72e-19
   1950.00  5.63e-19
   2000.00  4.75e-19
   2050.00  3.98e-19
   2100.00  3.49e-19
   2150.00  2.99e-19
   2200.00  2.54e-19
   2250.00  2.13e-19
   2300.00  1.79e-19
   2350.00  1.48e-19
   2400.00  1.22e-19
   2450.00  1.00e-19
   2500.00  8.30e-20
   2550.00  6.70e-20
   2600.00  5.20e-20
   2650.00  4.20e-20
   2700.00  3.20e-20
   2750.00  2.50e-20
   2800.00  2.00e-20
   2850.00  1.50e-20
   2900.00  1.13e-20
   2950.00  8.70e-21
   3000.00  6.60e-21
   3050.00  4.90e-21
   3100.00  3.70e-21
   3150.00  2.80e-21
   3200.00  2.00e-21
   3250.00  1.50e-21
   3300.00  1.20e-21
   3350.00  9.00e-22
   3400.00  7.00e-22
   3450.00  5.00e-22
   3500.00  3.00e-22
   5765.00  1.00e-35
  0
***
