        81      0.00   2000.00 hc3n     cndc2h   55 26
lambda=1.a-800.a  cross section synthesized from atomic constituents
lambda=1058.a-1632.a  r.e. connors, j.l. roebber, and k. weiss
   j. chem. phys. 60,5011(1974)
 threshold:
 lambda=2000.a  Okabe (1972)

      1.00  1.00e-22
     10.00  1.10e-19
     30.00  2.20e-18
     31.00  1.50e-18
     41.00  3.10e-18
     43.00  2.10e-19
     50.00  3.10e-19
    100.00  1.60e-18
    200.00  5.80e-18
    300.00  1.20e-17
    400.00  2.00e-17
    500.00  2.80e-17
    600.00  3.60e-17
    700.00  4.20e-17
    800.00  4.80e-17
   1058.0   4.27e-17
   1061.0   3.11e-17
   1065.0   4.71e-17
   1069.0   2.21e-17
   1073.0   2.33e-17
   1074.0   3.21e-17
   1076.0   1.98e-17
   1084.0   3.26e-17
   1086.0   1.66e-17
   1089.0   2.33e-17
   1093.0   5.18e-17
   1097.0   1.86e-17
   1101.0   3.55e-17
   1109.0   1.93e-17
   1117.0   6.29e-17
   1122.0   3.83e-17
   1125.0   3.81e-17
   1126.0   3.36e-17
   1129.0   4.33e-17
   1133.0   2.78e-17
   1137.0   4.60e-17
   1142.0   4.43e-17
   1153.0   1.02e-16
   1160.0   2.48e-17
   1163.0   4.06e-17
   1168.0   3.29e-17
   1176.0   4.66e-17
   1182.0   1.47e-17
   1189.0   3.49e-17
   1191.0   3.57e-17
   1192.0   4.14e-17
   1204.0   1.43e-17
   1218.0   2.59e-17
   1220.0   6.47e-17
   1223.0   6.53e-17
   1224.0   9.79e-17
   1235.0   2.85e-17
   1246.0   4.00e-17
   1257.0   9.97e-17
   1269.0   3.57e-17
   1283.0   6.09e-17
   1290.0   1.86e-16
   1307.0   2.52e-17
   1319.0   2.55e-17
   1328.0   3.44e-17
   1335.0   3.59e-17
   1361.0   7.74e-17
   1365.0   7.63e-17
   1387.0   1.08e-16
   1395.0   1.39e-16
   1409.0   1.78e-16
   1426.0   1.36e-16
   1448.0   2.23e-16
   1460.0   1.81e-16
   1492.0   3.77e-17
   1504.0   5.14e-17
   1538.0   1.10e-17
   1557.0   1.10e-17
   1583.0   6.47e-18
   1595.0   7.96e-18
   1606.0   8.22e-18
   1612.0   8.89e-18
   1623.0   5.02e-18
   1628.0   4.92e-18
   1632.0   3.72e-18
   2000.00  1.00e-19
  0
***
