       262      0.00   1950.00 hcn      total       26
 lambda=1.a-900.a
   (cross section synthesized from atomic cross sections of h, c, and n)
 lambda=1050.a-1950.a    gary west, thesis
 threshold:
 lambda=1950.a  west, g. a. and berry, m. j. (1974)
    j. chem. phys. 61, 4700
 lambda=911.19a  fridh, c. and asbrink, j. (1975)
    j. electron spectrosc. 7, 119

      1.00  6.00e-23
     30.00  1.20e-18
     31.00  5.00e-19
     41.00  1.10e-18
     43.00  1.20e-19
     50.00  1.80e-19
    100.00  9.20e-19
    200.00  3.65e-18
    300.00  7.33e-18
    400.00  1.12e-17
    500.00  1.62e-17
    600.00  2.06e-17
    700.00  2.43e-17
    800.00  2.70e-17
    900.00  1.56e-17
    911.19  1.55e-17
    912.00  1.55e-17
   1050.00  1.46e-17
   1051.50  1.46e-17
   1052.70  2.06e-17
   1055.80  1.45e-17
   1059.00  2.26e-17
   1060.10  2.05e-17
   1063.30  2.33e-17
   1064.60  2.03e-17
   1066.40  2.55e-17
   1067.90  1.88e-17
   1068.80  2.89e-17
   1070.00  2.69e-17
   1073.30  6.38e-17
   1075.60  3.77e-17
   1077.40  5.89e-17
   1080.90  2.79e-17
   1082.00  2.85e-17
   1083.90  2.49e-17
   1085.70  3.33e-17
   1088.90  2.15e-17
   1090.30  4.36e-17
   1094.50  1.91e-17
   1098.30  2.47e-17
   1103.30  1.74e-17
   1105.00  2.82e-17
   1107.00  2.37e-17
   1108.10  2.42e-17
   1110.60  2.19e-17
   1111.50  3.68e-17
   1114.30  2.22e-17
   1121.70  8.16e-17
   1125.80  4.46e-17
   1126.60  4.51e-17
   1130.70  3.73e-17
   1135.40  4.55e-17
   1136.90  4.32e-17
   1139.30  4.43e-17
   1141.10  4.17e-17
   1142.90  4.36e-17
   1151.30  3.61e-17
   1156.10  4.51e-17
   1172.20  1.73e-17
   1174.50  1.67e-17
   1177.40  2.24e-17
   1180.30  1.97e-17
   1184.10  2.89e-17
   1185.30  2.90e-17
   1189.40  3.69e-17
   1195.20  2.50e-17
   1197.10  2.87e-17
   1203.80  2.03e-17
   1207.60  2.82e-17
   1210.50  2.32e-17
   1215.00  4.24e-17
   1219.80  3.66e-17
   1223.10  2.64e-17
   1224.10  2.54e-17
   1229.00  1.72e-17
   1230.70  2.06e-17
   1234.20  1.16e-17
   1239.60  6.56e-18
   1246.00  4.32e-18
   1248.70  4.32e-18
   1258.20  1.83e-18
   1270.00  1.11e-18
   1290.30  2.14e-18
   1295.20  1.07e-18
   1300.00  1.68e-18
   1301.40  1.91e-18
   1304.60  1.49e-18
   1308.70  1.76e-18
   1309.90  2.79e-18
   1310.90  2.68e-18
   1311.70  3.10e-18
   1314.80  2.14e-18
   1316.20  2.64e-18
   1321.20  1.53e-18
   1324.10  3.29e-18
   1326.70  3.33e-18
   1328.40  2.56e-18
   1330.30  2.83e-18
   1332.20  2.45e-18
   1332.40  3.14e-18
   1337.10  1.72e-18
   1338.70  6.20e-18
   1339.70  5.93e-18
   1340.60  8.52e-18
   1344.40  1.87e-18
   1346.30  1.26e-18
   1349.30  2.14e-18
   1351.70  7.09e-18
   1354.00  4.68e-18
   1355.70  8.83e-18
   1359.40  2.07e-18
   1361.60  1.91e-18
   1362.90  3.56e-18
   1364.20  2.71e-18
   1365.80  4.95e-18
   1367.10  3.48e-18
   1367.90  2.46e-17
   1372.20  2.33e-18
   1373.50  2.49e-18
   1377.80  1.15e-18
   1380.50  2.64e-18
   1382.10  2.54e-17
   1387.50  1.68e-18
