        84      0.00    504.27 he       hei          2
 lambda=0.00-504.27a  barfield et al

      0.61  1.47e-26
      1.24  1.61e-25
      2.44  1.54e-24
      4.21  9.67e-24
      5.20  1.96e-23
      6.15  3.45e-23
      7.91  8.00e-23
      9.76  1.60e-22
     12.05  3.18e-22
     12.57  3.65e-22
     13.69  4.78e-22
     15.51  7.15e-22
     17.59  1.06e-21
     19.96  1.58e-21
     22.64  2.33e-21
     24.62  3.01e-21
     26.78  3.88e-21
     29.13  4.98e-21
     31.69  6.39e-21
     34.47  8.18e-21
     35.95  9.24e-21
     37.49  1.04e-20
     39.10  1.18e-20
     40.77  1.33e-20
     42.53  1.50e-20
     44.36  1.69e-20
     46.26  1.90e-20
     48.24  2.14e-20
     50.32  2.41e-20
     52.47  2.71e-20
     54.74  3.04e-20
     57.08  3.42e-20
     59.52  3.84e-20
     62.09  4.31e-20
     64.74  4.83e-20
     67.53  5.41e-20
     70.45  6.06e-20
     73.45  6.79e-20
     76.63  7.60e-20
     79.89  8.51e-20
     83.32  9.51e-20
     86.89  1.06e-19
     90.63  1.19e-19
     94.50  1.33e-19
     98.56  1.48e-19
    102.80  1.66e-19
    107.30  1.85e-19
    111.80  2.06e-19
    116.60  2.30e-19
    121.70  2.57e-19
    126.90  2.86e-19
    132.30  3.19e-19
    138.00  3.56e-19
    143.90  3.96e-19
    150.10  4.42e-19
    156.50  4.92e-19
    163.30  5.48e-19
    170.30  6.11e-19
    177.60  6.80e-19
    185.20  7.57e-19
    193.20  8.43e-19
    201.40  9.39e-19
    210.10  1.05e-18
    219.10  1.16e-18
    228.50  1.30e-18
    238.30  1.44e-18
    248.57  1.61e-18
    259.30  1.79e-18
    270.40  1.99e-18
    282.00  2.21e-18
    294.10  2.46e-18
    306.70  2.74e-18
    319.90  3.05e-18
    333.70  3.39e-18
    348.00  3.77e-18
    362.80  4.20e-18
    378.50  4.66e-18
    394.70  5.18e-18
    411.60  5.76e-18
    429.30  6.40e-18
    447.80  7.10e-18
    467.00  7.88e-18
    487.00  8.74e-18
    504.27  9.70e-18
  0
***
